,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (8:11 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Jay. Williams vs. Allen: Tip to Mobley,0,0,Jaylin Williams,OKC,Jarrett Allen,CLE,Evan Mobley,CLE
2,3POINTMISS,1,11:35,MISS Garland 26' 3PT Pullup Jump Shot,0,0,Darius Garland,CLE,,,,
3,REBOUND,1,11:32,Allen REBOUND (Off:1 Def:0),0,0,Jarrett Allen,CLE,,,,
4,2POINTMISS,1,11:22,MISS Garland 2' Driving Layup,0,0,Darius Garland,CLE,,,,
5,REBOUND,1,11:20,THUNDER Rebound,0,0,,,,,,
6,2POINTMISS.BLOCK,1,11:07,MISS Jal. Williams Alley Oop DunkMobley BLOCK (1 BLK),0,0,Jalen Williams,OKC,,,Evan Mobley,CLE
7,REBOUND,1,11:04,Mobley REBOUND (Off:0 Def:1),0,0,Evan Mobley,CLE,,,,
8,2POINT.ASSIST,1,10:56,Mobley 17' Pullup Jump Shot (2 PTS) (Okoro 1 AST),2 - 0,-2,Evan Mobley,CLE,Isaac Okoro,CLE,,
9,2POINTMISS.BLOCK,1,10:32,MISS Gilgeous-Alexander 4' Driving LayupOkoro BLOCK (1 BLK),2 - 0,-2,Shai Gilgeous-Alexander,OKC,,,Isaac Okoro,CLE
10,REBOUND,1,10:29,Gilgeous-Alexander REBOUND (Off:1 Def:0),2 - 0,-2,Shai Gilgeous-Alexander,OKC,,,,
11,2POINT,1,10:28,Gilgeous-Alexander 1' Putback Layup (2 PTS),2 - 2,TIE,Shai Gilgeous-Alexander,OKC,,,,
12,2POINT.ASSIST,1,10:17,Allen 1' Layup (2 PTS) (Garland 1 AST),4 - 2,-2,Jarrett Allen,CLE,Darius Garland,CLE,,
13,2POINT.ASSIST,1,10:04,Wiggins 1' Cutting Layup Shot (2 PTS) (Giddey 1 AST),4 - 4,TIE,Aaron Wiggins,OKC,Josh Giddey,OKC,,
14,2POINTMISS,1,9:50,MISS LeVert 7' Driving Floating Bank Jump Shot,4 - 4,TIE,Caris LeVert,CLE,,,,
15,REBOUND,1,9:48,Jay. Williams REBOUND (Off:0 Def:1),4 - 4,TIE,Jaylin Williams,OKC,,,,
16,STEAL.TURNOVER,1,9:36,Giddey Bad Pass Turnover (P1.T1)Garland STEAL (1 STL),4 - 4,TIE,Josh Giddey,OKC,Darius Garland,CLE,,
17,2POINTMISS,1,9:22,MISS Mobley 11' Turnaround Jump Shot,4 - 4,TIE,Evan Mobley,CLE,,,,
18,REBOUND,1,9:18,Wiggins REBOUND (Off:0 Def:1),4 - 4,TIE,Aaron Wiggins,OKC,,,,
19,2POINT,1,9:11,Gilgeous-Alexander Driving Finger Roll Layup (4 PTS),4 - 6,2,Shai Gilgeous-Alexander,OKC,,,,
20,FOUL,1,9:11,Mobley S.FOUL (P1.T1) (K.Lane),4 - 6,2,Evan Mobley,CLE,Shai Gilgeous-Alexander,OKC,,
21,FTMAKE,1,9:11,Gilgeous-Alexander Free Throw 1 of 1 (5 PTS),4 - 7,3,Shai Gilgeous-Alexander,OKC,,,,
22,3POINTMISS,1,8:57,MISS Garland 27' 3PT Jump Shot,4 - 7,3,Darius Garland,CLE,,,,
23,REBOUND,1,8:57,Wiggins REBOUND (Off:0 Def:2),4 - 7,3,Aaron Wiggins,OKC,,,,
24,3POINT.ASSIST,1,8:36,Jay. Williams 25' 3PT Jump Shot (3 PTS) (Wiggins 1 AST),4 - 10,6,Jaylin Williams,OKC,Aaron Wiggins,OKC,,
25,3POINTMISS,1,8:19,MISS Okoro 3PT Jump Shot,4 - 10,6,Isaac Okoro,CLE,,,,
26,REBOUND,1,8:16,Jay. Williams REBOUND (Off:0 Def:2),4 - 10,6,Jaylin Williams,OKC,,,,
27,2POINTMISS.BLOCK,1,8:02,MISS Gilgeous-Alexander 1' Driving Reverse LayupAllen BLOCK (1 BLK),4 - 10,6,Shai Gilgeous-Alexander,OKC,,,Jarrett Allen,CLE
28,REBOUND,1,7:59,Jay. Williams REBOUND (Off:1 Def:2),4 - 10,6,Jaylin Williams,OKC,,,,
29,2POINT.ASSIST,1,7:55,Wiggins 1' Cutting Layup Shot (4 PTS) (Giddey 2 AST),4 - 12,8,Aaron Wiggins,OKC,Josh Giddey,OKC,,
30,TIMEOUT,1,7:55,Cavaliers Timeout: Regular (Reg.1 Short 0),4 - 12,8,,,,,,
31,2POINT,1,7:41,Garland 7' Driving Layup (2 PTS),6 - 12,6,Darius Garland,CLE,,,,
32,FOUL,1,7:41,Giddey S.FOUL (P1.T1) (D.Collins),6 - 12,6,Josh Giddey,OKC,Darius Garland,CLE,,
33,FTMAKE,1,7:41,Garland Free Throw 1 of 1 (3 PTS),7 - 12,5,Darius Garland,CLE,,,,
34,STEAL.TURNOVER,1,7:27,Jal. Williams Bad Pass Turnover (P1.T2)Garland STEAL (2 STL),7 - 12,5,Jalen Williams,OKC,Darius Garland,CLE,,
35,2POINT.ASSIST,1,7:19,Garland 10' Driving Floating Jump Shot (5 PTS) (LeVert 1 AST),9 - 12,3,Darius Garland,CLE,Caris LeVert,CLE,,
36,2POINTMISS,1,7:07,MISS Gilgeous-Alexander 2' Driving Reverse Layup,9 - 12,3,Shai Gilgeous-Alexander,OKC,,,,
37,REBOUND,1,7:07,Cavaliers Rebound,9 - 12,3,,,,,,
38,2POINT.ASSIST,1,6:45,Mobley 5' Driving Layup (4 PTS) (LeVert 2 AST),11 - 12,1,Evan Mobley,CLE,Caris LeVert,CLE,,
39,FOUL,1,6:45,Jal. Williams S.FOUL (P1.T2) (K.Lane),11 - 12,1,Jalen Williams,OKC,Evan Mobley,CLE,,
40,SUB,1,6:45,SUB: Wade FOR Okoro,11 - 12,1,Isaac Okoro,CLE,Dean Wade,CLE,,
41,FTMAKE,1,6:45,Mobley Free Throw 1 of 1 (5 PTS),12 - 12,TIE,Evan Mobley,CLE,,,,
42,2POINTMISS,1,6:34,MISS Jal. Williams 2' Driving Layup,12 - 12,TIE,Jalen Williams,OKC,,,,
43,REBOUND,1,6:31,LeVert REBOUND (Off:0 Def:1),12 - 12,TIE,Caris LeVert,CLE,,,,
44,2POINT.ASSIST,1,6:27,Allen 1' Reverse Layup (4 PTS) (LeVert 3 AST),14 - 12,-2,Jarrett Allen,CLE,Caris LeVert,CLE,,
45,FOUL,1,6:27,THUNDER T.FOUL,14 - 12,-2,,,,,,
46,TIMEOUT,1,6:27,THUNDER Timeout: Regular (Full 1 Short 0),14 - 12,-2,,,,,,
47,FTMAKE,1,6:27,Garland Free Throw Technical (6 PTS),15 - 12,-3,Darius Garland,CLE,,,,
48,2POINTMISS,1,6:09,MISS Jay. Williams 12' Floating Jump Shot,15 - 12,-3,Jaylin Williams,OKC,,,,
49,REBOUND,1,6:05,Wiggins REBOUND (Off:1 Def:2),15 - 12,-3,Aaron Wiggins,OKC,,,,
50,2POINT.ASSIST,1,6:00,Gilgeous-Alexander 15' Step Back Jump Shot (7 PTS) (Wiggins 2 AST),15 - 14,-1,Shai Gilgeous-Alexander,OKC,Aaron Wiggins,OKC,,
51,FOUL,1,5:39,LeVert Offensive Charge Foul (P1) (G.Petraitis),15 - 14,-1,Caris LeVert,CLE,Jaylin Williams,OKC,,
52,TURNOVER,1,5:39,LeVert Offensive Foul Turnover (P1.T1),15 - 14,-1,Caris LeVert,CLE,,,,
53,STEAL.TURNOVER,1,5:24,Wiggins Bad Pass Turnover (P1.T3)Garland STEAL (3 STL),15 - 14,-1,Aaron Wiggins,OKC,Darius Garland,CLE,,
54,3POINTMISS,1,5:15,MISS LeVert 24' 3PT Jump Shot,15 - 14,-1,Caris LeVert,CLE,,,,
55,REBOUND,1,5:12,Jay. Williams REBOUND (Off:1 Def:3),15 - 14,-1,Jaylin Williams,OKC,,,,
56,FOUL,1,5:02,Wade S.FOUL (P1.T2) (G.Petraitis),15 - 14,-1,Dean Wade,CLE,Shai Gilgeous-Alexander,OKC,,
57,FTMAKE,1,5:02,Gilgeous-Alexander Free Throw 1 of 2 (8 PTS),15 - 15,TIE,Shai Gilgeous-Alexander,OKC,,,,
58,SUB,1,5:02,SUB: Joe FOR Jal. Williams,15 - 15,TIE,Jalen Williams,OKC,Isaiah Joe,OKC,,
59,SUB,1,5:02,SUB: Neto FOR Mobley,15 - 15,TIE,Evan Mobley,CLE,Raul Neto,CLE,,
60,SUB,1,5:02,SUB: Okoro FOR Garland,15 - 15,TIE,Darius Garland,CLE,Isaac Okoro,CLE,,
61,FTMAKE,1,5:02,Gilgeous-Alexander Free Throw 2 of 2 (9 PTS),15 - 16,1,Shai Gilgeous-Alexander,OKC,,,,
62,2POINT.ASSIST,1,4:45,Allen 2' Dunk (6 PTS) (Okoro 2 AST),17 - 16,-1,Jarrett Allen,CLE,Isaac Okoro,CLE,,
