
```csv
,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:10 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Looney vs. Holmgren: Tip to Curry,0,0,Kevon Looney,GSW,Chet Holmgren,OKC,Stephen Curry,GSW
2,3POINT.ASSIST,1,11:45,Curry 26' 3PT Jump Shot (3 PTS) (Thompson 1 AST),0 - 3,3,Stephen Curry,GSW,Klay Thompson,GSW,,
3,2POINTMISS,1,11:30,MISS Gilgeous-Alexander 10' Driving Floating Jump Shot,0 - 3,3,Shai Gilgeous-Alexander,OKC,,,,
4,REBOUND,1,11:28,Looney REBOUND (Off:0 Def:1),0 - 3,3,Kevon Looney,GSW,,,,
5,2POINT.ASSIST,1,11:20,D. Green 4' Cutting Layup Shot (2 PTS) (Poole 1 AST),0 - 5,5,Draymond Green,GSW,Jordan Poole,GSW,,
6,FOUL,1,11:05,Dort P.FOUL (P1.T1) (J.Goldenberg),0 - 5,5,Luguentz Dort,OKC,Stephen Curry,GSW,,
7,FTMAKE,1,11:05,Curry Free Throw 1 of 2 (4 PTS),0 - 6,6,Stephen Curry,GSW,,,,
8,FTMAKE,1,11:05,Curry Free Throw 2 of 2 (5 PTS),0 - 7,7,Stephen Curry,GSW,,,,
9,2POINT.ASSIST,1,10:50,Gilgeous-Alexander 1' Driving Layup (2 PTS) (Dort 1 AST),2 - 7,5,Shai Gilgeous-Alexander,OKC,Luguentz Dort,OKC,,
10,3POINTMISS,1,10:35,MISS Thompson 27' 3PT Jump Shot,2 - 7,5,Klay Thompson,GSW,,,,
11,REBOUND,1,10:33,Holmgren REBOUND (Off:0 Def:1),2 - 7,5,Chet Holmgren,OKC,,,,
12,2POINTMISS,1,10:25,MISS Holmgren 5' Hook Shot,2 - 7,5,Chet Holmgren,OKC,,,,
13,REBOUND,1,10:23,D. Green REBOUND (Off:0 Def:1),2 - 7,5,Draymond Green,GSW,,,,
14,3POINTMISS,1,10:05,MISS Poole 28' 3PT Jump Shot,2 - 7,5,Jordan Poole,GSW,,,,
15,REBOUND,1,10:02,Dort REBOUND (Off:0 Def:1),2 - 7,5,Luguentz Dort,OKC,,,,
16,2POINTMISS,1,9:50,MISS Dort 8' Driving Floating Jump Shot,2 - 7,5,Luguentz Dort,OKC,,,,
17,REBOUND,1,9:48,Looney REBOUND (Off:0 Def:2),2 - 7,5,Kevon Looney,GSW,,,,
18,2POINT.ASSIST,1,9:40,Thompson 2' Cutting Layup Shot (2 PTS) (Looney 1 AST),2 - 9,7,Klay Thompson,GSW,Kevon Looney,GSW,,
19,2POINT,1,9:25,Gilgeous-Alexander 4' Driving Layup (4 PTS),4 - 9,5,Shai Gilgeous-Alexander,OKC,,,,
20,FOUL,1,9:10,D. Green P.FOUL (P1.T2) (J.Goldenberg),4 - 9,5,Draymond Green,GSW,Chet Holmgren,OKC,,
21,FTMAKE,1,9:10,Holmgren Free Throw 1 of 2 (1 PTS),4 - 10,6,Chet Holmgren,OKC,,,,
22,FTMAKE,1,9:10,Holmgren Free Throw 2 of 2 (2 PTS),4 - 11,7,Chet Holmgren,OKC,,,,
23,2POINTMISS,1,8:55,MISS Curry 18' Pullup Jump Shot,4 - 11,7,Stephen Curry,GSW,,,,
24,REBOUND,1,8:53,Dort REBOUND (Off:0 Def:2),4 - 11,7,Luguentz Dort,OKC,,,,
25,3POINT.ASSIST,1,8:40,Dort 27' 3PT Jump Shot (5 PTS) (Giddey 1 AST),4 - 14,10,Luguentz Dort,OKC,Josh Giddey,OKC,,
26,2POINT.ASSIST,1,8:25,Poole 10' Driving Floating Jump Shot (2 PTS) (D. Green 1 AST),4 - 16,12,Jordan Poole,GSW,Draymond Green,GSW,,
27,FOUL,1,8:10,Jal. Williams S.FOUL (P1.T1) (B.Taylor),4 - 16,12,Jalen Williams,OKC,Draymond Green,GSW,,
28,SUB,1,8:10,SUB: Wiggins FOR Poole,4 - 16,12,Jordan Poole,GSW,Aaron Wiggins,GSW,,
29,2POINT,1,8:00,Gilgeous-Alexander 6' Driving Floating Bank Jump Shot (6 PTS),6 - 16,10,Shai Gilgeous-Alexander,OKC,,,,
30,2POINT,1,7:45,Thompson 13' Pullup Jump Shot (4 PTS),6 - 18,12,Klay Thompson,GSW,,,,
31,FOUL,1,7:30,Wiggins S.FOUL (P1.T2) (J.Goldenberg),6 - 18,12,Aaron Wiggins,GSW,Chet Holmgren,OKC,,
32,FTMAKE,1,7:30,Holmgren Free Throw 1 of 2 (3 PTS),6 - 19,13,Chet Holmgren,OKC,,,,
33,FTMAKE,1,7:30,Holmgren Free Throw 2 of 2 (4 PTS),6 - 20,14,Chet Holmgren,OKC,,,,
34,3POINTMISS,1,7:15,MISS Dort 24' 3PT Jump Shot,6 - 20,14,Luguentz Dort,OKC,,,,
35,REBOUND,1,7:13,D. Green REBOUND (Off:0 Def:2),6 - 20,14,Draymond Green,GSW,,,,
36,2POINTMISS,1,7:00,MISS Thompson 12' Fadeaway Jumper,6 - 20,14,Klay Thompson,GSW,,,,
37,REBOUND,1,6:58,Gilgeous-Alexander REBOUND (Off:0 Def:1),6 - 20,14,Shai Gilgeous-Alexander,OKC,,,,
38,2POINT,1,6:45,Gilgeous-Alexander 7' Driving Floating Jump Shot (8 PTS),8 - 20,12,Shai Gilgeous-Alexander,OKC,,,,
39,2POINT.ASSIST,1,6:30,Curry 1' Driving Layup (7 PTS) (D. Green 2 AST),8 - 22,14,Stephen Curry,GSW,Draymond Green,GSW,,
40,FOUL,1,6:15,Jal. Williams P.FOUL (P2.T3) (B.Taylor),8 - 22,14,Jalen Williams,OKC,Klay Thompson,GSW,,
41,3POINTMISS,1,6:00,MISS Dort 27' 3PT Jump Shot,8 - 22,14,Luguentz Dort,OKC,,,,
42,REBOUND,1,5:58,Thompson REBOUND (Off:0 Def:1),8 - 22,14,Klay Thompson,GSW,,,,
43,3POINT,1,5:50,Thompson 25' 3PT Jump Shot (7 PTS),8 - 25,17,Klay Thompson,GSW,,,,
44,TIMEOUT,1,5:50,THUNDER Timeout: Regular (Full 1 Short 0),8 - 25,17,,,,,,
45,SUB,1,5:50,SUB: Joe FOR Dort,8 - 25,17,Luguentz Dort,OKC,Isaiah Joe,OKC,,
46,SUB,1,5:50,SUB: Muscala FOR Holmgren,8 - 25,17,Chet Holmgren,OKC,Mike Muscala,OKC,,
47,SUB,1,5:50,SUB: Poole FOR Wiggins,8 - 25,17,Aaron Wiggins,GSW,Jordan Poole,GSW,,
48,2POINT.ASSIST,1,5:35,Gilgeous-Alexander 1' Driving Layup (10 PTS) (Joe 1 AST),10 - 25,15,Shai Gilgeous-Alexander,OKC,Isaiah Joe,OKC,,
49,3POINT,1,5:20,Curry 28' 3PT Jump Shot (10 PTS),10 - 28,18,Stephen Curry,GSW,,,,
50,FOUL,1,5:05,Jal. Williams S.FOUL (P2.T4) (J.Goldenberg),10 - 28,18,Jalen Williams,OKC,Draymond Green,GSW,,
51,SUB,1,5:05,SUB: Dieng FOR Jal. Williams,10 - 28,18,Jalen Williams,OKC,Ousmane Dieng,OKC,,
52,2POINTMISS,1,4:50,MISS D. Green 13' Turnaround Jump Shot,10 - 28,18,Draymond Green,GSW,,,,
53,REBOUND,1,4:48,Muscala REBOUND (Off:0 Def:1),10 - 28,18,Mike Muscala,OKC,,,,
54,3POINTMISS,1,4:35,MISS Muscala 24' 3PT Jump Shot,10 - 28,18,Mike Muscala,OKC,,,,
55,REBOUND,1,4:33,Looney REBOUND (Off:0 Def:3),10 - 28,18,Kevon Looney,GSW,,,,
56,2POINT.ASSIST,1,4:25,Curry 1' Driving Layup (12 PTS) (Looney 2 AST),10 - 30,20,Stephen Curry,GSW,Kevon Looney,GSW,,
57,FOUL,1,4:10,Dieng P.FOUL (P1.T5) (B.Taylor),10 - 30,20,Ousmane Dieng,OKC,Klay Thompson,GSW,,
58,2POINTMISS,1,4:00,MISS Gilgeous-Alexander 14' Fadeaway Jumper,10 - 30,20,Shai Gilgeous-Alexander,OKC,,,,
59,REBOUND,1,3:58,Thompson REBOUND (Off:0 Def:2),10 - 30,20,Klay Thompson,GSW,,,,
60,2POINT.ASSIST,1,3:50,D. Green 4' Driving Layup (4 PTS) (Curry 1 AST),10 - 32,22,Draymond Green,GSW,Stephen Curry,GSW,,
61,TIMEOUT,1,3:50,THUNDER Timeout: Regular (Full 2 Short 0),10 - 32,22,,,,,,
62,SUB,1,3:50,SUB: Giddey FOR Dieng,10 - 32,22,Ousmane Dieng,OKC,Josh Giddey,OKC,,
63,SUB,1,3:50,SUB: Dort FOR Joe,10 - 32,22,Isaiah Joe,OKC,Luguentz Dort,OKC,,
64,SUB,1,3:50,SUB: Holmgren FOR Muscala,10 - 32,22,Mike Muscala,OKC,Chet Holmgren,OKC,,
65,SUB,1,3:50,SUB: Wiggins FOR Thompson,10 - 32,22,Klay Thompson,GSW,Aaron Wiggins,GSW,,
66,FOUL,1,3:35,D. Green P.FOUL (P2.PN) (J.Goldenberg),10 - 32,22,Draymond Green,GSW,Shai Gilgeous-Alexander,OKC,,
67,FTMAKE,1,3:35,Gilgeous-Alexander Free Throw 1 of 2 (11 PTS),10 - 33,23,Shai Gilgeous-Alexander,OKC,,,,
68,FTMAKE,1,3:35,Gilgeous-Alexander Free Throw 2 of 2 (12 PTS),10 - 34,24,Shai Gilgeous-Alexander,OKC,,,,
69,2POINTMISS,1,3:20,MISS Wiggins 16' Turnaround Fadeaway Shot,10 - 34,24,Aaron Wiggins,GSW,,,,
70,REBOUND,1,3:18,Looney REBOUND (Off:1 Def:3),10 - 34,24,Kevon Looney,GSW,,,,
71,2POINT,1,3:18,Looney 1' Putback Dunk (2 PTS),10 - 36,26,Kevon Looney,GSW,,,,
72,2POINT.ASSIST,1,3:00,Gilgeous-Alexander 3' Driving Layup (14 PTS) (Giddey 2 AST),12 - 36,24,Shai Gilgeous-Alexander,OKC,Josh Giddey,OKC,,
73,3POINTMISS,1,2:45,MISS Poole 25' 3PT Jump Shot,12 - 36,24,Jordan Poole,GSW,,,,
74,REBOUND,1,2:43,Dort REBOUND (Off:0 Def:3),12 - 36,24,Luguentz Dort,OKC,,,,
75,3POINTMISS,1,2:30,MISS Dort 26' 3PT Jump Shot,12 - 36,24,Luguentz Dort,OKC,,,,
76,REBOUND,1,2:28,Looney REBOUND (Off:1 Def:4),12 - 36,24,Kevon Looney,GSW,,,,
77,2POINTMISS,1,2:15,MISS Poole 2' Driving Layup,12 - 36,24,Jordan Poole,GSW,,,,
78,REBOUND,1,2:13,Looney REBOUND (Off:2 Def:4),12 - 36,24,Kevon Looney,GSW,,,,
79,2POINT,1,2:13,Looney Putback Dunk (4 PTS),12 - 38,26,Kevon Looney,GSW,,,,
80,2POINTMISS,1,2:00,MISS Holmgren 12' Turnaround Jump Shot,12 - 38,26,Chet Holmgren,OKC,,,,
81,REBOUND,1,1:58,D. Green REBOUND (Off:0 Def:3),12 - 38,26,Draymond Green,GSW,,,,
82,3POINT.ASSIST,1,1:45,Curry 25' 3PT Jump Shot (15 PTS) (D. Green 3 AST),12 - 41,29,Stephen Curry,GSW,Draymond Green,GSW,,
