,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:00 PM CST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Looney vs. Gilgeous-Alexander: Tip to Curry,0,0,Kevon Looney,GSW,Shai Gilgeous-Alexander,OKC,Stephen Curry,GSW
2,3POINTMISS,1,11:42,MISS Curry 26' 3PT Jump Shot,0,0,Stephen Curry,GSW,,,,
3,REBOUND,1,11:39,Giddey REBOUND (Off:0 Def:1),0,0,Josh Giddey,OKC,,,,
4,3POINTMISS,1,11:25,MISS Giddey 25' 3PT Jump Shot,0,0,Josh Giddey,OKC,,,,
5,REBOUND,1,11:22,Thompson REBOUND (Off:0 Def:1),0,0,Klay Thompson,GSW,,,,
6,3POINT,1,11:13,Thompson 26' 3PT Jump Shot (3 PTS),0 - 3,3,Klay Thompson,GSW,,,,
7,2POINTMISS,1,10:57,MISS Gilgeous-Alexander 16' Pullup Jump Shot,0 - 3,3,Shai Gilgeous-Alexander,OKC,,,,
8,REBOUND,1,10:54,Wiggins REBOUND (Off:0 Def:1),0 - 3,3,Andrew Wiggins,GSW,,,,
9,3POINTMISS,1,10:47,MISS Curry 26' 3PT Jump Shot,0 - 3,3,Stephen Curry,GSW,,,,
10,REBOUND,1,10:44,Jal. Williams REBOUND (Off:0 Def:1),0 - 3,3,Jalen Williams,OKC,,,,
11,2POINT.ASSIST,1,10:34,Giddey 3' Driving Finger Roll Layup (2 PTS) (Gilgeous-Alexander 1 AST),2 - 3,1,Josh Giddey,OKC,Shai Gilgeous-Alexander,OKC,,
12,2POINTMISS,1,10:15,MISS Thompson 17' Pullup Jump Shot,2 - 3,1,Klay Thompson,GSW,,,,
13,REBOUND,1,10:12,Green REBOUND (Off:0 Def:1),2 - 3,1,Draymond Green,GSW,,,,
14,2POINT,1,10:03,Green 5' Cutting Layup (2 PTS),2 - 5,3,Draymond Green,GSW,,,,
15,3POINT.ASSIST,1,9:45,Dort 25' 3PT Jump Shot (3 PTS) (Giddey 1 AST),5 - 5,TIE,Luguentz Dort,OKC,Josh Giddey,OKC,,
16,3POINTMISS,1,9:30,MISS Thompson 25' 3PT Jump Shot,5 - 5,TIE,Klay Thompson,GSW,,,,
17,REBOUND,1,9:26,Jal. Williams REBOUND (Off:0 Def:2),5 - 5,TIE,Jalen Williams,OKC,,,,
18,2POINT,1,9:17,Gilgeous-Alexander 11' Driving Floating Bank Jump Shot (2 PTS),7 - 5,-2,Shai Gilgeous-Alexander,OKC,,,,
19,TIMEOUT,1,9:16,GSW Timeout: Regular (Full 1 Short 0),7 - 5,-2,,,,,,
20,SUB,1,9:16,SUB: Poole FOR Wiggins,7 - 5,-2,Andrew Wiggins,GSW,Jordan Poole,GSW,,
21,SUB,1,9:16,SUB: Kuminga FOR Thompson,7 - 5,-2,Klay Thompson,GSW,Jonathan Kuminga,GSW,,
22,2POINTMISS,1,9:04,MISS Curry 6' Driving Finger Roll Layup,7 - 5,-2,Stephen Curry,GSW,,,,
23,REBOUND,1,9:01,Giddey REBOUND (Off:0 Def:2),7 - 5,-2,Josh Giddey,OKC,,,,  
24,2POINT.ASSIST,1,8:51,Jal. Williams 2' Driving Reverse Layup (2 PTS) (Giddey 2 AST),9 - 5,-4,Jalen Williams,OKC,Josh Giddey,OKC,,
25,3POINTMISS,1,8:38,MISS Poole 23' 3PT Jump Shot,9 - 5,-4,Jordan Poole,GSW,,,,
26,REBOUND,1,8:35,Looney REBOUND (Off:0 Def:1),9 - 5,-4,Kevon Looney,GSW,,,,
