Period,Time,Team,Event Type,Player 1,Player 2,Description,Score
1,12:00,Pelicans,Tipoff,Steven Adams,Mitchell Robinson,Tipoff won by Pelicans,0 - 0
1,11:48,Pelicans,Offensive Possession,Zion Williamson,,Pelicans start their offense,
1,11:35,Pelicans,Shot,Zion Williamson,,Zion Williamson makes a layup,2 - 0
1,11:20,Knicks,Offensive Possession,Julius Randle,,Knicks start their offense,
1,11:10,Knicks,Shot,Julius Randle,,Julius Randle makes a jump shot,2 - 2
1,10:55,Pelicans,Offensive Possession,Brandon Ingram,,Pelicans start their offense,
1,10:42,Pelicans,Turnover,Brandon Ingram,,Brandon Ingram loses the ball,Turnover
1,10:30,Knicks,Fast Break,Immanuel Quickley,,Fast break opportunity for the Knicks,
1,10:20,Knicks,Shot,Immanuel Quickley,,Immanuel Quickley makes a three-pointer,2 - 5
1,10:10,Pelicans,Offensive Possession,Lonzo Ball,,Pelicans start their offense,
1,10:00,Knicks,Steal,Immanuel Quickley,,Immanuel Quickley steals the ball,
1,9:50,Knicks,Fast Break,Immanuel Quickley,,Fast break opportunity for the Knicks,
1,9:40,Knicks,Shot,RJ Barrett,,RJ Barrett makes a layup,2 - 7
1,9:30,Pelicans,Timeout,,,,Pelicans call a timeout,
1,9:30,Pelicans,Substitution,Kira Lewis Jr.,Lonzo Ball,Kira Lewis Jr. enters the game for Lonzo Ball,
1,9:30,Knicks,Substitution,Nerlens Noel,Mitchell Robinson,Nerlens Noel enters the game for Mitchell Robinson,
1,9:20,Pelicans,Offensive Possession,Kira Lewis Jr.,,Pelicans start their offense,
1,9:10,Pelicans,Shot,Kira Lewis Jr.,,Kira Lewis Jr. misses a jump shot,
1,9:05,Knicks,Defensive Rebound,Julius Randle,,Julius Randle grabs the rebound,
1,8:55,Knicks,Offensive Possession,Julius Randle,,Knicks start their offense,
1,8:45,Knicks,Shot,Julius Randle,,Julius Randle makes a jump shot,2 - 9
1,8:35,Pelicans,Offensive Possession,Brandon Ingram,,Pelicans start their offense,
1,8:25,Knicks,Steal,Immanuel Quickley,,Immanuel Quickley steals the ball,
1,8:15,Knicks,Fast Break,Immanuel Quickley,,Fast break opportunity for the Knicks,
1,8:05,Knicks,Shot,RJ Barrett,,RJ Barrett makes a dunk,2 - 11
1,7:55,Pelicans,Offensive Possession,Brandon Ingram,,Pelicans start their offense,
1,7:45,Pelicans,Shot,Brandon Ingram,,Brandon Ingram makes a jump shot,4 - 11
1,7:35,Knicks,Offensive Possession,Immanuel Quickley,,Knicks start their offense,
1,7:25,Knicks,Shot,Immanuel Quickley,,Immanuel Quickley misses a three-pointer,
1:7:20,Pelicans,Defensive Rebound,Steven Adams,,Steven Adams grabs the rebound,
1,7:10,Pelicans,Offensive Possession,Brandon Ingram,,Pelicans start their offense,
1,7:00,Pelicans,Shot,Brandon Ingram,,Brandon Ingram makes a layup,6 - 11
1,6:50,Knicks,Offensive Possession,RJ Barrett,,Knicks start their offense,
1,6:40,Knicks,Shot,RJ Barrett,,RJ Barrett misses a jump shot,
1,6:35,Pelicans,Defensive Rebound,Steven Adams,,Steven Adams grabs the rebound,
1,6:25,Pelicans,Offensive Possession,Zion Williamson,,Pelicans start their offense,
1,6:15,Pelicans,Shot,Zion Williamson,,Zion Williamson makes a layup,8 - 11
1,6:05,Knicks,Offensive Possession,Julius Randle,,Knicks start their offense,
1,5:55,Knicks,Shot,Julius Randle,,Julius Randle makes a jump shot,8 - 13
1,5:45,Pelicans,Offensive Possession,Kira Lewis Jr.,,Pelicans start their offense,
1,5:35,Pelicans,Turnover,Kira Lewis Jr.,,Kira Lewis Jr. loses the ball,Turnover
1,5:25,Knicks,Fast Break,Immanuel Quickley,,Fast break opportunity for the Knicks,
1,5:15,Knicks,Shot,Immanuel Quickley,,Immanuel Quickley misses a layup,
1,5:10,Pelicans,Defensive Rebound,Zion Williamson,,Zion Williamson grabs the rebound,
1,5:00,Pelicans,Offensive Possession,Brandon Ingram,,Pelicans start their offense,
1,4:50,Pelicans,Shot,Brandon Ingram,,Brandon Ingram makes a jump shot,10 - 13
