New York Knicks Starting Lineup:
1. PG: Jalen Brunson
2. SG: RJ Barrett
3. SF: Julius Randle
4. PF: Obi Toppin
5. C: Mitchell Robinson

New Orleans Pelicans Expected Starting Lineup:
1. PG: CJ McCollum
2. SG: Brandon Ingram
3. SF: Herbert Jones
4. PF: Zion Williamson
5. C: Jonas Valančiūnas

Period,Time,Team,Event Type,Player 1,Player 2,Description,Score
1,12:00,NYK,Tip Off,Mitchell Robinson,,Mitchell Robinson wins the opening tip-off.,0-0
1,11:45,NOP,2PT Made,Zion Williamson,,Zion Williamson makes a layup.,0-2
1,11:30,NYK,2PT Made,RJ Barrett,,RJ Barrett makes a mid-range jumper.,2-2
1,11:10,NOP,3PT Missed,CJ McCollum,,CJ McCollum misses a 3-pointer.,2-2
1,11:08,NYK,Defensive Rebound,Julius Randle,,Julius Randle grabs the defensive rebound.,2-2
1,10:55,NYK,2PT Made,Jalen Brunson,,Jalen Brunson makes a driving layup.,4-2
1,10:40,NOP,2PT Missed,Brandon Ingram,,Brandon Ingram misses a fadeaway jumper.,4-2
1,10:38,NYK,Defensive Rebound,Mitchell Robinson,,Mitchell Robinson grabs the defensive rebound.,4-2
1,10:20,NYK,3PT Made,RJ Barrett,,RJ Barrett makes a 3-pointer from the corner.,7-2
1,10:00,NOP,2PT Made,Jonas Valančiūnas,,Jonas Valančiūnas makes a hook shot in the paint.,7-4
1,09:45,NYK,Turnover,Jalen Brunson,,Jalen Brunson turns the ball over on a bad pass.,7-4
1,09:30,NOP,2PT Made,Zion Williamson,,Zion Williamson makes a dunk off a fast break.,7-6
1,09:15,NYK,2PT Missed,Julius Randle,,Julius Randle misses a layup.,7-6
1,09:13,NOP,Defensive Rebound,Herbert Jones,,Herbert Jones grabs the defensive rebound.,7-6
1,09:00,NOP,3PT Made,CJ McCollum,,CJ McCollum makes a 3-pointer from the top of the key.,7-9
1,08:45,NYK,Timeout,,,New York Knicks call a timeout.,7-9
1,08:45,NYK,Substitution,Immanuel Quickley,Jalen Brunson,Immanuel Quickley enters the game for Jalen Brunson.,7-9
1,08:45,NOP,Substitution,Naji Marshall,Herbert Jones,Naji Marshall enters the game for Herbert Jones.,7-9
1,08:30,NYK,2PT Made,Obi Toppin,,Obi Toppin makes a cutting layup off a pass from Immanuel Quickley.,9-9
1,08:10,NOP,3PT Missed,Brandon Ingram,,Brandon Ingram misses a step-back 3-pointer.,9-9
1,08:08,NYK,Defensive Rebound,RJ Barrett,,RJ Barrett grabs the defensive rebound.,9-9
1,07:50,NYK,2PT Made,Mitchell Robinson,Immanuel Quickley,Mitchell Robinson makes an alley-oop dunk off a pass from Immanuel Quickley.,11-9
1,07:30,NOP,2PT Made,Zion Williamson,,Zion Williamson makes a layup through contact and gets fouled.,11-11
1,07:30,NOP,Free Throw Made,Zion Williamson,,Zion Williamson makes the free throw to complete the 3-point play.,11-12
1,07:15,NYK,2PT Missed,Julius Randle,,Julius Randle misses a turnaround jumper.,11-12
1,07:13,NOP,Defensive Rebound,Jonas Valančiūnas,,Jonas Valančiūnas grabs the defensive rebound.,11-12
1,07:00,NOP,3PT Made,CJ McCollum,,CJ McCollum makes a 3-pointer off a screen.,11-15
1,06:45,NYK,2PT Made,RJ Barrett,,RJ Barrett makes a driving floater in the lane.,13-15
1,06:30,NOP,Turnover,Brandon Ingram,,Brandon Ingram turns the ball over on an offensive foul.,13-15
1,06:30,NYK,Substitution,Jericho Sims,Mitchell Robinson,Jericho Sims enters the game for Mitchell Robinson.,13-15
1,06:30,NOP,Substitution,Larry Nance Jr.,Jonas Valančiūnas,Larry Nance Jr. enters the game for Jonas Valančiūnas.,13-15
