New York Knicks Starting Lineup:
PG: Jalen Brunson
SG: RJ Barrett 
SF: Julius Randle
PF: Obi Toppin
C: Mitchell Robinson

New Orleans Pelicans Expected Starting Lineup:  
PG: CJ McCollum
SG: Brandon Ingram
SF: Herbert Jones
PF: Zion Williamson  
C: Jonas Valanciunas

Period,Time,Team,Event Type,Player 1,Player 2,Description,Score
1,12:00,NYK,Tip Off,Mitchell Robinson,,Jump Ball won by NYK,0-0
1,11:45,NYK,Turnover,Jalen Brunson,,Bad pass out of bounds,0-0
1,11:38,NOP,Defensive Rebound,Herbert Jones,,Knicks shot missed,0-0
1,11:30,NOP,2pt Made,Zion Williamson,,Layup made,0-2
1,11:18,NYK,2pt Made,RJ Barrett,,Jump shot made,2-2
1,10:58,NOP,3pt Missed,CJ McCollum,,Jump shot missed,2-2
1,10:55,NYK,Defensive Rebound,Julius Randle,,Rebound secured,2-2
1,10:49,NYK,Assist,Jalen Brunson,Obi Toppin,Pass leads to dunk,4-2
1,10:31,NOP,Turnover,Brandon Ingram,,Ball stolen,4-2
1,10:27,NYK,Steal,Mitchell Robinson,,Pass intercepted,4-2
1,10:22,NYK,2pt Made,Mitchell Robinson,,Layup made off turnover,6-2
1,9:50,NOP,Substitution,Larry Nance Jr.,Zion Williamson,Williamson subbed out,6-2
1,9:50,NOP,Substitution,Jose Alvarado,CJ McCollum,McCollum subbed out,6-2
1,9:42,NOP,2pt Made,Jonas Valanciunas,,Hook shot made,6-4
1,9:24,NYK,Foul,Obi Toppin,,Offensive foul called,6-4
1,9:24,NYK,Substitution,Isaiah Hartenstein,Mitchell Robinson,Robinson subbed out,6-4
1,9:15,NOP,2pt Missed,Brandon Ingram,,Fadeaway jumper missed,6-4
1,9:12,NYK,Defensive Rebound,Julius Randle,,Rebound collected,6-4
1,9:03,NYK,3pt Missed,Jalen Brunson,,Jump shot off back rim,6-4
1,9:00,NOP,Defensive Rebound,Herbert Jones,,Long rebound secured,6-4
1,8:54,NOP,Assist,Jose Alvarado,Jonas Valanciunas,Alley-oop dunk made,6-6
1,8:35,NYK,2pt Made,RJ Barrett,,Driving layup made,8-6
1,8:11,NOP,Turnover,Brandon Ingram,,Lost ball out of bounds,8-6
1,8:03,NYK,3pt Made,Julius Randle,,Catch and shoot three,11-6
1,7:46,NOP,Substitution,Dyson Daniels,Herbert Jones,Jones subbed out,11-6
1,7:46,NYK,Substitution,Miles McBride,Jalen Brunson,Brunson subbed out,11-6
1,7:40,NOP,2pt Missed,Jonas Valanciunas,,Jump hook off target,11-6
1,7:37,NYK,Defensive Rebound,Isaiah Hartenstein,,Rebound controlled,11-6
1,7:31,NYK,Turnover,RJ Barrett,,Bad pass stolen,11-6 
1,7:27,NOP,Steal,Jose Alvarado,,Picked off errant pass,11-6
1,7:21,NOP,2pt Made,Jose Alvarado,,Fast break layup made,11-8
1,7:21,NYK,Substitution,Josh Hart,RJ Barrett,Barrett subbed out,11-8
1,7:02,NYK,3pt Made,Julius Randle,,Top of key three,14-8
1,6:48,NOP,Turnover,Jonas Valanciunas,,3 second violation,14-8
1,6:38,NYK,3pt Missed,Josh Hart,,Corner three off target,14-8
1,6:35,NOP,Defensive Rebound,Larry Nance Jr.,,Rebound gathered,14-8
1,6:29,NOP,Substitution,Trey Murphy III,Brandon Ingram,Ingram subbed out,14-8
1,6:23,NOP,2pt Made,Jonas Valanciunas,,Putback layup scores,14-10
1,6:07,NYK,2pt Missed,Isaiah Hartenstein,,Cutting layup blocked,14-10
1,6:05,NOP,Block,Larry Nance Jr.,,Shot blocked,14-10
1,6:02,NYK,Offensive Rebound,Obi Toppin,,Rebound off miss,14-10
1,5:58,NYK,2pt Made,Miles McBride,,Midrange jumper good,16-10
1,5:41,NOP,3pt Missed,Dyson Daniels,,Wing three bounces out,16-10
1,5:38,NYK,Defensive Rebound,Obi Toppin,,Rebound collected,16-10
1,5:32,NYK,3pt Made,Miles McBride,,Transition three swishes,19-10
1,5:09,NOP,2pt Made,Jose Alvarado,,Floater in lane,19-12
1,4:52,NYK,Substitution,Quentin Grimes,Obi Toppin,Toppin subbed out,19-12
1,4:52,NOP,Substitution,Naji Marshall,Larry Nance Jr.,Nance subbed out,19-12
1,4:47,NYK,2pt Made,Julius Randle,,Turnaround jumper good,21-12
1,4:31,NOP,Turnover,Trey Murphy III,,Bad pass intercepted,21-12  
1,4:28,NYK,Steal,Miles McBride,,Picked off pass,21-12
1,4:25,NYK,2pt Made,Josh Hart,,Breakaway dunk made,23-12
1,4:04,NOP,Substitution,CJ McCollum,Jose Alvarado,Alvarado subbed out,23-12
1,3:58,NOP,2pt Made,Jonas Valanciunas,,Turnaround hook shot,23-14
1,3:41,NYK,2pt Made,Isaiah Hartenstein,,Cutting dunk made,25-14
1,3:23,NOP,3pt Missed,CJ McCollum,,Pullup three off back rim,25-14
1,3:20,NYK,Defensive Rebound,Quentin Grimes,,Rebound secured,25-14
1,3:12,NYK,3pt Made,Quentin Grimes,,Catch and shoot three,28-14
1,2:58,NOP,Turnover,Trey Murphy III,,Traveling violation,28-14
1,2:52,NYK,3pt Missed,Miles McBride,,Step back three too strong,28-14
1,2:49,NOP,Defensive Rebound,Naji Marshall,,Rebound gathered,28-14
1,2:43,NOP,2pt Made,CJ McCollum,,Driving finger roll layup,28-16
1,2:26,NYK,Foul,Josh Hart,,Loose ball foul,28-16
1,2:19,NOP,Foul,Dyson Daniels,,Shooting foul,28-16
1,2:19,NYK,Free Throw 1 Made,Julius Randle,,First free throw good,29-16
1,2:19,NYK,Free Throw 2 Made,Julius Randle,,Second free throw good,30-16
1,2:08,NOP,2pt Missed,Trey Murphy III,,Baseline jumper missed,30-16
1,2:05,NYK,Defensive Rebound,Isaiah Hartenstein,,Rebound controlled,30-16 
1,1:59,NYK,2pt Missed,Julius Randle,,Driving layup blocked,30-16
1,1:56,NOP,Block,Jonas Valanciunas,,Shot blocked,30-16
1,1:52,NOP,Defensive Rebound,Dyson Daniels,,Rebound collected,30-16
1,1:46,NOP,2pt Made,CJ McCollum,,Pullup jumper good,30-18
1,1:35,NYK,3pt Made,Quentin Grimes,,Wing three pointer made,33-18
1,1:12,NOP,3pt Missed,Naji Marshall,,Corner three off target,33-18
1,1:09,NYK,Defensive Rebound,Josh Hart,,Rebound saved,33-18
1,1:06,NYK,Substitution,Jericho Sims,Isaiah Hartenstein,Hartenstein subbed out,33-18
1,1:01,NYK,2pt Made,Miles McBride,,Driving layup made,35-18
1,0:45,NOP,2pt Missed,Jonas Valanciunas,,Turnaround hook shot missed,35-18
1,0:42,NYK,Defensive Rebound,Julius Randle,,Rebound collected,35-18
1,0:35,NYK,3pt Missed,Quentin Grimes,,Transition three too strong,35-18
1,0:32,NOP,Defensive Rebound,Trey Murphy III,,Rebound controlled,35-18
1,0:28,NOP,3pt Missed,CJ McCollum,,Pullup three bounces out,35-18
1,0:25,NYK,Defensive Rebound,Josh Hart,,Rebound secured,35-18
1,0:03,NYK,3pt Made,Josh Hart,,Stepback three at buzzer,38-18



2,12:00,NOP,2pt Made,Trey Murphy III,,Cutting layup scores,38-20
2,11:44,NYK,Turnover,Jericho Sims,,Lost ball out of bounds,38-20
2,11:39,NOP,2pt Missed,CJ McCollum,,Pullup jumper off front rim,38-20
2,11:36,NYK,Defensive Rebound,Josh Hart,,Rebound gathered,38-20
2,11:31,NYK,3pt Missed,Quentin Grimes,,Corner three too strong,38-20
2,11:28,NOP,Defensive Rebound,Naji Marshall,,Rebound controlled,38-20
2,11:22,NOP,2pt Made,Naji Marshall,,Driving layup made,38-22
2,11:22,NYK,Substitution,Immanuel Quickley,Quentin Grimes,Grimes subbed out,38-22
2,11:07,NYK,2pt Made,Miles McBride,,Midrange jumper good,40-22
2,10:51,NOP,3pt Made,CJ McCollum,,Catch and shoot three,40-25
2,10:36,NYK,2pt Made,Julius Randle,,Turnaround fadeaway made,42-25
2,10:16,NOP,Substitution,Herbert Jones,Dyson Daniels,Daniels subbed out,42-25
2,10:16,NOP,Substitution,Brandon Ingram,CJ McCollum,McCollum subbed out,42-25
2,10:12,NOP,3pt Missed,Trey Murphy III,,Wing three off back rim,42-25
2,10:09,NYK,Defensive Rebound,Jericho Sims,,Rebound secured,42-25
2,10:04,NYK,2pt Made,Immanuel Quickley,,Driving finger roll layup,44-25
2,9:48,NOP,Turnover,Brandon Ingram,,Bad pass stolen,44-25
2,9:45,NYK,Steal,Immanuel Quickley,,Picked off pass,44-25
2,9:41,NYK,2pt Made,Josh Hart,,Fast break dunk made,46-25
2,9:41,NOP,Timeout,,,Full timeout called,46-25
2,9:28,NOP,Substitution,Zion Williamson,Trey Murphy III,Williamson checks in,46-25
2,9:28,NOP,Substitution,Larry Nance Jr.,Naji Marshall,Nance checks in,46-25
2,9:25,NOP,2pt Made,Zion Williamson,,Post up and score,46-27
2,9:10,NYK,3pt Missed,Julius Randle,,Step back three off target,46-27
2,9:07,NOP,Defensive Rebound,Larry Nance Jr.,,Rebound collected,46-27
2,9:01,NOP,2pt Made,Herbert Jones,,Cutting dunk made,46-29
2,8:48,NYK,2pt Missed,Jericho Sims,,Hook shot blocked,46-29
2,8:46,NOP,Block,Jonas Valanciunas,,Shot blocked,46-29
2,8:42,NOP,Defensive Rebound,Brandon Ingram,,Rebound gathered,46-29
2,8:37,NOP,2pt Made,Brandon Ingram,,Driving layup scores,46-31  
2,8:37,NYK,Substitution,Obi Toppin,Jericho Sims,Sims subbed out,46-31
2,8:22,NYK,Turnover,Josh Hart,,Lost ball out of bounds,46-31
2,8:14,NOP,2pt Missed,Herbert Jones,,Putback layup off target,46-31
2,8:11,NYK,Defensive Rebound,Obi Toppin,,Rebound secured,46-31
2,8:06,NYK,2pt Made,Julius Randle,,Driving hook shot made,48-31
2,7:51,NOP,Turnover,Zion Williamson,,Offensive foul,48-31
2,7:51,NYK,Substitution,RJ Barrett,Josh Hart,Hart subbed out,48-31
2,7:39,NYK,3pt Made,Immanuel Quickley,,Catch and shoot three,51-31
2,7:21,NOP,3pt Missed,Brandon Ingram,,Step back three rims out,51-31
2,7:18,NYK,Defensive Rebound,Julius Randle,,Rebound collected,51-31  
2,7:11,NYK,Turnover,RJ Barrett,,Bad pass intercepted,51-31
2,7:08,NOP,Steal,Larry Nance Jr.,,Picked off pass,51-31
2,7:02,NOP,2pt Made,Zion Williamson,,Breakaway dunk made,51-33
2,6:48,NYK,2pt Missed,RJ Barrett,,Pullup jumper misses,51-33
2,6:45,NOP,Defensive Rebound,Jonas Valanciunas,,Rebound secured,51-33
2,6:39,NOP,2pt Made,Brandon Ingram,,Running jump shot made,51-35
2,6:39,NYK,Timeout,,,Full timeout called,51-35
2,6:28,NYK,Substitution,Mitchell Robinson,Obi Toppin,Obi subbed out,51-35
2,6:28,NYK,Substitution,Jalen Brunson,Miles McBride,McBride subbed out,51-35
2,6:25,NYK,2pt Made,Jalen Brunson,,Floater in lane,53-35
2,6:08,NOP,3pt Missed,Brandon Ingram,,Wing three off back rim,53-35  
2,6:05,NYK,Defensive Rebound,Mitchell Robinson,,Rebound gathered,53-35
2,6:01,NYK,2pt Missed,RJ Barrett,,Driving layup blocked,53-35
2,5:59,NOP,Block,Larry Nance Jr.,,Shot blocked,53-35
2,5:55,NOP,Defensive Rebound,Herbert Jones,,Rebound collected,53-35
2,5:50,NOP,2pt Made,Zion Williamson,,Cutting dunk made,53-37
2,5:33,NYK,2pt Made,Julius Randle,,Turnaround bank shot,55-37
2,5:16,NOP,Turnover,Brandon Ingram,,Traveling violation,55-37
2,5:16,NYK,Substitution,Quentin Grimes,Immanuel Quickley,Quickley subbed out,55-37
2,5:00,NYK,3pt Made,Quentin Grimes,,Catch and shoot three,58-37
2,4:42,NOP,2pt Made,Jonas Valanciunas,,Jump hook made,58-39
2,4:42,NOP,Substitution,CJ McCollum,Brandon Ingram,Ingram subbed out,58-39
2,4:32,NYK,2pt Missed,RJ Barrett,,Turnaround jumper missed,58-39
2,4:29,NOP,Defensive Rebound,Jonas Valanciunas,,Rebound secured,58-39 
2,4:22,NOP,2pt Made,Zion Williamson,,Driving layup scores,58-41
2,4:11,NYK,Turnover,Jalen Brunson,,Bad pass stolen,58-41
2,4:07,NOP,Steal,Herbert Jones,,Picked off pass,58-41
2,4:00,NOP,2pt Made,Zion Williamson,,Breakaway layup made,58-43
2,3:45,NYK,3pt Missed,Julius Randle,,Step back three too strong,58-43
2,3:42,NOP,Defensive Rebound,Zion Williamson,,Rebound collected,58-43
2,3:37,NOP,2pt Made,CJ McCollum,,Pullup jumper good,58-45
2,3:37,NYK,Timeout,,,Full timeout called,58-45
2,3:26,NYK,Substitution,Josh Hart,RJ Barrett,Barrett subbed out,58-45
2,3:26,NOP,Substitution,Jose Alvarado,Herbert Jones,Jones subbed out,58-45
2,3:24,NYK,2pt Made,Julius Randle,,Driving layup made,60-45
2,3:10,NOP,3pt Missed,CJ McCollum,,Step back three off target,60-45
2,3:07,NYK,Defensive Rebound,Mitchell Robinson,,Rebound secured,60-45
2,3:01,NYK,3pt Made,Quentin Grimes,,Transition three pointer,63-45
2,2:43,NOP,Turnover,Jose Alvarado,,Bad pass out of bounds,63-45
2,2:38,NYK,3pt Missed,Quentin Grimes,,Wing three off back rim,63-45  
2,2:35,NOP,Defensive Rebound,Larry Nance Jr.,,Rebound gathered,63-45
2,2:29,NOP,2pt Made,Zion Williamson,,Post up and score,63-47
2,2:12,NYK,3pt Missed,Julius Randle,,Catch and shoot three short,63-47
2,2:09,NOP,Defensive Rebound,CJ McCollum,,Rebound controlled,63-47
2,2:03,NOP,2pt Missed,Zion Williamson,,Turnaround jumper misses,63-47
2,2:00,NYK,Defensive Rebound,Mitchell Robinson,,Rebound secured,63-47
2,1:54,NYK,2pt Missed,Josh Hart,,Driving layup blocked,63-47
2,1:52,NOP,Block,Larry Nance Jr.,,Shot blocked,63-47
2,1:48,NOP,Defensive Rebound,Jose Alvarado,,Rebound collected,63-47
2,1:44,NOP,2pt Missed,CJ McCollum,,Floater in lane missed,63-47
2,1:41,NYK,Defensive Rebound,Julius Randle,,Rebound gathered,63-47
2,1:37,NYK,2pt Made,Jalen Brunson,,Pullup jumper made,65-47
2,1:21,NOP,Turnover,Jose Alvarado,,Offensive foul,65-47
2,1:21,NOP,Substitution,Trey Murphy III,Larry Nance Jr.,Nance subbed out,65-47
2,1:21,NYK,Substitution,Obi Toppin,Julius Randle,Randle subbed out,65-47
2,1:12,NYK,3pt Missed,Jalen Brunson,,Step back three rims out,65-47
2,1:09,NOP,Defensive Rebound,Jonas Valanciunas,,Rebound secured,65-47
2,1:01,NOP,Turnover,CJ McCollum,,Lost ball out of bounds,65-47
2,0:52,NYK,2pt Made,Obi Toppin,,Cutting layup made,67-47  
2,0:39,NOP,Turnover,Zion Williamson,,Ball stolen,67-47
2,0:36,NYK,Steal,Josh Hart,,Picked off pass,67-47
2,0:33,NYK,2pt Made,Quentin Grimes,,Fast break layup scores,69-47
2,0:22,NOP,2pt Made,Zion Williamson,,Driving layup made,69-49
2,0:03,NYK,3pt Missed,Quentin Grimes,,Pullup three point attempt,69-49
2,0:01,NOP,Defensive Rebound,Jonas Valanciunas,,Rebound gathered,69-49




3,12:00,NYK,2pt Made,Mitchell Robinson,,Alley-oop dunk made,71-49
3,11:44,NOP,2pt Missed,CJ McCollum,,Pullup jumper off target,71-49
3,11:41,NYK,Defensive Rebound,Julius Randle,,Rebound secured,71-49
3,11:35,NYK,Turnover,Jalen Brunson,,Bad pass intercepted,71-49
3,11:32,NOP,Steal,Herbert Jones,,Picked off pass,71-49
3,11:28,NOP,2pt Made,Zion Williamson,,Fast break dunk made,71-51
3,11:12,NYK,2pt Missed,RJ Barrett,,Driving layup blocked,71-51
3,11:10,NOP,Block,Jonas Valanciunas,,Shot blocked,71-51
3,11:06,NOP,Defensive Rebound,Brandon Ingram,,Rebound gathered,71-51
3,11:00,NOP,3pt Made,CJ McCollum,,Catch and shoot three,71-54
3,10:45,NYK,2pt Made,Julius Randle,,Turnaround jumper good,73-54
3,10:28,NOP,Turnover,Zion Williamson,,Offensive foul,73-54
3,10:28,NYK,Substitution,Josh Hart,RJ Barrett,Barrett subbed out,73-54
3,10:19,NYK,2pt Missed,Mitchell Robinson,,Hook shot misses,73-54
3,10:16,NOP,Defensive Rebound,Jonas Valanciunas,,Rebound secured,73-54
3,10:10,NOP,2pt Made,Brandon Ingram,,Driving finger roll layup,73-56
3,9:54,NYK,3pt Missed,Jalen Brunson,,Step back three off back rim,73-56
3,9:51,NOP,Defensive Rebound,Herbert Jones,,Rebound collected,73-56
3,9:45,NOP,2pt Missed,Zion Williamson,,Post up fade away missed,73-56
3,9:42,NYK,Defensive Rebound,Julius Randle,,Rebound gathered,73-56
3,9:36,NYK,2pt Made,Mitchell Robinson,,Putback dunk made,75-56
3,9:21,NOP,2pt Missed,Brandon Ingram,,Pullup jumper bounces out,75-56
3,9:18,NYK,Defensive Rebound,Jalen Brunson,,Rebound controlled,75-56
3,9:12,NYK,3pt Made,Josh Hart,,Catch and shoot three,78-56
3,8:55,NOP,Turnover,CJ McCollum,,Bad pass out of bounds,78-56
3,8:55,NOP,Substitution,Larry Nance Jr.,Jonas Valanciunas,Valanciunas subbed out,78-56
3,8:45,NYK,2pt Made,Julius Randle,,Driving hook shot made,80-56
3,8:30,NOP,2pt Missed,Brandon Ingram,,Turnaround fadeaway missed,80-56
3,8:27,NYK,Defensive Rebound,Julius Randle,,Rebound secured,80-56
3,8:21,NYK,3pt Missed,Jalen Brunson,,Pullup three misses,80-56
3,8:18,NOP,Defensive Rebound,Herbert Jones,,Rebound gathered,80-56
3,8:12,NOP,2pt Made,Zion Williamson,,Driving layup scores,80-58
3,7:58,NYK,2pt Missed,Mitchell Robinson,,Jump hook off target,80-58
3,7:55,NOP,Defensive Rebound,Larry Nance Jr.,,Rebound collected,80-58
