
| Period | Time | Team | Event Type | Player 1 | Player 2 | Description | Score |
|---|---|---|---|---|---|---|---|

| Q1 | 11:58 | Knicks | Starting Lineup | - | - | RJ Barrett, Evan Fournier, Julius Randle, Mitchell Robinson, Immanuel Quickley | - |
| Q1 | 11:58 | Pelicans | Starting Lineup | - | - | CJ McCollum, Brandon Ingram, Jaxson Hayes, Jonas Valanciunas, Jose Alvarado | - |
| Q1 | 11:50 | Pelicans | Steal | Alvarado | Quickley | Alvarado picks off a lazy pass from Quickley at half court and takes it strong to the rim for a layup | 0-2 |
| Q1 | 11:38 | Knicks | 2 Point Shot | Randle | Valanciunas | Randle spins out of a double team in the post and hits a fadeaway jumper over Valanciunas | 2-2 |
| Q1 | 11:20 | Pelicans | 3 Point Shot | McCollum | Barrett | McCollum catches a kick-out pass from Ingram and drills a three from the corner | 2-5 |
| Q1 | 10:52 | Knicks | Turnover | Robinson | Hayes | Robinson gets stripped by Hayes going up for a rebound | 2-5 |
| Q1 | 10:45 | Pelicans | 2 Point Shot | Ingram | Randle | Ingram drives baseline and finishes with a tough layup over a scrambling Randle | 2-7 |
| Q1 | 10:30 | Knicks | Substitution | - | - | Derrick Rose in for Quickley, Alec Burks in for Fournier | - |
| Q1 | 10:30 | Pelicans | Substitution | - | - | Trey Murphy III in for Alvarado, Larry Nance Jr. in for Valanciunas | - |
| Q1 | 09:48 | Knicks | 3 Point Shot | Rose | McCollum | Rose pulls up for a three in transition and drains it over a contesting McCollum | 5-7 |
| Q1 | 09:22 | Pelicans | 2 Point Shot | Hayes | Robinson | Hayes throws down a putback dunk after Ingram misses a contested layup | 5-9 |
| Q1 | 08:50 | Knicks | 2 Point Shot | Randle | Nance Jr. | Randle posts up Nance Jr. and hits a turnaround hook shot | 7-9 |
| Q1 | 08:35 | Pelicans | 3 Point Shot | Murphy III | Burks | Murphy III catches a no-look pass from McCollum and buries a three from the wing | 7-12 |
| Q1 | 08:00 | Knicks | Substitution | - | - | Cam Reddish in for Barrett, Isaiah Hartenstein in for Robinson | - |
| Q1 | 08:00 | Pelicans | Substitution | - | - | Kira Lewis Jr. in for Murphy III, Willy Hernangomez in for Hayes | - |
| Q1 | 07:32 | Pelicans | Turnover | Lewis Jr. | Reddish | Lewis Jr. travels trying to drive past Reddish | 7-12 |
| Q1 | 07:20 | Knicks | 2 Point Shot | Burks | McCollum | Burks gets hot and hits a step-back jumper over McCollum | 9-12 |
| Q1 | 06:48 | Pelicans | 2 Point Shot | Ingram | Randle | Ingram uses a crossover to get past Randle and scores with a driving layup | 9-14 |
| Q1 | 06:15 | Knicks | 3 Point Shot | Rose | Lewis Jr. | Rose throws another three over Lewis Jr. and connects | 12-14 |
| Q1 | 05:42 | Pelicans | Foul | Hartenstein | Valanciunas | Hartenstein fouls Valanciunas on a rebound attempt | 12-14 |
| Q1 | 05:38 | Pelicans | Free Throw | Valanciunas | - | Valanciunas makes 1 of 2 free throws | 12-15 |
| Q1 | 05:10 | Knicks | 2 Point Shot | Reddish | Lewis Jr. | Reddish drives baseline and finishes with a reverse layup | 14-15 |
