RESULT:

Time,Team,Event Type,Player 1,Player 2,Description,Score
3:40,DAL,Shot,Luka Dončić,,Driving layup,DAL 26-23
3:20,OKC,Shot,Shai Gilgeous-Alexander,,Pullup jumper,DAL 26-25
3:00,DAL,Shot,Spencer Dinwiddie,,3-pointer,DAL 29-25
2:45,OKC,Turnover,Darius Bazley,,Bad pass,DAL 29-25
2:30,DAL,Shot,Luka Dončić,,Fadeaway jumper,DAL 31-25
2:10,OKC,Shot,Kenrich Williams,,Cutting layup,DAL 31-27
2:10,OKC,Assist,Josh Giddey,Kenrich Williams,Assists Williams,DAL 31-27
1:50,DAL,Shot,Kristaps Porziņģis,,Alley-oop dunk,DAL 33-27
1:50,DAL,Assist,Luka Dončić,Kristaps Porziņģis,Assists Porziņģis,DAL 33-27
1:35,OKC,Shot,Mike Muscala,,3-pointer,DAL 33-30
1:20,DAL,Turnover,Spencer Dinwiddie,,Lost ball,DAL 33-30
1:00,OKC,Shot,Shai Gilgeous-Alexander,,Driving finger roll,DAL 33-32
0:45,DAL,Shot,Luka Dončić,,Step-back 3-pointer,DAL 36-32
0:25,OKC,Shot,Josh Giddey,,Floater,DAL 36-34
0:05,DAL,Shot,Luka Dončić,,Deep 3-pointer,DAL 39-34
0:00,OKC,Shot,Shai Gilgeous-Alexander,,Half-court heave (misses),DAL 39-34

End of 1st Quarter: Dallas Mavericks 39, Oklahoma City Thunder 34
