RESULT:

Time,Team,Player,Action,Score
12:00,DAL,Luka Dončić,Wins the tip-off,DAL 0-0
11:45,DAL,Luka Dončić,Step-back 3-pointer,DAL 3-0
11:45,DAL,Kristaps Porziņģis,Assist,DAL 3-0
11:20,OKC,Shai Gilgeous-Alexander,Driving layup,DAL 3-2
10:55,DAL,Kristaps Porziņģis,Scores in the post,DAL 5-2
10:55,DAL,Luka Dončić,Assist,DAL 5-2
10:35,OKC,Luguentz Dort,Open 3-pointer,Tied 5-5
10:35,OKC,Josh Giddey,Assist,Tied 5-5
10:10,DAL,Tim Hardaway Jr.,Mid-range jumper,DAL 7-5
9:50,OKC,Jeremiah Robinson-Earl,Easy dunk,Tied 7-7
9:50,OKC,Darius Bazley,Assist,Tied 7-7
9:30,DAL,Jalen Brunson,Floater in the lane,DAL 9-7
9:15,OKC,Shai Gilgeous-Alexander,Draws a foul and makes both free throws,Tied 9-9
9:15,DAL,Dorian Finney-Smith,Foul,Tied 9-9
8:55,DAL,Dorian Finney-Smith,Corner 3-pointer,DAL 12-9
8:55,DAL,Luka Dončić,Assist,DAL 12-9
8:40,OKC,Darius Bazley,Dunk,DAL 12-11
8:40,OKC,Josh Giddey,Assist,DAL 12-11
8:20,DAL,Maxi Kleber,Put-back layup after an offensive rebound,DAL 14-11
7:55,OKC,Shai Gilgeous-Alexander,Pull-up jumper from the elbow,DAL 14-13
7:35,DAL,Tim Hardaway Jr.,3-pointer,DAL 17-13
7:35,DAL,Jalen Brunson,Assist,DAL 17-13
7:10,OKC,Jeremiah Robinson-Earl,Hook shot over Porziņģis,DAL 17-15
6:45,DAL,Luka Dončić,Fouled on a drive and makes 1 of 2 free throws,DAL 18-15
6:45,OKC,Luguentz Dort,Foul,DAL 18-15
6:20,OKC,Luguentz Dort,Misses a 3-pointer,DAL 18-15
6:20,DAL,Maxi Kleber,Rebound,DAL 18-15
5:55,DAL,Kristaps Porziņģis,Fouled on a post-up and makes both free throws,DAL 20-15
5:55,OKC,Darius Bazley,Foul,DAL 20-15
5:35,OKC,Josh Giddey,Driving layup,DAL 20-17
5:15,DAL,Luka Dončić,Step-back jumper over Dort,DAL 22-17
4:55,OKC,Shai Gilgeous-Alexander,3-pointer off a screen,DAL 22-20
4:55,OKC,Josh Giddey,Assist,DAL 22-20
