RESULT:

Here's the play-by-play for the fourth quarter of the hypothetical game between the Dallas Mavericks and the Oklahoma City Thunder:

Period,Time,Team,Event Type,Player 1,Player 2,Description,Score
4,12:00,OKC,Shot,Shai Gilgeous-Alexander,,Driving layup,DAL 121-116
4,11:40,DAL,Shot,Jalen Brunson,,Pullup jumper,DAL 123-116
4,11:20,OKC,Shot,Mike Muscala,,3-pointer,DAL 123-119
4,11:00,DAL,Turnover,Spencer Dinwiddie,,Bad pass,DAL 123-119
4,10:45,OKC,Shot,Luguentz Dort,,3-pointer,DAL 123-122
4,10:25,DAL,Shot,Davis Bertans,,3-pointer,DAL 126-122
4,10:05,OKC,Shot,Josh Giddey,,Floater,DAL 126-124
4,9:45,DAL,Shot,Tim Hardaway Jr.,,Mid-range jumper,DAL 128-124
4,9:25,OKC,Timeout,Coach Mark Daigneault,,Calls a timeout,DAL 128-124
4,9:10,OKC,Shot,Shai Gilgeous-Alexander,,Pullup jumper,DAL 128-126
4,8:50,DAL,Shot,Luka Dončić,,3-pointer,DAL 131-126
4,8:30,OKC,Shot,Darius Bazley,,Dunk,DAL 131-128
4,8:10,DAL,Shot,Kristaps Porziņģis,,Hook shot,DAL 133-128
4,7:50,OKC,Shot,Kenrich Williams,,3-pointer,DAL 133-131
4,7:30,DAL,Shot,Jalen Brunson,,Driving layup,DAL 135-131
4,7:10,OKC,Shot,Shai Gilgeous-Alexander,,Fadeaway jumper,DAL 135-133
4,6:50,DAL,Shot,Luka Dončić,,Step-back 3-pointer,DAL 138-133
4,6:30,OKC,Shot,Josh Giddey,,Layup,DAL 138-135
4,6:10,DAL,Timeout,Coach Jason Kidd,,Calls a timeout,DAL 138-135
4,5:55,DAL,Shot,Tim Hardaway Jr.,,3-pointer,DAL 141-135
4,5:35,OKC,Shot,Mike Muscala,,3-pointer,DAL 141-138
4,5:15,DAL,Shot,Luka Dončić,,Driving layup,DAL 143-138
4,4:55,OKC,Shot,Luguentz Dort,,3-pointer,DAL 143-141
4,4:35,DAL,Shot,Kristaps Porziņģis,,Alley-oop dunk,DAL 145-141
4,4:35,DAL,Assist,Luka Dončić,Kristaps Porziņģis,Assists Porziņģis,DAL 145-141
4,4:15,OKC,Shot,Shai Gilgeous-Alexander,,Driving layup,DAL 145-143
4,3:55,DAL,Shot,Dorian Finney-Smith,,Corner 3-pointer,DAL 148-143
4,3:35,OKC,Shot,Josh Giddey,,Floater,DAL 148-145
4,3:15,DAL,Shot,Luka Dončić,,Step-back jumper,DAL 150-145
4,2:55,OKC,Timeout,Coach Mark Daigneault,,Calls a timeout,DAL 150-145
4,2:45,OKC,Shot,Shai Gilgeous-Alexander,,3-pointer,DAL 150-148
4,2:25,DAL,Shot,Jalen Brunson,,Pullup jumper,DAL 152-148
4,2:05,OKC,Shot,Mike Muscala,,3-pointer,DAL 152-151
4,1:45,DAL,Shot,Luka Dončić,,Driving layup,DAL 154-151
4,1:25,OKC,Shot,Luguentz Dort,,3-pointer,Tied 154-154
4,1:05,DAL,Shot,Kristaps Porziņģis,,Hook shot,DAL 156-154
4,0:45,OKC,Shot,Shai Gilgeous-Alexander,,Driving layup,Tied 156-156
4,0:25,DAL,Shot,Luka Dončić,,Step-back 3-pointer,DAL 159-156
4,0:05,OKC,Shot,Shai Gilgeous-Alexander,,Game-tying 3-point attempt (misses),DAL 159-156
4,0:00,DAL,Rebound,Dorian Finney-Smith,,Secures the rebound,DAL 159-156

Final Score: Dallas Mavericks 159, Oklahoma City Thunder 156
