,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:11 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Capela vs. Lively II: Tip to Johnson,0,0,Clint Capela,ATL,Dereck Lively II,DAL,Jalen Johnson,ATL
2,2POINT.ASSIST,1,11:40,Johnson 1' Layup (2 PTS) (Young 1 AST),0 - 2,2,Jalen Johnson,ATL,Trae Young,ATL,,
3,2POINT,1,11:18,Doncic 1' Driving Layup (2 PTS),2 - 2,TIE,Luka Doncic,DAL,,,,
6,2POINTMISS.BLOCK,1,10:29,MISS Young 1' Driving LayupLively II BLOCK (1 BLK),4 - 4,TIE,Trae Young,ATL,,,Dereck Lively II,DAL
7,REBOUND,1,10:26,Lively II REBOUND (Off:0 Def:1),4 - 4,TIE,Dereck Lively II,DAL,,,,
8,3POINT.ASSIST,1,10:24,Green 3PT Running Jump Shot (3 PTS) (G. Williams 1 AST),7 - 4,-3,Josh Green,DAL,Grant Williams,DAL,,
9,3POINT.ASSIST,1,10:07,Johnson 25' 3PT Jump Shot (7 PTS) (Murray 1 AST),7 - 7,TIE,Jalen Johnson,ATL,Dejounte Murray,ATL,,
10,2POINTMISS,1,9:45,MISS Green 6' Turnaround Bank Shot,7 - 7,TIE,Josh Green,DAL,,,,
11,REBOUND,1,9:42,Capela REBOUND (Off:0 Def:1),7 - 7,TIE,Clint Capela,ATL,,,,
12,3POINTMISS,1,9:33,MISS Murray 26' 3PT Pullup Jump Shot,7 - 7,TIE,Dejounte Murray,ATL,,,,
13,REBOUND,1,9:30,Doncic REBOUND (Off:0 Def:1),7 - 7,TIE,Luka Doncic,DAL,,,,
14,2POINT,1,9:22,Doncic 17' Step Back Jump Shot (6 PTS),9 - 7,-2,Luka Doncic,DAL,,,,
15,VIOLATION,1,9:07,Jones Jr. Violation:Kicked Ball (T.Ford),9 - 7,-2,Derrick Jones Jr.,DAL,,,,
16,3POINTMISS,1,9:00,MISS Bey 3PT Jump Shot,9 - 7,-2,Saddiq Bey,ATL,,,,
17,REBOUND,1,8:57,Lively II REBOUND (Off:0 Def:2),9 - 7,-2,Dereck Lively II,DAL,,,,
18,FOUL,1,8:49,Lively II OFF.Foul (P1) (M.Kallio),9 - 7,-2,Dereck Lively II,DAL,Clint Capela,ATL,,
19,TURNOVER,1,8:49,Lively II Offensive Foul Turnover (P1.T1),9 - 7,-2,Dereck Lively II,DAL,,,,
20,TURNOVER,1,8:33,Capela Out of Bounds Lost Ball Turnover (P1.T1),9 - 7,-2,Clint Capela,ATL,,,,
21,3POINTMISS,1,8:16,MISS Doncic 25' 3PT Pullup Jump Shot,9 - 7,-2,Luka Doncic,DAL,,,,
22,REBOUND,1,8:08,Green REBOUND (Off:1 Def:0),9 - 7,-2,Josh Green,DAL,,,,
23,2POINTMISS,1,8:05,MISS Doncic 4' Driving Hook Shot,9 - 7,-2,Luka Doncic,DAL,,,,
24,REBOUND,1,8:01,Bey REBOUND (Off:0 Def:1),9 - 7,-2,Saddiq Bey,ATL,,,,
25,2POINTMISS,1,7:56,MISS Young 9' Driving Floating Jump Shot,9 - 7,-2,Trae Young,ATL,,,,
26,REBOUND,1,7:52,Lively II REBOUND (Off:0 Def:3),9 - 7,-2,Dereck Lively II,DAL,,,,
27,2POINT.ASSIST,1,7:49,Green 1' Running Dunk (5 PTS) (Doncic 1 AST),11 - 7,-4,Josh Green,DAL,Luka Doncic,DAL,,
28,TIMEOUT,1,7:49,HAWKS Timeout: Regular (Full 1 Short 0),11 - 7,-4,,,,,,
29,SUB,1,7:49,SUB: Hardaway Jr. FOR Jones Jr.,11 - 7,-4,Derrick Jones Jr.,DAL,Tim Hardaway Jr.,DAL,,
30,2POINTMISS,1,7:36,MISS Murray 8' Driving Floating Bank Jump Shot,11 - 7,-4,Dejounte Murray,ATL,,,,
31,REBOUND,1,7:31,Hardaway Jr. REBOUND (Off:0 Def:1),11 - 7,-4,Tim Hardaway Jr.,DAL,,,,
32,2POINTMISS,1,7:29,MISS Lively II 1' Running Alley Oop Dunk Shot,11 - 7,-4,Dereck Lively II,DAL,,,,
33,REBOUND,1,7:24,Capela REBOUND (Off:0 Def:2),11 - 7,-4,Clint Capela,ATL,,,,
34,2POINTMISS,1,7:22,MISS Bey 2' Running Layup,11 - 7,-4,Saddiq Bey,ATL,,,,
35,REBOUND,1,7:20,Hardaway Jr. REBOUND (Off:0 Def:2),11 - 7,-4,Tim Hardaway Jr.,DAL,,,,
36,2POINT.ASSIST,1,7:18,Doncic 1' Running Layup (8 PTS) (Hardaway Jr. 1 AST),13 - 7,-6,Luka Doncic,DAL,Tim Hardaway Jr.,DAL,,
37,2POINT,1,7:08,Young 11' Driving Floating Bank Jump Shot (2 PTS),13 - 9,-4,Trae Young,ATL,,,,
