eventmsgtype,period,pctimestring,score,scoremargin,player1_name,player2_name,player3_name,homedescription,visitordescription,neutraldescription
MADE FG - ASSIST,1,12:00,,,,,,,,Start of 1st Period (8:11 PM EST)
MADE FG - ASSIST,1,12:00,,,Nikola Vucevic,Mike Muscala,Luguentz Dort,Jump Ball Vucevic vs. Muscala: Tip to Dort,,
FOUL,1,11:57,,,Ayo Dosunmu,Luguentz Dort,,Dosunmu S.FOUL (P1.T1) (D.Taylor),,
MADE FREE THROW,1,11:57,Jan-00,-1,Luguentz Dort,,,,Dort Free Throw 1 of 2 (1 PTS),
MADE FREE THROW,1,11:57,Feb-00,-2,Luguentz Dort,,,,Dort Free Throw 2 of 2 (2 PTS),
MADE FG - ASSIST,1,11:38,2-Feb,TIE,Alex Caruso,Nikola Vucevic,,Caruso 2' Cutting Layup Shot (2 PTS) (Vucevic 1 AST),,
MADE FG - ASSIST,1,11:28,2-May,-3,Mike Muscala,Shai Gilgeous-Alexander,,,Muscala 26' 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 1 AST),
MISS-BLOCK,1,11:13,,,Zach LaVine,,,MISS LaVine 27' 3PT Pullup Jump Shot,,
DREB-OREB,1,11:10,,,Jalen Williams,,,,Jal. Williams REBOUND (Off:0 Def:1),
MISS-BLOCK,1,11:04,,,Josh Giddey,,Patrick Williams,Williams BLOCK (1 BLK),MISS Giddey 2' Driving Layup,
DREB-OREB,1,11:04,,,Ayo Dosunmu,,,Dosunmu REBOUND (Off:0 Def:1),,
MADE FG - ASSIST,1,10:57,5-May,TIE,Patrick Williams,Ayo Dosunmu,,Williams 25' 3PT Running Pull-Up Jump Shot (3 PTS) (Dosunmu 1 AST),,
MADE FG - ASSIST,1,10:39,5-Jul,-2,Luguentz Dort,,,,Dort 1' Driving Layup (4 PTS),
FOUL,1,10:32,,,Patrick Williams,Luguentz Dort,,Williams OFF.Foul (P1) (T.Ford),,
STEAL-TUROVER,1,10:32,,,Patrick Williams,,,Williams Offensive Foul Turnover (P1.T1),,
MISS-BLOCK,1,10:14,,,Mike Muscala,,,,MISS Muscala 26' 3PT Jump Shot,
DREB-OREB,1,10:10,,,Josh Giddey,,,,Giddey REBOUND (Off:1 Def:0),
MISS-BLOCK,1,10:09,,,Luguentz Dort,,,,MISS Dort 25' 3PT Jump Shot,
