index ,eventmsgtype     ,period ,pctimestring ,homedescription                                                ,neutraldescription ,visitordescription                                    ,score     ,scoremargin ,player1_name            ,player1_team_abbreviation ,player2_name            ,player2_team_abbreviation ,player3_name     ,player3_team_abbreviation
    0 ,2POINTMISS       ,     1 ,11:48        ,                                                               ,                   ,MISS Curry 25' Fadeaway Jump Shot                     ,          ,            ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
    1 ,REBOUND          ,     1 ,11:45        ,Giddey REBOUND (Off:0 Def:1)                                   ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
    2 ,TURNOVER         ,     1 ,11:38        ,Gilgeous-Alexander Out of Bounds - Bad Pass Turnover (P1.T1)   ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
    3 ,3POINTMISS       ,     1 ,11:29        ,                                                               ,                   ,MISS Thompson 24' 3PT Jump Shot                       ,          ,            ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
    4 ,REBOUND          ,     1 ,11:25        ,Pokusevski REBOUND (Off:0 Def:1)                               ,                   ,                                                      ,          ,            ,Aleksej Pokusevski      ,OKC                       ,                        ,                          ,                 ,
    5 ,2POINT           ,     1 ,11:18        ,Dort 7' Driving Floating Bank Jump Shot (2 PTS)                ,                   ,                                                      ,0 - 2     ,2           ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
    6 ,3POINTMISS       ,     1 ,11:04        ,                                                               ,                   ,MISS Wiggins 26' 3PT Jump Shot                        ,          ,            ,Andrew Wiggins          ,GSW                       ,                        ,                          ,                 ,
    7 ,REBOUND          ,     1 ,11:02        ,Pokusevski REBOUND (Off:0 Def:2)                               ,                   ,                                                      ,          ,            ,Aleksej Pokusevski      ,OKC                       ,                        ,                          ,                 ,
    8 ,2POINT_ASSIST    ,     1 ,10:52        ,Giddey 18' Jump Bank Shot (2 PTS) (Gilgeous-Alexander 1 AST)   ,                   ,                                                      ,0 - 4     ,4           ,Josh Giddey             ,OKC                       ,Shai Gilgeous-Alexander ,OKC                       ,                 ,
    9 ,3POINT           ,     1 ,10:34        ,                                                               ,                   ,Curry 24' 3PT Jump Shot (3 PTS)                       ,3 - 4     ,1           ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
   10 ,2POINTMISS       ,     1 ,10:16        ,MISS Giddey 9' Floating Jump Shot                              ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
   11 ,REBOUND          ,     1 ,10:13        ,                                                               ,                   ,Looney REBOUND (Off:0 Def:1)                          ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
   12 ,FOUL             ,     1 ,10:08        ,                                                               ,                   ,Mann P.FOUL (P1.T1) (S.Wall)                          ,          ,            ,Tre Mann                ,OKC                       ,Jordan Poole            ,GSW                       ,                 ,
   13 ,3POINT           ,     1 ,10:00        ,                                                               ,                   ,Poole 26' 3PT Jump Shot (3 PTS)                       ,6 - 4     ,-2          ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
   14 ,2POINT           ,     1 ,9:40         ,Gilgeous-Alexander 16' Step Back Jump Shot (2 PTS)             ,                   ,                                                      ,6 - 6     ,0           ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
   15 ,3POINT_ASSIST    ,     1 ,9:16         ,Giddey 26' 3PT Jump Shot (5 PTS) (Gilgeous-Alexander 2 AST)    ,                   ,                                                      ,6 - 9     ,3           ,Josh Giddey             ,OKC                       ,Shai Gilgeous-Alexander ,OKC                       ,                 ,
   16 ,FTMISS           ,     1 ,8:59         ,                                                               ,                   ,MISS Curry Free Throw 1 of 2                          ,          ,            ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
   17 ,REBOUND          ,     1 ,8:59         ,WARRIORS Rebound                                               ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
   18 ,TURNOVER         ,     1 ,8:56         ,                                                               ,                   ,Looney Lost Ball Turnover (P1.T2)                     ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
   19 ,2POINT_ASSIST    ,     1 ,8:41         ,Dort 27' 3PT Jump Shot (5 PTS) (Mann 1 AST)                    ,                   ,                                                      ,6 - 12    ,6           ,Luguentz Dort           ,OKC                       ,Tre Mann                ,OKC                       ,                 ,
   20 ,TIMEOUT          ,     1 ,8:41         ,                                                               ,                   ,Warriors Timeout: Regular (Reg.1 Short 0)             ,          ,            ,                        ,                          ,                        ,                          ,                 ,
   21 ,3POINTMISS       ,     1 ,8:32         ,                                                               ,                   ,MISS Poole 23' 3PT Jump Shot                          ,          ,            ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
   22 ,REBOUND          ,     1 ,8:28         ,Pokusevski REBOUND (Off:0 Def:3)                               ,                   ,                                                      ,          ,            ,Aleksej Pokusevski      ,OKC                       ,                        ,                          ,                 ,
   23 ,TURNOVER         ,     1 ,8:16         ,Pokusevski Bad Pass Turnover (P2.T3)                           ,                   ,Thompson STEAL (1 STL)                                ,          ,            ,Aleksej Pokusevski      ,OKC                       ,Klay Thompson           ,GSW                       ,                 ,
   24 ,2POINT_ASSIST    ,     1 ,8:08         ,                                                               ,                   ,Thompson 18' Pullup Jump Shot (2 PTS) (Curry 1 AST)   ,8 - 12    ,4           ,Klay Thompson           ,GSW                       ,Stephen Curry           ,GSW                       ,                 ,
   25 ,2POINT           ,     1 ,7:41         ,Gilgeous-Alexander 20' Pullup Jump Shot (4 PTS)                ,                   ,                                                      ,8 - 14    ,6           ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
