,eventmsgtype,period,pctimestring,homedescription,neutraldescription,visitordescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,2FG_MISS,1,11:40,,,MISS Irving 12' Fadeaway Bank Shot,,,Kyrie Irving,DAL,,,,
1,REB,1,11:38,Holmgren REBOUND (Off:0 Def:1),,,,,Chet Holmgren,OKC,,,,
2,PF,1,11:33,,,Washington P.FOUL (P1.T1) (J.Capers),,,P.J. Washington,DAL,Luguentz Dort,OKC,,
3,STL_TO,1,11:28,Gilgeous-Alexander Bad Pass Turnover (P1.T1),,Jones Jr. STEAL (1 STL),,,Shai Gilgeous-Alexander,OKC,Derrick Jones Jr.,DAL,,
4,2FG,1,11:23,,,Doncic 8' Fadeaway Bank Shot (2 PTS),2 - 0,-2,Luka Doncic,DAL,,,,
5,3FG_AST,1,11:05,Holmgren 25' 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 1 AST),,,2 - 3,1,Chet Holmgren,OKC,Shai Gilgeous-Alexander,OKC,,
6,3FG_MISS,1,10:53,,,MISS Washington 24' 3PT Jump Shot,,,P.J. Washington,DAL,,,,
7,REB,1,10:51,THUNDER Rebound,,,,,,,,,,
8,PF,1,10:51,,,Irving L.B.FOUL (P1.T2) (J.Capers),,,Kyrie Irving,DAL,Jalen Williams,OKC,,
9,3FG_AST,1,10:33,Joe 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 2 AST),,,2 - 6,4,Isaiah Joe,OKC,Shai Gilgeous-Alexander,OKC,,
10,2FG_MISS,1,10:18,,,MISS Doncic 13' Fadeaway Jumper,,,Luka Doncic,DAL,,,,
11,REB,1,10:14,Joe REBOUND (Off:0 Def:1),,,,,Isaiah Joe,OKC,,,,
12,2FG,1,10:03,Gilgeous-Alexander 1' Driving Dunk (2 PTS),,,2 - 8,6,Shai Gilgeous-Alexander,OKC,,,,
13,3FG_AST,1,9:47,,,Jones Jr. 3PT Jump Shot (3 PTS) (Doncic 1 AST),5 - 8,3,Derrick Jones Jr.,DAL,Luka Doncic,DAL,,
14,3FG_MISS,1,9:28,MISS Dort 25' 3PT Jump Shot,,,,,Luguentz Dort,OKC,,,,
15,REB,1,9:26,Joe REBOUND (Off:1 Def:1),,,,,Isaiah Joe,OKC,,,,
16,3FG_MISS,1,9:17,MISS Dort 26' 3PT Jump Shot,,,,,Luguentz Dort,OKC,,,,
17,REB,1,9:14,Jal. Williams REBOUND (Off:1 Def:0),,,,,Jalen Williams,OKC,,,,
18,2FG_MISS_BLK,1,9:04,MISS Holmgren 4' Cutting Dunk Shot,,Gafford BLOCK (1 BLK),,,Chet Holmgren,OKC,,,Daniel Gafford,DAL
19,REB,1,9:01,,,Doncic REBOUND (Off:0 Def:1),,,Luka Doncic,DAL,,,,
20,PF,1,8:58,Joe P.FOUL (P1.T1) (C.Kirkland),,,,,Isaiah Joe,OKC,P.J. Washington,DAL,,
21,2FG,1,8:40,,,Irving 8' Driving Bank Hook Shot (2 PTS),7 - 8,1,Kyrie Irving,DAL,,,,
22,PF,1,8:30,,,Gafford P.FOUL (P1.T3) (C.Kirkland),,,Daniel Gafford,DAL,Chet Holmgren,OKC,,
