,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
23,SUB,1,9:13,SUB: Green FOR Washington,13 - 5,-8,P.J. Washington,DAL,Josh Green,DAL,,
42,SUB,1,6:14,SUB: Lively II FOR Gafford,18 - 14,-4,Daniel Gafford,DAL,Dereck Lively II,DAL,,
43,SUB,1,6:14,SUB: Giddey FOR Gilgeous-Alexander,18 - 14,-4,Shai Gilgeous-Alexander,OKC,Josh Giddey,OKC,,
44,SUB,1,6:14,SUB: Jay. Williams FOR Holmgren,18 - 14,-4,Chet Holmgren,OKC,Jaylin Williams,OKC,,
60,SUB,1,4:31,SUB: Hardy FOR Doncic,20 - 16,-4,Luka Doncic,DAL,Jaden Hardy,DAL,,
61,SUB,1,4:31,SUB: Wiggins FOR Dort,20 - 16,-4,Luguentz Dort,OKC,Aaron Wiggins,OKC,,
62,SUB,1,4:31,SUB: Wallace FOR Joe,20 - 16,-4,Isaiah Joe,OKC,Cason Wallace,OKC,,
73,SUB,1,3:24,SUB: Hardaway Jr. FOR Jones Jr.,20 - 19,-1,Derrick Jones Jr.,DAL,Tim Hardaway Jr.,DAL,,
74,SUB,1,3:24,SUB: Gilgeous-Alexander FOR Jal. Williams,20 - 19,-1,Jalen Williams,OKC,Shai Gilgeous-Alexander,OKC,,
87,SUB,1,1:32,SUB: Doncic FOR Irving,25 - 21,-4,Kyrie Irving,DAL,Luka Doncic,DAL,,
88,SUB,1,1:32,SUB: Holmgren FOR Jay. Williams,25 - 21,-4,Jaylin Williams,OKC,Chet Holmgren,OKC,,
93,SUB,1,1:21,SUB: Dort FOR Wiggins,26 - 21,-5,Aaron Wiggins,OKC,Luguentz Dort,OKC,,
104,SUB,1,0:04,SUB: Jones Jr. FOR Doncic,27 - 23,-4,Luka Doncic,DAL,Derrick Jones Jr.,DAL,,
105,SUB,1,0:04,SUB: Joe FOR Giddey,27 - 23,-4,Josh Giddey,OKC,Isaiah Joe,OKC,,
106,SUB,1,0:04,SUB: Jal. Williams FOR Dort,27 - 23,-4,Luguentz Dort,OKC,Jalen Williams,OKC,,
