,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:00 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Looney vs. Holmgren: Tip to Gilgeous-Alexander,0,0,Kevon Looney,GSW,Chet Holmgren,OKC,Shai Gilgeous-Alexander,OKC
2,2POINT.ASSIST,1,11:54,Jalen Williams 2' Cutting Dunk Shot (2 PTS) (Gilgeous-Alexander 1 AST),2 - 0,-2,Jalen Williams,OKC,Shai Gilgeous-Alexander,OKC,,
3,FOUL,1,11:41,Dort S.FOUL (P1.T1) (T.Brothers),2 - 0,-2,Luguentz Dort,OKC,Chet Holmgren,OKC,,
4,FTMAKE,1,11:41,Holmgren Free Throw 1 of 2 (1 PTS),2 - 1,-1,Chet Holmgren,OKC,,,,
5,FTMAKE,1,11:41,Holmgren Free Throw 2 of 2 (2 PTS),2 - 2,TIE,Chet Holmgren,OKC,,,,
6,TURNOVER,1,11:17,Thunder Turnover: Shot Clock (T#1),2 - 2,TIE,,,,,,
7,STEAL.TURNOVER,1,11:01,Jones Jr. Lost Ball Turnover (P1.T1)Holmgren STEAL (1 STL),2 - 2,TIE,Derrick Jones Jr.,GSW,Chet Holmgren,OKC,,
8,2POINT.ASSIST,1,10:49,Dort 1' Layup (2 PTS) (Joe 1 AST),4 - 2,-2,Luguentz Dort,OKC,Isaiah Joe,OKC,,
9,FTMAKE,1,10:34,Looney Free Throw 1 of 2 (1 PTS),4 - 3,-1,Kevon Looney,GSW,,,,
10,FTMAKE,1,10:34,Looney Free Throw 2 of 2 (2 PTS),4 - 4,TIE,Kevon Looney,GSW,,,,
11,2POINTMISS,1,10:34,MISS Poole 1' Driving Layup,4 - 4,TIE,Jordan Poole,GSW,,,,
12,REBOUND,1,10:32,Holmgren REBOUND (Off:1 Def:0),4 - 4,TIE,Chet Holmgren,OKC,,,,
13,2POINT,1,10:32,Holmgren 1' Putback Dunk (4 PTS),6 - 4,-2,Chet Holmgren,OKC,,,,
14,3POINT.ASSIST,1,10:14,Holmgren 25' 3PT Jump Shot (7 PTS) (Dort 1 AST),9 - 4,-5,Chet Holmgren,OKC,Luguentz Dort,OKC,,
15,STEAL.TURNOVER,1,10:02,Doncic Bad Pass Turnover (P1.T2)Jalen Williams STEAL (1 STL),9 - 4,-5,Luka Doncic,GSW,Jalen Williams,OKC,,
19,3POINT.ASSIST,1,9:22,Dort 25' 3PT Jump Shot (10 PTS) (Jalen Williams 1 AST),12 - 4,-8,Luguentz Dort,OKC,Jalen Williams,OKC,,
20,TIMEOUT,1,9:22,WARRIORS Timeout: Regular (Full 1 Short 0),12 - 4,-8,,,,,,
23,SUB,1,9:13,SUB: DiVincenzo FOR Poole,12 - 4,-8,Jordan Poole,GSW,Donte DiVincenzo,GSW,,
26,2POINTMISS.BLOCK,1,8:31,MISS Iguodala 7' Floating Jump ShotGilgeous-Alexander BLOCK (1 BLK),12 - 4,-8,Andre Iguodala,GSW,,,Shai Gilgeous-Alexander,OKC
27,REBOUND,1,8:29,DiVincenzo REBOUND (Off:0 Def:1),12 - 4,-8,Donte DiVincenzo,GSW,,,,
28,2POINTMISS,1,8:21,MISS Looney 4' Driving Layup,12 - 4,-8,Kevon Looney,GSW,,,,
29,REBOUND,1,8:18,Holmgren REBOUND (Off:1 Def:1),12 - 4,-8,Chet Holmgren,OKC,,,,
30,2POINT.ASSIST,1,8:06,Thompson 11' Pullup Jump Shot (2 PTS) (Curry 1 AST),12 - 6,-6,Klay Thompson,GSW,Stephen Curry,GSW,,
31,2POINT,1,7:52,Gilgeous-Alexander 6' Driving Floating Jump Shot (9 PTS),14 - 6,-8,Shai Gilgeous-Alexander,OKC,,,,
32,2POINTMISS,1,7:38,MISS Curry 3' Driving Layup,14 - 6,-8,Stephen Curry,GSW,,,,
33,REBOUND,1,7:35,Holmgren REBOUND (Off:1 Def:2),14 - 6,-8,Chet Holmgren,OKC,,,,
34,3POINT.ASSIST,1,7:26,Dort 27' 3PT Jump Shot (13 PTS) (Gilgeous-Alexander 1 AST),17 - 6,-11,Luguentz Dort,OKC,Shai Gilgeous-Alexander,OKC,,
35,FOUL,1,7:13,Looney S.FOUL (P2.T1) (T.Brothers),17 - 6,-11,Kevon Looney,GSW,Shai Gilgeous-Alexander,OKC,,
36,FTMAKE,1,7:13,Gilgeous-Alexander Free Throw 1 of 2 (10 PTS),18 - 6,-12,Shai Gilgeous-Alexander,OKC,,,,
37,FTMAKE,1,7:13,Gilgeous-Alexander Free Throw 2 of 2 (11 PTS),19 - 6,-13,Shai Gilgeous-Alexander,OKC,,,,
38,2POINTMISS,1,6:58,MISS Thompson 13' Fadeaway Jumper,19 - 6,-13,Klay Thompson,GSW,,,,
39,REBOUND,1,6:55,Holmgren REBOUND (Off:1 Def:3),19 - 6,-13,Chet Holmgren,OKC,,,,
40,3POINTMISS,1,6:52,MISS Curry 26' 3PT Pullup Jump Shot,19 - 6,-13,Stephen Curry,GSW,,,,
41,REBOUND,1,6:49,Joe REBOUND (Off:0 Def:1),19 - 6,-13,Isaiah Joe,OKC,,,,
42,2POINTMISS,1,6:42,MISS Gilgeous-Alexander 10' Step Back Jump Shot,19 - 6,-13,Shai Gilgeous-Alexander,OKC,,,,
43,REBOUND,1,6:39,Thompson REBOUND (Off:0 Def:1),19 - 6,-13,Klay Thompson,GSW,,,,
44,2POINT,1,6:33,Thompson 6' Driving Layup (4 PTS),19 - 8,-11,Klay Thompson,GSW,,,,
45,FOUL,1,6:24,DiVincenzo S.FOUL (P1.T2) (T.Brothers),19 - 8,-11,Donte DiVincenzo,GSW,Chet Holmgren,OKC,,
46,FTMAKE,1,6:24,Holmgren Free Throw 1 of 2 (8 PTS),20 - 8,-12,Chet Holmgren,OKC,,,,
47,SUB,1,6:24,SUB: Payton II FOR Looney,20 - 8,-12,Kevon Looney,GSW,Gary Payton II,GSW,,
48,FTMAKE,1,6:24,Holmgren Free Throw 2 of 2 (9 PTS),21 - 8,-13,Chet Holmgren,OKC,,,,
49,2POINTMISS,1,6:08,MISS Curry 8' Driving Floating Jump Shot,21 - 8,-13,Stephen Curry,GSW,,,,
50,REBOUND,1,6:04,Dort REBOUND (Off:0 Def:1),21 - 8,-13,Luguentz Dort,OKC,,,,
