,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (8:14 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Kenrich Williams vs. Kevon Looney: Tip to Shai Gilgeous-Alexander,0,0,Kenrich Williams,OKC,Kevon Looney,GSW,Shai Gilgeous-Alexander,OKC
2,2POINT.ASSIST,1,11:56,Shai Gilgeous-Alexander 2' Driving Layup (2 PTS) (Luguentz Dort 1 AST),2 - 0,-2,Shai Gilgeous-Alexander,OKC,Luguentz Dort,OKC,,
3,FOUL,1,11:48,Draymond Green S.FOUL (P1.T1) (M.Foster),2 - 0,-2,Draymond Green,GSW,Shai Gilgeous-Alexander,OKC,,
4,FTMAKE,1,11:48,Shai Gilgeous-Alexander Free Throw 1 of 2 (3 PTS),2 - 1,-1,Shai Gilgeous-Alexander,OKC,,,,
5,FTMISS,1,11:48,MISS Shai Gilgeous-Alexander Free Throw 2 of 2,2 - 1,-1,Shai Gilgeous-Alexander,OKC,,,,
6,REBOUND,1,11:46,Looney REBOUND (Off:0 Def:1),2 - 1,-1,Kevon Looney,GSW,,,,
7,3POINT.ASSIST,1,11:41,Klay Thompson 27' 3PT Jump Shot (3 PTS) (Stephen Curry 1 AST),2 - 4,2,Klay Thompson,GSW,Stephen Curry,GSW,,
8,TURNOVER,1,11:28,Thunder Turnover: Shot Clock (T#1),2 - 4,2,,,,,,
9,2POINTMISS,1,11:18,MISS Luguentz Dort 18' Pullup Jump Shot,2 - 4,2,Luguentz Dort,OKC,,,,
10,REBOUND,1,11:15,Jordan Poole REBOUND (Off:0 Def:1),2 - 4,2,Jordan Poole,GSW,,,,
11,2POINTMISS,1,11:11,MISS Poole 12' Driving Floating Jump Shot,2 - 4,2,Jordan Poole,GSW,,,,
