,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:00 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Giddey vs. Haliburton: Tip to Gilgeous-Alexander,0,0,Josh Giddey,OKC,Tyrese Haliburton,IND,Shai Gilgeous-Alexander,OKC
2,2POINT.ASSIST,1,11:46,Gilgeous-Alexander 2' Driving Layup (2 PTS) (Giddey 1 AST),2 - 0,-2,Shai Gilgeous-Alexander,OKC,Josh Giddey,OKC,,
3,2POINTMISS,1,11:32,MISS Haliburton 15' Pullup Jump Shot,2 - 0,-2,Tyrese Haliburton,IND,,,,
4,REBOUND,1,11:29,Dort REBOUND (Off:0 Def:1),2 - 0,-2,Luguentz Dort,OKC,,,,
5,2POINT,1,11:23,Gilgeous-Alexander 18' Pullup Jump Shot (4 PTS),4 - 0,-4,Shai Gilgeous-Alexander,OKC,,,,
6,2POINTMISS,1,11:08,MISS Mathurin 12' Pullup Jump Shot,4 - 0,-4,Bennedict Mathurin,IND,,,,
7,REBOUND,1,11:05,Jalen Williams REBOUND (Off:0 Def:1),4 - 0,-4,Jalen Williams,OKC,,,,
8,2POINT.ASSIST,1,10:58,Dort 2' Driving Layup (2 PTS) (Gilgeous-Alexander 1 AST),6 - 0,-6,Luguentz Dort,OKC,Shai Gilgeous-Alexander,OKC,,
9,FOUL,1,10:48,Haliburton S.FOUL (P1.T1) (J.Goble),6 - 0,-6,Tyrese Haliburton,IND,Shai Gilgeous-Alexander,OKC,,
10,FTMAKE,1,10:48,Gilgeous-Alexander Free Throw 1 of 2 (5 PTS),7 - 0,-7,Shai Gilgeous-Alexander,OKC,,,,
11,FTMAKE,1,10:48,Gilgeous-Alexander Free Throw 2 of 2 (6 PTS),8 - 0,-8,Shai Gilgeous-Alexander,OKC,,,,
12,2POINTMISS,1,10:35,MISS Haliburton 10' Driving Floating Jump Shot,8 - 0,-8,Tyrese Haliburton,IND,,,,
13,REBOUND,1,10:32,Jalen Williams REBOUND (Off:0 Def:2),8 - 0,-8,Jalen Williams,OKC,,,,
14,2POINT.ASSIST,1,10:26,Dort 2' Driving Layup (4 PTS) (Gilgeous-Alexander 2 AST),10 - 0,-10,Luguentz Dort,OKC,Shai Gilgeous-Alexander,OKC,,
15,FOUL,1,10:16,Mathurin S.FOUL (P1.T1) (J.Goble),10 - 0,-10,Bennedict Mathurin,IND,Shai Gilgeous-Alexander,OKC,,
16,FTMAKE,1,10:16,Gilgeous-Alexander Free Throw 1 of 2 (7 PTS),11 - 0,-11,Shai Gilgeous-Alexander,OKC,,,,
17,FTMAKE,1,10:16,Gilgeous-Alexander Free Throw 2 of 2 (8 PTS),12 - 0,-12,Shai Gilgeous-Alexander,OKC,,,,
18,STEAL.TURNOVER,1,10:04,Dort STEAL (1 STL)Haliburton Bad Pass Turnover (P1.T1),12 - 0,-12,Tyrese Haliburton,IND,Luguentz Dort,OKC,,
19,2POINT.ASSIST,1,9:58,Jalen Williams 2' Driving Layup (2 PTS) (Gilgeous-Alexander 3 AST),14 - 0,-14,Jalen Williams,OKC,Shai Gilgeous-Alexander,OKC,,
20,FOUL,1,9:48,Jalen Williams S.FOUL (P1.T1) (J.Goble),14 - 0,-14,Jalen Williams,OKC,Mathurin,IND,,
21,FTMAKE,1,9:48,Mathurin Free Throw 1 of 2 (1 PTS),14 - 1,-13,Bennedict Mathurin,IND,,,,
22,FTMAKE,1,9:48,Mathurin Free Throw 2 of 2 (2 PTS),14 - 2,-12,Bennedict Mathurin,IND,,,,
23,2POINT.ASSIST,1,9:35,Gilgeous-Alexander 2' Driving Layup (10 PTS) (Jalen Williams 1 AST),16 - 2,-14,Shai Gilgeous-Alexander,OKC,Jalen Williams,OKC,,
24,FOUL,1,9:25,Haliburton S.FOUL (P2.T2) (J.Goble),16 - 2,-14,Tyrese Haliburton,IND,Shai Gilgeous-Alexander,OKC,,
25,FTMAKE,1,9:25,Gilgeous-Alexander Free Throw 1 of 2 (11 PTS),17 - 2,-15,Shai Gilgeous-Alexander,OKC,,,,
26,FTMAKE,1,9:25,Gilgeous-Alexander Free Throw 2 of 2 (12 PTS),18 - 2,-16,Shai Gilgeous-Alexander,OKC,,,,
27,TURNOVER,1,9:12,Haliburton Bad Pass Turnover (P2.T2),18 - 2,-16,Tyrese Haliburton,IND,,,,
28,2POINT.ASSIST,1,9:06,Dort 2' Driving Layup (6 PTS) (Gilgeous-Alexander 4 AST),20 - 2,-18,Luguentz Dort,OKC,Shai Gilgeous-Alexander,OKC,,
29,FOUL,1,8:55,Jalen Williams S.FOUL (P2.T2) (J.Goble),20 - 2,-18,Jalen Williams,OKC,Mathurin,IND,,
30,FTMAKE,1,8:55,Mathurin Free Throw 1 of 2 (3 PTS),20 - 3,-17,Bennedict Mathurin,IND,,,,
31,FTMAKE,1,8:55,Mathurin Free Throw 2 of 2 (4 PTS),20 - 4,-16,Bennedict Mathurin,IND,,,,
32,2POINT.ASSIST,1,8:41,Jalen Williams 2' Driving Layup (4 PTS) (Gilgeous-Alexander 5 AST),22 - 4,-18,Jalen Williams,OKC,Shai Gilgeous-Alexander,OKC,,
33,FOUL,1,8:31,Haliburton S.FOUL (P3.T3) (J.Goble),22 - 4,-18,Tyrese Haliburton,IND,Jalen Williams,OKC,,
34,SUB,1,8:31,SUB: Nesmith FOR Mathurin,22 - 4,-18,Bennedict Mathurin,IND,Aaron Nesmith,IND,,
35,FTMAKE,1,8:31,Jalen Williams Free Throw 1 of 2 (5 PTS),23 - 4,-19,Jalen Williams,OKC,,,,
36,FTMAKE,1,8:31,Jalen Williams Free Throw 2 of 2 (6 PTS),24 - 4,-20,Jalen Williams,OKC,,,,
37,FOUL,1,8:19,Nesmith S.FOUL (P1.T3) (J.Goble),24 - 4,-20,Aaron Nesmith,IND,Gilgeous-Alexander,OKC,,
38,FTMAKE,1,8:19,Gilgeous-Alexander Free Throw 1 of 2 (13 PTS),25 - 4,-21,Shai Gilgeous-Alexander,OKC,,,,
39,FTMAKE,1,8:19,Gilgeous-Alexander Free Throw 2 of 2 (14 PTS),26 - 4,-22,Shai Gilgeous-Alexander,OKC,,,,
40,2POINT.ASSIST,1,8:07,Nesmith 2' Driving Layup (2 PTS) (Haliburton 1 AST),26 - 6,-20,Aaron Nesmith,IND,Tyrese Haliburton,IND,,
41,FOUL,1,7:57,Dort S.FOUL (P1.T3) (J.Goble),26 - 6,-20,Luguentz Dort,OKC,Nesmith,IND,,
42,FTMAKE,1,7:57,Nesmith Free Throw 1 of 2 (3 PTS),26 - 7,-19,Aaron Nesmith,IND,,,,
43,FTMAKE,1,7:57,Nesmith Free Throw 2 of 2 (4 PTS),26 - 8,-18,Aaron Nesmith,IND,,,,
44,2POINT.ASSIST,1,7:48,Gilgeous-Alexander 2' Driving Layup (16 PTS) (Jalen Williams 2 AST),28 - 8,-20,Shai Gilgeous-Alexander,OKC,Jalen Williams,OKC,,
45,FOUL,1,7:38,Jalen Williams S.FOUL (P3.T3) (J.Goble),28 - 8,-20,Jalen Williams,OKC,Haliburton,IND,,
46,SUB,1,7:38,SUB: Muscala FOR Jalen Williams,28 - 8,-20,Jalen Williams,OKC,Mike Muscala,OKC,,
47,FTMAKE,1,7:38,Haliburton Free Throw 1 of 2 (1 PTS),28 - 9,-19,Tyrese Haliburton,IND,,,,
48,FTMAKE,1,7:38,Haliburton Free Throw 2 of 2 (2 PTS),28 - 10,-18,Tyrese Haliburton,IND,,,,
49,2POINT.ASSIST,1,7:25,Gilgeous-Alexander 2' Driving Layup (18 PTS) (Muscala 1 AST),30 - 10,-20,Shai Gilgeous-Alexander,OKC,Mike Muscala,OKC,,
50,FOUL,1,7:15,Muscala S.FOUL (P1.T4) (J.Goble),30 - 10,-20,Mike Muscala,OKC,Haliburton,IND,,
51,FTMAKE,1,7:15,Haliburton Free Throw 1 of 2 (3 PTS),30 - 11,-19,Tyrese Haliburton,IND,,,,
52,FTMAKE,1,7:15,Haliburton Free Throw 2 of 2 (4 PTS),30 - 12,-18,Tyrese Haliburton,IND,,,,
53,2POINT.ASSIST,1,7:01,Dort 2' Driving Layup (8 PTS) (Gilgeous-Alexander 6 AST),32 - 12,-20,Luguentz Dort,OKC,Shai Gilgeous-Alexander,OKC,,
54,FOUL,1,6:51,Nesmith S.FOUL (P2.T4) (J.Goble),32 - 12,-20,Aaron Nesmith,IND,Gilgeous-Alexander,OKC,,
55,FTMAKE,1,6:51,Gilgeous-Alexander Free Throw 1 of 2 (19 PTS),33 - 12,-21,Shai Gilgeous-Alexander,OKC,,,,
56,FTMAKE,1,6:51,Gilgeous-Alexander Free Throw 2 of 2 (20 PTS),34 - 12,-22,Shai Gilgeous-Alexander,OKC,,,,
57,FOUL,1,6:41,Muscala S.FOUL (P2.T5) (J.Goble),34 - 12,-22,Mike Muscala,OKC,Haliburton,IND,,
58,FTMAKE,1,6:41,Haliburton Free Throw 1 of 2 (5 PTS),34 - 13,-21,Tyrese Haliburton,IND,,,,
59,FTMAKE,1,6:41,Haliburton Free Throw 2 of 2 (6 PTS),34 - 14,-20,Tyrese Haliburton,IND,,,,
60,2POINT.ASSIST,1,6:29,Dort 2' Driving Layup (10 PTS) (Gilgeous-Alexander 7 AST),36 - 14,-22,Luguentz Dort,OKC,Shai Gilgeous-Alexander,OKC,,
61,FOUL,1,6:19,Muscala S.FOUL (P3.T6) (J.Goble),36 - 14,-22,Mike Muscala,OKC,Haliburton,IND,,
62,FTMAKE,1,6:19,Haliburton Free Throw 1 of 2 (7 PTS),36 - 15,-21,Tyrese Haliburton,IND,,,,
63,FTMAKE,1,6:19,Haliburton Free Throw 2 of 2 (8 PTS),36 - 16,-20,Tyrese Haliburton,IND,,,,
64,2POINT.ASSIST,1,6:07,Gilgeous-Alexander 2' Driving Layup (22 PTS) (Muscala 2 AST),38 - 16,-22,Shai Gilgeous-Alexander,OKC,Mike Muscala,OKC,,
65,FOUL,1,5:57,Nesmith S.FOUL (P3.T5) (J.Goble),38 - 16,-22,Aaron Nesmith,IND,Gilgeous-Alexander,OKC,,
66,FTMAKE,1,5:57,Gilgeous-Alexander Free Throw 1 of 2 (23 PTS),39 - 16,-23,Shai Gilgeous-Alexander,OKC,,,,
67,FTMAKE,1,5:57,Gilgeous-Alexander Free Throw 2 of 2 (24 PTS),40 - 16,-24,Shai Gilgeous-Alexander,OKC,,,,
68,FOUL,1,5:48,Muscala S.FOUL (P4.T7) (J.Goble),40 - 16,-24,Mike Muscala,OKC,Haliburton,IND,,
69,SUB,1,5:48,SUB: Bazley FOR Muscala,40 - 16,-24,Mike Muscala,OKC,Darius Bazley,OKC,,
70,FTMAKE,1,5:48,Haliburton Free Throw 1 of 2 (9 PTS),40 - 17,-23,Tyrese Haliburton,IND,,,,
71,FTMAKE,1,5:48,Haliburton Free Throw 2 of 2 (10 PTS),40 - 18,-22,Tyrese Haliburton,IND,,,,
72,2POINT.ASSIST,1,5:35,Dort 2' Driving Layup (12 PTS) (Gilgeous-Alexander 8 AST),42 - 18,-24,Luguentz Dort,OKC,Shai Gilgeous-Alexander,OKC,,
73,FOUL,1,5:25,Bazley S.FOUL (P1.T8) (J.Goble),42 - 18,-24,Darius Bazley,OKC,Haliburton,IND,,
74,FTMAKE,1,5:25,Haliburton Free Throw 1 of 2 (11 PTS),42 - 19,-23,Tyrese Haliburton,IND,,,,
75,FTMAKE,1,5:25,Haliburton Free Throw 2 of 2 (12 PTS),42 - 20,-22,Tyrese Haliburton,IND,,,,
76,2POINT.ASSIST,1,5:12,Gilgeous-Alexander 2' Driving Layup (26 PTS) (Dort 1 AST),44 - 20,-24,Shai Gilgeous-Alexander,OKC,Luguentz Dort,OKC,,
77,FOUL,1,5:01,Bazley S.FOUL (P2.T9) (J.Goble),44 - 20,-24,Darius Bazley,OKC,Haliburton,IND,,
78,FTMAKE,1,5:01,Haliburton Free Throw 1 of 2 (13 PTS),44 - 21,-23,Tyrese Haliburton,IND,,,,
79,FTMAKE,1,5:01,Haliburton Free Throw 2 of 2 (14 PTS),44 - 22,-22,Tyrese Haliburton,IND,,,,
80,2POINT.ASSIST,1,4:48,Dort 2' Driving Layup (14 PTS) (Gilgeous-Alexander 9 AST),46 - 22,-24,Luguentz Dort,OKC,Shai Gilgeous-Alexander,OKC,,
81,FOUL,1,4:38,Bazley S.FOUL (P3.T10) (J.Goble),46 - 22,-24,Darius Bazley,OKC,Haliburton,IND,,
82,SUB,1,4:38,SUB: Jalen Williams FOR Bazley,46 - 22,-24,Darius Bazley,OKC,Jalen Williams,OKC,,
83,FTMAKE,1,4:38,Haliburton Free Throw 1 of 2 (15 PTS),46 - 23,-23,Tyrese Haliburton,IND,,,,
84,FTMAKE,1,4:38,Haliburton Free Throw 2 of 2 (16 PTS),46 - 24,-22,Tyrese Haliburton,IND,,,,
