,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (8:12 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball K. Williams vs. Wiggins: Tip to Curry,0,0,Kenrich Williams,OKC,Andrew Wiggins,GSW,Stephen Curry,GSW
2,3POINT.ASSIST,1,11:48,Wiggins 26' 3PT Jump Shot (3 PTS) (Thompson 1 AST),3 - 0,-3,Andrew Wiggins,GSW,Klay Thompson,GSW,,
3,2POINTMISS,1,11:30,MISS K. Williams 10' Pullup Jump Shot,3 - 0,-3,Kenrich Williams,OKC,,,,
4,REBOUND,1,11:28,Thompson REBOUND (Off:0 Def:1),3 - 0,-3,Klay Thompson,GSW,,,,
5,3POINTMISS,1,11:10,MISS Curry 26' 3PT Jump Shot,3 - 0,-3,Stephen Curry,GSW,,,,
6,REBOUND,1,11:06,K. Williams REBOUND (Off:0 Def:1),3 - 0,-3,Kenrich Williams,OKC,,,,
7,2POINTMISS,1,10:54,MISS Gilgeous-Alexander 7' Pullup Jump Shot,3 - 0,-3,Shai Gilgeous-Alexander,OKC,,,,
8,REBOUND,1,10:52,D. Green REBOUND (Off:0 Def:1),3 - 0,-3,Draymond Green,GSW,,,,
9,2POINT.ASSIST,1,10:45,Curry 3' Cutting Layup Shot (2 PTS) (D. Green 1 AST),5 - 0,-5,Stephen Curry,GSW,Draymond Green,GSW,,
10,2POINT,1,10:36,Giddey 8' Driving Floating Jump Shot (2 PTS),5 - 2,-3,Josh Giddey,OKC,,,,
11,2POINTMISS,1,10:26,MISS Poole 3' Driving Layup,5 - 2,-3,Jordan Poole,GSW,,,,
12,REBOUND,1,10:24,Gilgeous-Alexander REBOUND (Off:0 Def:1),5 - 2,-3,Shai Gilgeous-Alexander,OKC,,,,
13,2POINT.ASSIST,1,10:17,K. Williams 14' Jump Shot (2 PTS) (Giddey 1 AST),5 - 4,-1,Kenrich Williams,OKC,Josh Giddey,OKC,,
14,TURNOVER,1,10:01,Thompson Traveling Turnover (P1.T1),5 - 4,-1,Klay Thompson,GSW,,,,
15,2POINTMISS,1,9:44,MISS Gilgeous-Alexander 12' Step Back Jump Shot,5 - 4,-1,Shai Gilgeous-Alexander,OKC,,,,
16,REBOUND,1,9:41,Thompson REBOUND (Off:0 Def:2),5 - 4,-1,Klay Thompson,GSW,,,,
17,2POINT.ASSIST,1,9:37,D. Green 3' Running Reverse Layup (2 PTS) (Curry 1 AST),7 - 4,-3,Draymond Green,GSW,Stephen Curry,GSW,,
18,2POINT.ASSIST,1,9:30,K. Williams 1' Cutting Dunk Shot (4 PTS) (Gilgeous-Alexander 1 AST),7 - 6,-1,Kenrich Williams,OKC,Shai Gilgeous-Alexander,OKC,,
19,3POINTMISS,1,9:20,MISS Wiggins 29' 3PT Jump Shot,7 - 6,-1,Andrew Wiggins,GSW,,,,
20,REBOUND,1,9:16,Gilgeous-Alexander REBOUND (Off:0 Def:2),7 - 6,-1,Shai Gilgeous-Alexander,OKC,,,,
21,3POINTMISS,1,9:01,MISS K. Williams 26' 3PT Jump Shot,7 - 6,-1,Kenrich Williams,OKC,,,,
22,REBOUND,1,8:58,Curry REBOUND (Off:0 Def:1),7 - 6,-1,Stephen Curry,GSW,,,,
23,3POINTMISS,1,8:53,MISS Poole 31' 3PT Running Jump Shot,7 - 6,-1,Jordan Poole,GSW,,,,
24,REBOUND,1,8:51,THUNDER Rebound,7 - 6,-1,,,,,,
25,2POINT,1,8:35,Giddey 7' Driving Layup (4 PTS),7 - 8,1,Josh Giddey,OKC,,,,
26,2POINT.ASSIST,1,8:28,Thompson 3' Driving Layup (2 PTS) (Curry 2 AST),9 - 8,-1,Klay Thompson,GSW,Stephen Curry,GSW,,
27,FOUL,1,8:22,Poole P.FOUL (P1.T1) (N.Buchert),9 - 8,-1,Jordan Poole,GSW,Kenrich Williams,OKC,,
28,2POINTMISS,1,8:16,MISS Jal. Williams 19' Pullup Jump Shot,9 - 8,-1,Jalen Williams,OKC,,,,
29,REBOUND,1,8:11,D. Green REBOUND (Off:0 Def:2),9 - 8,-1,Draymond Green,GSW,,,,
30,2POINT.ASSIST,1,8:07,Thompson 1' Running Reverse Layup (4 PTS) (D. Green 2 AST),11 - 8,-3,Klay Thompson,GSW,Draymond Green,GSW,,
31,FOUL,1,7:47,Thompson S.FOUL (P1.T2) (M.Myers),11 - 8,-3,Klay Thompson,GSW,Shai Gilgeous-Alexander,OKC,,
32,FTMAKE,1,7:47,Gilgeous-Alexander Free Throw 1 of 2 (1 PTS),11 - 9,-2,Shai Gilgeous-Alexander,OKC,,,,
33,FTMAKE,1,7:47,Gilgeous-Alexander Free Throw 2 of 2 (2 PTS),11 - 10,-1,Shai Gilgeous-Alexander,OKC,,,,
34,3POINT.ASSIST,1,7:31,Curry 27' 3PT Jump Shot (5 PTS) (Poole 1 AST),14 - 10,-4,Stephen Curry,GSW,Jordan Poole,GSW,,
35,2POINTMISS,1,7:18,MISS Wiggins 7' Driving Hook Shot,14 - 10,-4,Aaron Wiggins,OKC,,,,
36,REBOUND,1,7:15,D. Green REBOUND (Off:0 Def:3),14 - 10,-4,Draymond Green,GSW,,,,
