,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:00 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Looney vs. Jay. Williams: Tip to Curry,0,0,Kevon Looney,GSW,Jaylin Williams,OKC,Stephen Curry,GSW
2,3POINT,1,11:46,Curry 25' 3PT Jump Shot (3 PTS),0 - 3,3,Stephen Curry,GSW,,,,
3,3POINTMISS,1,11:31,MISS Gilgeous-Alexander 26' 3PT Jump Shot,0 - 3,3,Shai Gilgeous-Alexander,OKC,,,,
4,REBOUND,1,11:28,Wiggins REBOUND (Off:0 Def:1),0 - 3,3,Andrew Wiggins,GSW,,,,
5,2POINT,1,11:14,Thompson 15' Pullup Jump Shot (2 PTS),0 - 5,5,Klay Thompson,GSW,,,,
6,3POINT,1,11:00,Dort 25' 3PT Jump Shot (3 PTS),3 - 5,2,Luguentz Dort,OKC,,,,
7,3POINTMISS,1,10:48,MISS Curry 28' 3PT Jump Shot,3 - 5,2,Stephen Curry,GSW,,,,
8,REBOUND,1,10:44,Jay. Williams REBOUND (Off:0 Def:1),3 - 5,2,Jaylin Williams,OKC,,,,
9,2POINT.ASSIST,1,10:37,Gilgeous-Alexander 3' Layup (2 PTS) (Giddey 1 AST),5 - 5,TIE,Shai Gilgeous-Alexander,OKC,Josh Giddey,OKC,,
10,2POINTMISS,1,10:18,MISS Green 6' Hook Shot,5 - 5,TIE,Draymond Green,GSW,,,,
11,REBOUND,1,10:16,Giddey REBOUND (Off:0 Def:1),5 - 5,TIE,Josh Giddey,OKC,,,,
12,TURNOVER,1,10:08,Giddey Bad Pass Turnover (P1.T1),5 - 5,TIE,Josh Giddey,OKC,,,,
13,3POINT.ASSIST,1,9:52,Thompson 26' 3PT Jump Shot (5 PTS) (Curry 1 AST),5 - 8,3,Klay Thompson,GSW,Stephen Curry,GSW,,
14,FOUL,1,9:35,Wiggins P.FOUL (P1.T1) (M.Davis),5 - 8,3,Andrew Wiggins,GSW,Shai Gilgeous-Alexander,OKC,,
15,FTMAKE,1,9:35,Gilgeous-Alexander Free Throw 1 of 2 (3 PTS),6 - 8,2,Shai Gilgeous-Alexander,OKC,,,,
16,FTMAKE,1,9:35,Gilgeous-Alexander Free Throw 2 of 2 (4 PTS),7 - 8,1,Shai Gilgeous-Alexander,OKC,,,,
17,FOUL,1,9:25,Looney OFF.Foul (P1) (J.Capers),7 - 8,1,Kevon Looney,GSW,Aleksej Pokusevski,OKC,,
18,TURNOVER,1,9:25,Looney Offensive Foul Turnover (P1.T1),7 - 8,1,Kevon Looney,GSW,,,,
19,2POINT.ASSIST,1,9:11,Gilgeous-Alexander 2' Layup (6 PTS) (Giddey 2 AST),9 - 8,-1,Shai Gilgeous-Alexander,OKC,Josh Giddey,OKC,,
20,3POINT.ASSIST,1,8:53,Wiggins 27' 3PT Jump Shot (3 PTS) (Curry 2 AST),9 - 11,2,Andrew Wiggins,GSW,Stephen Curry,GSW,,
21,STEAL.TURNOVER,1,8:38,Thompson STEAL (1 STL)Gilgeous-Alexander Bad Pass Turnover (P1.T2),9 - 11,2,Shai Gilgeous-Alexander,OKC,Klay Thompson,GSW,,
22,2POINTMISS,1,8:33,MISS Thompson 10' Running Jump Shot,9 - 11,2,Klay Thompson,GSW,,,,
23,REBOUND,1,8:31,Giddey REBOUND (Off:0 Def:2),9 - 11,2,Josh Giddey,OKC,,,,
24,2POINTMISS,1,8:21,MISS Pokusevski 4' Hook Shot,9 - 11,2,Aleksej Pokusevski,OKC,,,,
25,REBOUND,1,8:19,Green REBOUND (Off:0 Def:1),9 - 11,2,Draymond Green,GSW,,,,
26,3POINT,1,8:06,Curry 28' 3PT Step Back Jump Shot (6 PTS),9 - 14,5,Stephen Curry,GSW,,,,
27,3POINT.ASSIST,1,7:51,Dort 26' 3PT Jump Shot (6 PTS) (Pokusevski 1 AST),12 - 14,2,Luguentz Dort,OKC,Aleksej Pokusevski,OKC,,
28,2POINTMISS,1,7:35,MISS Wiggins 6' Driving Floating Jump Shot,12 - 14,2,Andrew Wiggins,GSW,,,,
29,REBOUND,1,7:32,Pokusevski REBOUND (Off:0 Def:1),12 - 14,2,Aleksej Pokusevski,OKC,,,,
30,2POINT.ASSIST,1,7:23,Jay. Williams 2' Layup (2 PTS) (Gilgeous-Alexander 1 AST),14 - 14,TIE,Jaylin Williams,OKC,Shai Gilgeous-Alexander,OKC,,
31,3POINT.ASSIST,1,7:06,Curry 26' 3PT Jump Shot (9 PTS) (Green 1 AST),14 - 17,3,Stephen Curry,GSW,Draymond Green,GSW,,
32,FOUL,1,6:50,Looney S.FOUL (P2.PN) (K.Fitzgerald),14 - 17,3,Kevon Looney,GSW,Luguentz Dort,OKC,,
33,FTMAKE,1,6:50,Dort Free Throw 1 of 2 (7 PTS),15 - 17,2,Luguentz Dort,OKC,,,,
34,SUB,1,6:50,SUB: Poole FOR Curry,15 - 17,2,Stephen Curry,GSW,Jordan Poole,GSW,,
35,SUB,1,6:50,SUB: DiVincenzo FOR Thompson,15 - 17,2,Klay Thompson,GSW,Donte DiVincenzo,GSW,,
36,SUB,1,6:50,SUB: Kuminga FOR Green,15 - 17,2,Draymond Green,GSW,Jonathan Kuminga,GSW,,
37,SUB,1,6:50,SUB: Wiseman FOR Looney,15 - 17,2,Kevon Looney,GSW,James Wiseman,GSW,,
38,SUB,1,6:50,SUB: Jal. Williams FOR Pokusevski,15 - 17,2,Aleksej Pokusevski,OKC,Jalen Williams,OKC,,
39,FTMAKE,1,6:50,Dort Free Throw 2 of 2 (8 PTS),16 - 17,1,Luguentz Dort,OKC,,,,
40,2POINT,1,6:35,Poole 10' Driving Floating Jump Shot (2 PTS),16 - 19,3,Jordan Poole,GSW,,,,
41,3POINT.ASSIST,1,6:18,Dort 27' 3PT Jump Shot (11 PTS) (Jal. Williams 1 AST),19 - 19,TIE,Luguentz Dort,OKC,Jalen Williams,OKC,,
42,TURNOVER,1,6:01,Poole Bad Pass Turnover (P1.T2),19 - 19,TIE,Jordan Poole,GSW,,,,
43,2POINT,1,5:54,Giddey 12' Fadeaway Jumper (2 PTS),21 - 19,-2,Josh Giddey,OKC,,,,
44,FOUL,1,5:41,Giddey P.FOUL (P2.T1) (J.Capers),21 - 19,-2,Josh Giddey,OKC,Jordan Poole,GSW,,
45,2POINT.ASSIST,1,5:36,DiVincenzo 2' Cutting Layup Shot (2 PTS) (Wiggins 1 AST),21 - 21,TIE,Donte DiVincenzo,GSW,Andrew Wiggins,GSW,,
46,3POINTMISS,1,5:24,MISS Jal. Williams 25' 3PT Jump Shot,21 - 21,TIE,Jalen Williams,OKC,,,,
47,REBOUND,1,5:22,Wiseman REBOUND (Off:0 Def:1),21 - 21,TIE,James Wiseman,GSW,,,,
48,3POINT.ASSIST,1,5:13,Poole 26' 3PT Jump Shot (5 PTS) (DiVincenzo 1 AST),21 - 24,3,Jordan Poole,GSW,Donte DiVincenzo,GSW,,
49,3POINTMISS,1,4:59,MISS Gilgeous-Alexander 28' 3PT Step Back Jump Shot,21 - 24,3,Shai Gilgeous-Alexander,OKC,,,,
50,REBOUND,1,4:55,Wiggins REBOUND (Off:0 Def:2),21 - 24,3,Andrew Wiggins,GSW,,,,
51,3POINT,1,4:46,Poole 27' 3PT Pullup Jump Shot (8 PTS),21 - 27,6,Jordan Poole,GSW,,,,
52,TIMEOUT,1,4:45,Thunder Timeout: Regular (Reg.1 Short 0),21 - 27,6,,,,,,
53,SUB,1,4:45,SUB: Green FOR Kuminga,21 - 27,6,Jonathan Kuminga,GSW,Draymond Green,GSW,,
54,SUB,1,4:45,SUB: K. Williams FOR Jay. Williams,21 - 27,6,Jaylin Williams,OKC,Kenrich Williams,OKC,,
55,SUB,1,4:45,SUB: Mann FOR Dort,21 - 27,6,Luguentz Dort,OKC,Tre Mann,OKC,,
56,3POINT.ASSIST,1,4:32,Jal. Williams 26' 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 2 AST),24 - 27,3,Jalen Williams,OKC,Shai Gilgeous-Alexander,OKC,,
57,2POINTMISS,1,4:12,MISS Wiseman 4' Layup,24 - 27,3,James Wiseman,GSW,,,,
58,REBOUND,1,4:10,Jal. Williams REBOUND (Off:0 Def:1),24 - 27,3,Jalen Williams,OKC,,,,
59,2POINT,1,4:02,Mann 17' Pullup Jump Shot (2 PTS),26 - 27,1,Tre Mann,OKC,,,,
60,2POINT,1,3:46,Poole 2' Driving Finger Roll Layup (10 PTS),26 - 29,3,Jordan Poole,GSW,,,,
61,3POINTMISS,1,3:27,MISS Mann 26' 3PT Jump Shot,26 - 29,3,Tre Mann,OKC,,,,
62,REBOUND,1,3:24,DiVincenzo REBOUND (Off:0 Def:1),26 - 29,3,Donte DiVincenzo,GSW,,,,
63,TURNOVER,1,3:20,Green Bad Pass Turnover (P1.T3),26 - 29,3,Draymond Green,GSW,,,,
64,2POINT,1,3:07,Gilgeous-Alexander 15' Step Back Jump Shot (8 PTS),28 - 29,1,Shai Gilgeous-Alexander,OKC,,,,
65,3POINT.ASSIST,1,2:50,DiVincenzo 27' 3PT Jump Shot (5 PTS) (Poole 1 AST),28 - 32,4,Donte DiVincenzo,GSW,Jordan Poole,GSW,,
66,3POINTMISS,1,2:31,MISS Gilgeous-Alexander 28' 3PT Step Back Jump Shot,28 - 32,4,Shai Gilgeous-Alexander,OKC,,,,
67,REBOUND,1,2:29,Poole REBOUND (Off:0 Def:1),28 - 32,4,Jordan Poole,GSW,,,,
68,2POINTMISS.BLOCK,1,2:18,MISS DiVincenzo 6' Driving Floating Jump ShotK. Williams BLOCK (1 BLK),28 - 32,4,Donte DiVincenzo,GSW,,,Kenrich Williams,OKC
69,REBOUND,1,2:18,Mann REBOUND (Off:0 Def:1),28 - 32,4,Tre Mann,OKC,,,,
70,3POINTMISS,1,2:12,MISS Jal. Williams 25' 3PT Jump Shot,28 - 32,4,Jalen Williams,OKC,,,,
71,REBOUND,1,2:09,Green REBOUND (Off:0 Def:2),28 - 32,4,Draymond Green,GSW,,,,
72,3POINTMISS,1,1:49,MISS Wiggins 26' 3PT Jump Shot,28 - 32,4,Andrew Wiggins,GSW,,,,
73,REBOUND,1,1:46,K. Williams REBOUND (Off:0 Def:1),28 - 32,4,Kenrich Williams,OKC,,,,
74,2POINTMISS,1,1:36,MISS Mann 9' Floating Jump Shot,28 - 32,4,Tre Mann,OKC,,,,
75,REBOUND,1,1:33,Wiseman REBOUND (Off:0 Def:2),28 - 32,4,James Wiseman,GSW,,,,
76,2POINT,1,1:26,Poole 6' Driving Floating Bank Jump Shot (12 PTS),28 - 34,6,Jordan Poole,GSW,,,,
77,2POINT,1,1:13,Giddey 8' Driving Floating Jump Shot (4 PTS),30 - 34,4,Josh Giddey,OKC,,,,
78,FOUL,1,0:58,Giddey P.FOUL (P3.PN) (M.Davis),30 - 34,4,Josh Giddey,OKC,Draymond Green,GSW,,
79,SUB,1,0:58,SUB: Curry FOR Poole,30 - 34,4,Jordan Poole,GSW,Stephen Curry,GSW,,
80,SUB,1,0:58,SUB: Joe FOR Giddey,30 - 34,4,Josh Giddey,OKC,Isaiah Joe,OKC,,
81,FTMAKE,1,0:58,Green Free Throw 1 of 2 (1 PTS),30 - 35,5,Draymond Green,GSW,,,,
82,FTMISS,1,0:58,MISS Green Free Throw 2 of 2,30 - 35,5,Draymond Green,GSW,,,,
83,REBOUND,1,0:55,K. Williams REBOUND (Off:0 Def:2),30 - 35,5,Kenrich Williams,OKC,,,,
84,2POINT.ASSIST,1,0:47,Gilgeous-Alexander 2' Layup (10 PTS) (Jal. Williams 2 AST),32 - 35,3,Shai Gilgeous-Alexander,OKC,Jalen Williams,OKC,,
85,3POINT,1,0:32,Curry 28' 3PT Step Back Jump Shot (12 PTS),32 - 38,6,Stephen Curry,GSW,,,,
86,2POINT,1,0:19,Gilgeous-Alexander 15' Fadeaway Jumper (12 PTS),34 - 38,4,Shai Gilgeous-Alexander,OKC,,,,
87,3POINTMISS,1,0:02,MISS Wiggins 30' 3PT Pullup Jump Shot,34 - 38,4,Andrew Wiggins,GSW,,,,
88,REBOUND,1,0:00,Thunder Rebound,34 - 38,4,,,,,,
89,ENDOFPERIOD,1,0:00,End of 1st Period (7:17 PM EST),34 - 38,4,,,,,,
90,STARTOFPERIOD,2,12:00,Start of 2nd Period (7:20 PM EST),34 - 38,4,,,,,,
91,2POINT,2,11:45,Jerome 11' Floating Jump Shot (2 PTS),34 - 40,6,Ty Jerome,GSW,,,,
92,2POINTMISS,2,11:27,MISS Mann 8' Floating Jump Shot,34 - 40,6,Tre Mann,OKC,,,,
