,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:00 PM CST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Looney vs. Jay. Williams: Tip to Curry,0,0,Kevon Looney,GSW,Jaylin Williams,OKC,Stephen Curry,GSW
2,2POINTMISS,1,11:41,MISS Curry 17' Pullup Jump Shot,0,0,Stephen Curry,GSW,,,,
3,REBOUND,1,11:38,Wiggins REBOUND (Off:0 Def:1),0,0,Andrew Wiggins,GSW,,,,
4,3POINTMISS,1,11:33,MISS Thompson 27' 3PT Jump Shot,0,0,Klay Thompson,GSW,,,,
5,REBOUND,1,11:29,Jay. Williams REBOUND (Off:0 Def:1),0,0,Jaylin Williams,OKC,,,,
6,3POINT.ASSIST,1,11:19,Jal. Williams 25' 3PT Jump Shot (3 PTS) (Giddey 1 AST),3 - 0,-3,Jalen Williams,OKC,Josh Giddey,OKC,,
7,2POINTMISS,1,11:01,MISS Looney 5' Turnaround Hook Shot,3 - 0,-3,Kevon Looney,GSW,,,,
8,REBOUND,1,10:58,Wiggins REBOUND (Off:1 Def:1),3 - 0,-3,Andrew Wiggins,GSW,,,,
9,2POINT,1,10:53,Wiggins 1' Cutting Dunk Shot (2 PTS),3 - 2,-1,Andrew Wiggins,GSW,,,,
10,2POINTMISS,1,10:33,MISS Gilgeous-Alexander 14' Pullup Jump Shot,3 - 2,-1,Shai Gilgeous-Alexander,OKC,,,,
11,REBOUND,1,10:29,Looney REBOUND (Off:0 Def:1),3 - 2,-1,Kevon Looney,GSW,,,,
12,3POINT,1,10:23,Curry 27' 3PT Jump Shot (3 PTS),3 - 5,2,Stephen Curry,GSW,,,,
13,FOUL,1,10:06,Dort S.FOUL (P1.T1) (C.Kirkland),3 - 5,2,Luguentz Dort,OKC,Stephen Curry,GSW,,
14,FTMAKE,1,10:06,Curry Free Throw 1 of 2 (4 PTS),3 - 6,3,Stephen Curry,GSW,,,,
15,FTMAKE,1,10:06,Curry Free Throw 2 of 2 (5 PTS),3 - 7,4,Stephen Curry,GSW,,,,
16,TURNOVER,1,9:48,Curry Travel Turnover (P1.T1),3 - 7,4,Stephen Curry,GSW,,,,
17,3POINT.ASSIST,1,9:34,Giddey 27' 3PT Jump Shot (3 PTS) (Dort 1 AST),6 - 7,1,Josh Giddey,OKC,Luguentz Dort,OKC,,
18,2POINT.ASSIST,1,9:17,Thompson 2' Driving Layup (2 PTS) (Green 1 AST),6 - 9,3,Klay Thompson,GSW,Draymond Green,GSW,,
19,2POINT,1,8:57,Gilgeous-Alexander 21' Step Back Jump Shot (2 PTS),8 - 9,1,Shai Gilgeous-Alexander,OKC,,,,
20,2POINT.ASSIST,1,8:38,Green 1' Driving Layup (2 PTS) (Looney 1 AST),8 - 11,3,Draymond Green,GSW,Kevon Looney,GSW,,
21,2POINT,1,8:20,Dort 5' Driving Bank Shot (2 PTS),10 - 11,1,Luguentz Dort,OKC,,,,
22,2POINT.ASSIST,1,8:04,Wiggins 3' Cutting Dunk Shot (4 PTS) (Curry 1 AST),10 - 13,3,Andrew Wiggins,GSW,Stephen Curry,GSW,,
23,3POINTMISS,1,7:49,MISS Giddey 26' 3PT Jump Shot,10 - 13,3,Josh Giddey,OKC,,,,
24,REBOUND,1,7:45,Green REBOUND (Off:0 Def:1),10 - 13,3,Draymond Green,GSW,,,,
25,2POINTMISS,1,7:39,MISS Looney 3' Driving Reverse Layup,10 - 13,3,Kevon Looney,GSW,,,,
26,REBOUND,1,7:36,Jay. Williams REBOUND (Off:0 Def:2),10 - 13,3,Jaylin Williams,OKC,,,,
27,2POINT.ASSIST,1,7:31,Gilgeous-Alexander 4' Driving Finger Roll Layup (4 PTS) (Jay. Williams 1 AST),12 - 13,1,Shai Gilgeous-Alexander,OKC,Jaylin Williams,OKC,,
28,3POINTMISS,1,7:15,MISS Curry 29' 3PT Jump Shot,12 - 13,1,Stephen Curry,GSW,,,,
29,REBOUND,1,7:12,Dort REBOUND (Off:0 Def:1),12 - 13,1,Luguentz Dort,OKC,,,,
30,TIMEOUT,1,7:10,Thunder Timeout: Regular (Reg.1 Short 0),12 - 13,1,,,,,,
31,SUB,1,7:10,SUB: Kuminga FOR Thompson,12 - 13,1,Klay Thompson,GSW,Jonathan Kuminga,GSW,,
32,3POINTMISS,1,6:57,MISS Dort 26' 3PT Jump Shot,12 - 13,1,Luguentz Dort,OKC,,,,
33,REBOUND,1,6:54,Curry REBOUND (Off:0 Def:1),12 - 13,1,Stephen Curry,GSW,,,,
34,2POINT.ASSIST,1,6:47,Green 2' Alley Oop Dunk Shot (4 PTS) (Curry 2 AST),12 - 15,3,Draymond Green,GSW,Stephen Curry,GSW,,
35,3POINT.ASSIST,1,6:28,Jal. Williams 28' 3PT Jump Shot (6 PTS) (Giddey 2 AST),15 - 15,TIE,Jalen Williams,OKC,Josh Giddey,OKC,,
36,2POINT.ASSIST,1,6:15,Wiggins 4' Cutting Dunk Shot (6 PTS) (Kuminga 1 AST),15 - 17,2,Andrew Wiggins,GSW,Jonathan Kuminga,GSW,,
37,STEAL.TURNOVER,1,5:58,Kuminga STEAL (1 STL)Gilgeous-Alexander Lost Ball Turnover (P1.T2),15 - 17,2,Shai Gilgeous-Alexander,OKC,Jonathan Kuminga,GSW,,
38,2POINT,1,5:51,Curry 18' Pullup Jump Shot (7 PTS),15 - 19,4,Stephen Curry,GSW,,,,
39,TIMEOUT,1,5:49,Thunder Timeout: Regular (Reg.2 Short 0),15 - 19,4,,,,,,
40,3POINTMISS,1,5:37,MISS Jal. Williams 27' 3PT Jump Shot,15 - 19,4,Jalen Williams,OKC,,,,
41,REBOUND,1,5:34,Looney REBOUND (Off:0 Def:2),15 - 19,4,Kevon Looney,GSW,,,,
42,3POINTMISS,1,5:28,MISS Curry 3PT Jump Shot,15 - 19,4,Stephen Curry,GSW,,,,
43,REBOUND,1,5:25,Dort REBOUND (Off:0 Def:2),15 - 19,4,Luguentz Dort,OKC,,,,
44,2POINTMISS,1,5:18,MISS Gilgeous-Alexander 6' Driving Floating Bank Jump Shot,15 - 19,4,Shai Gilgeous-Alexander,OKC,,,,
45,REBOUND,1,5:15,Jay. Williams REBOUND (Off:1 Def:2),15 - 19,4,Jaylin Williams,OKC,,,,
46,2POINTMISS,1,5:13,MISS Jay. Williams Tip Layup Shot,15 - 19,4,Jaylin Williams,OKC,,,,
47,REBOUND,1,5:11,Curry REBOUND (Off:0 Def:2),15 - 19,4,Stephen Curry,GSW,,,,
48,FOUL,1,5:08,Giddey P.FOUL (P1.T2) (M.Davis),15 - 19,4,Josh Giddey,OKC,Draymond Green,GSW,,
49,FTMISS,1,5:08,MISS Green Free Throw 1 of 2,15 - 19,4,Draymond Green,GSW,,,,
50,REBOUND,1,5:08,Thunder Rebound,15 - 19,4,,,,,,
51,FTMAKE,1,5:08,Green Free Throw 2 of 2 (5 PTS),15 - 20,5,Draymond Green,GSW,,,,
52,2POINT,1,4:49,Gilgeous-Alexander 13' Pullup Jump Shot (6 PTS),17 - 20,3,Shai Gilgeous-Alexander,OKC,,,,
53,FOUL,1,4:33,Giddey S.FOUL (P2.T3) (M.Davis),17 - 20,3,Josh Giddey,OKC,Stephen Curry,GSW,,
54,FTMISS,1,4:33,MISS Curry Free Throw 1 of 2,17 - 20,3,Stephen Curry,GSW,,,,
55,REBOUND,1,4:33,Thunder Rebound,17 - 20,3,,,,,,
56,FTMAKE,1,4:33,Curry Free Throw 2 of 2 (8 PTS),17 - 21,4,Stephen Curry,GSW,,,,
57,2POINTMISS,1,4:15,MISS Dort 3' Driving Layup,17 - 21,4,Luguentz Dort,OKC,,,,
58,REBOUND,1,4:13,Looney REBOUND (Off:0 Def:3),17 - 21,4,Kevon Looney,GSW,,,,
59,2POINT.ASSIST,1,4:06,Green 2' Cutting Dunk Shot (7 PTS) (Curry 3 AST),17 - 23,6,Draymond Green,GSW,Stephen Curry,GSW,,
60,2POINTMISS,1,3:44,MISS Gilgeous-Alexander 15' Pullup Jump Shot,17 - 23,6,Shai Gilgeous-Alexander,OKC,,,,
61,REBOUND,1,3:41,Kuminga REBOUND (Off:0 Def:1),17 - 23,6,Jonathan Kuminga,GSW,,,,
62,2POINTMISS,1,3:35,MISS Kuminga 3' Driving Layup,17 - 23,6,Jonathan Kuminga,GSW,,,,
63,REBOUND,1,3:33,Looney REBOUND (Off:1 Def:3),17 - 23,6,Kevon Looney,GSW,,,,
64,3POINT.ASSIST,1,3:30,Curry 25' 3PT Jump Shot (11 PTS) (Green 2 AST),17 - 26,9,Stephen Curry,GSW,Draymond Green,GSW,,
65,2POINTMISS,1,3:12,MISS Giddey 12' Driving Floating Bank Jump Shot,17 - 26,9,Josh Giddey,OKC,,,,
66,REBOUND,1,3:09,Looney REBOUND (Off:1 Def:4),17 - 26,9,Kevon Looney,GSW,,,,
67,2POINT,1,3:03,Green 5' Driving Layup (9 PTS),17 - 28,11,Draymond Green,GSW,,,,
68,2POINT,1,2:43,Gilgeous-Alexander 11' Driving Floating Bank Jump Shot (8 PTS),19 - 28,9,Shai Gilgeous-Alexander,OKC,,,,
69,TIMEOUT,1,2:41,Warriors Timeout: Regular (Full 1 Short 0),19 - 28,9,,,,,,
