,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period,0 - 0,TIE,,,,,,
1,2POINTMISS,1,11:43,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Patrick Baldwin Jr.,OKC,Kevon Looney,OKC,,
2,FOUL,1,11:15,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Kenrich Williams,OKC,Kevon Looney,OKC,,
3,2POINTMISS,1,10:55,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Tre Mann,OKC,Kevon Looney,OKC,,
4,REBOUND,1,10:37,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Kenrich Williams,OKC,Kevon Looney,OKC,,
5,REBOUND,1,10:12,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Tre Mann,OKC,Kevon Looney,OKC,,
6,2POINTER,1,09:49,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Tre Mann,OKC,Kevon Looney,OKC,,
7,STEAL,1,09:28,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Tre Mann,OKC,Kevon Looney,OKC,,
8,FTMAKE,1,09:15,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Patrick Baldwin Jr.,OKC,Kevon Looney,OKC,,
9,2POINTER,1,09:02,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Lindy Waters III,GSW,Kevon Looney,OKC,,
10,3POINTMISS,1,08:45,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Aaron Wiggins,GSW,Kevon Looney,OKC,,
11,2POINTMISS,1,08:26,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Kevon Looney,OKC,Kevon Looney,OKC,,
12,3POINTER,1,08:09,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Patrick Baldwin Jr.,OKC,Kevon Looney,OKC,,
13,TURNOVER,1,07:48,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Kevon Looney,OKC,Kevon Looney,OKC,,
14,3POINTMISS,1,07:20,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Tre Mann,OKC,Kevon Looney,OKC,,
15,2POINTER,1,06:50,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Patrick Baldwin Jr.,OKC,Kevon Looney,OKC,,
16,2POINTER,1,06:27,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Aaron Wiggins,GSW,Kevon Looney,OKC,,
17,TURNOVER,1,06:11,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Kevon Looney,OKC,Kevon Looney,OKC,,
18,3POINTER,1,05:41,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Ty Jerome,GSW,Kevon Looney,OKC,,
19,STEAL,1,05:14,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Lindy Waters III,GSW,Kevon Looney,OKC,,
20,BLOCK,1,04:57,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Ty Jerome,GSW,Kevon Looney,OKC,,
21,BLOCK,1,04:32,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Kevon Looney,OKC,Kevon Looney,OKC,,
22,3POINTMISS,1,04:02,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Anthony Lamb,OKC,Kevon Looney,OKC,,
23,STEAL,1,03:40,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Kenrich Williams,OKC,Kevon Looney,OKC,,
24,FTMAKE,1,03:27,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Ty Jerome,GSW,Kevon Looney,OKC,,
25,3POINTMISS,1,03:04,Jalen Williams OKC 2PT Field Goal (2 PTS),11 - 3,8,Josh Giddey,OKC,Kevon Looney,OKC,,
26,STEAL,1,03:52,Kevon Looney STEAL (1 STL),0 - 0,0,Kevon Looney,GSW,Jordan Poole,OKC,,
27,FTMAKE,1,03:23,Luguentz Dort Free Throw Make (1 PTS),0 - 1,1,Luguentz Dort,GSW,Josh Giddey,OKC,,
28,FTMAKE,1,03:10,Jordan Poole Free Throw Make (1 PTS),1 - 1,0,Jordan Poole,OKC,Luguentz Dort,GSW,,
29,TURNOVER,1,02:46,OKC Turnover: Bad Pass,1 - 1,0,Shai Gilgeous-Alexander,OKC,Luguentz Dort,GSW,,
30,FTMAKE,1,02:31,Luguentz Dort Free Throw Make (1 PTS),1 - 2,1,Luguentz Dort,GSW,Isaiah Joe,OKC,,
31,3POINTMISS,1,02:08,MISS Tre Mann GSW 2PT Field Goal (2 PTS),1 - 2,1,Tre Mann,GSW,Kevon Looney,GSW,,
32,FOUL,1,01:42,Luguentz Dort S.FOUL (P1.T1) (T.Brothers),1 - 2,1,Luguentz Dort,GSW,Josh Giddey,OKC,,
33,TURNOVER,1,01:15,GSW Turnover: Bad Pass,1 - 2,1,Jalen Williams,GSW,Josh Giddey,OKC,,
34,BLOCK,1,00:48,Isaiah Joe BLOCK (1 BLK),1 - 2,1,Isaiah Joe,OKC,Mike Muscala,GSW,,
35,REBOUND,1,00:38,Josh Giddey REBOUND (Off:4 Def:2),1 - 2,1,Josh Giddey,OKC,Mike Muscala,GSW,,
