PLAYER                  ,TEAM ,PERIOD.START ,CLOCK.START ,PERIOD.STOP ,CLOCK.STOP ,PLAY.TIME ,OFF ,DEF ,±   ,PTS ,REB ,BLK ,AST ,STL ,TO ,PF ,3P.MI ,3P.MA ,FG.MI ,FG.MA ,FT.MI ,FT.MA ,SUB.IN ,SUB.OUT ,EOQ ,ORS ,TF
Jaylin Williams         ,OKC  ,           2 ,7:44        ,          2 ,0:49       ,06:55     , 19 , 20 ,-1  ,  5 ,  3 ,  0 ,  1 ,  0 , 0 , 0 ,    1 ,    1 ,    0 ,    1 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Jaylin Williams         ,OKC  ,           3 ,12:00       ,          3 ,5:37       ,06:23     , 13 , 16 ,-5  ,  7 ,  2 ,  0 ,  0 ,  1 , 0 , 1 ,    0 ,    1 ,    1 ,    2 ,    0 ,    0 ,     0 ,      1 ,  1 ,  1 , 0
Jaylin Williams         ,OKC  ,           4 ,10:04       ,          4 ,5:33       ,04:31     , 12 ,  7 ,13  ,  0 ,  3 ,  0 ,  2 ,  0 , 0 , 0 ,    0 ,    0 ,    2 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  3 , 0
Shai Gilgeous-Alexander ,OKC  ,           1 ,12:00       ,          2 ,12:00      ,12:00     , 20 , 38 ,-18 ,  4 ,  2 ,  0 ,  2 ,  0 , 1 , 0 ,    0 ,    0 ,    7 ,    1 ,    0 ,    2 ,     0 ,      0 ,  1 ,  0 , 0
Shai Gilgeous-Alexander ,OKC  ,           2 ,5:02        ,          4 ,10:04      ,18:58     , 57 , 50 ,4   , 23 ,  2 ,  2 ,  3 ,  0 , 4 , 1 ,    1 ,    1 ,    5 ,    7 ,    0 ,    6 ,     1 ,      1 ,  2 ,  0 , 0
Shai Gilgeous-Alexander ,OKC  ,           4 ,5:33        ,          5 ,12:00      ,05:33     , 17 , 21 ,-8  ,  4 ,  0 ,  1 ,  2 ,  0 , 0 , 2 ,    0 ,    0 ,    1 ,    1 ,    0 ,    2 ,     1 ,      0 ,  1 ,  0 , 0
Tre Mann                ,OKC  ,           1 ,4:31        ,          1 ,0:26       ,04:05     ,  3 , 11 ,-23 ,  0 ,  0 ,  0 ,  0 ,  0 , 1 , 0 ,    1 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Tre Mann                ,OKC  ,           2 ,12:00       ,          2 ,7:23       ,04:37     ,  6 ,  4 ,5   ,  2 ,  0 ,  0 ,  0 ,  1 , 1 , 2 ,    0 ,    0 ,    1 ,    1 ,    0 ,    0 ,     0 ,      1 ,  1 ,  0 , 0
Tre Mann                ,OKC  ,           3 ,2:45        ,          3 ,0:25       ,02:20     , 10 ,  7 ,15  ,  3 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    1 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Tre Mann                ,OKC  ,           4 ,12:00       ,          4 ,10:04      ,01:56     ,  6 ,  6 ,0   ,  0 ,  1 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     0 ,      1 ,  1 ,  0 , 0
Mike Muscala            ,OKC  ,           1 ,4:31        ,          2 ,12:00      ,04:31     ,  5 , 14 ,-23 ,  3 ,  0 ,  0 ,  0 ,  0 , 0 , 1 ,    0 ,    1 ,    1 ,    0 ,    0 ,    0 ,     1 ,      0 ,  1 ,  0 , 0
Mike Muscala            ,OKC  ,           2 ,0:12        ,          3 ,12:00      ,00:12     ,  0 ,  0 ,0   ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      0 ,  1 ,  0 , 0
Mike Muscala            ,OKC  ,           3 ,4:26        ,          4 ,10:04      ,06:22     , 23 , 21 ,3   ,  5 ,  2 ,  0 ,  1 ,  1 , 0 , 1 ,    0 ,    1 ,    0 ,    0 ,    0 ,    2 ,     1 ,      1 ,  1 ,  0 , 0
Mike Muscala            ,OKC  ,           4 ,5:33        ,          4 ,2:34       ,02:59     ,  4 ,  8 ,-16 ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
