,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (8:12 PM EST),0 - 0,0,,,,,,
1,SUB,1,12:00,SUB: Williams Enters,0 - 0,0,,,Kenrich Williams,OKC,,
2,SUB,1,12:00,SUB: Gilgeous-Alexander Enters,0 - 0,0,,,Shai Gilgeous-Alexander,OKC,,
3,SUB,1,12:00,SUB: Giddey Enters,0 - 0,0,,,Josh Giddey,OKC,,
4,SUB,1,12:00,SUB: Williams Enters,0 - 0,0,,,Jalen Williams,OKC,,
5,SUB,1,12:00,SUB: Wiggins Enters,0 - 0,0,,,Aaron Wiggins,OKC,,
6,SUB,1,12:00,SUB: Wiggins Enters,0 - 0,0,,,Andrew Wiggins,GSW,,
7,SUB,1,12:00,SUB: Thompson Enters,0 - 0,0,,,Klay Thompson,GSW,,
8,SUB,1,12:00,SUB: Curry Enters,0 - 0,0,,,Stephen Curry,GSW,,
9,SUB,1,12:00,SUB: Green Enters,0 - 0,0,,,Draymond Green,GSW,,
10,SUB,1,12:00,SUB: Poole Enters,0 - 0,0,,,Jordan Poole,GSW,,
11,JUMPBALL,1,12:00,Jump Ball K. Williams vs. Wiggins: Tip to Curry,0 - 0,0,Kenrich Williams,OKC,Andrew Wiggins,GSW,Stephen Curry,GSW
12,3POINT.ASSIST,1,11:48,Wiggins 26' 3PT Jump Shot (3 PTS) (Thompson 1 AST),3 - 0,-3,Andrew Wiggins,GSW,Klay Thompson,GSW,,
13,2POINTMISS,1,11:30,MISS K. Williams 10' Pullup Jump Shot,3 - 0,-3,Kenrich Williams,OKC,,,,
14,REBOUND,1,11:28,Thompson REBOUND (Off:0 Def:1),3 - 0,-3,Klay Thompson,GSW,,,,
15,3POINTMISS,1,11:10,MISS Curry 26' 3PT Jump Shot,3 - 0,-3,Stephen Curry,GSW,,,,
16,REBOUND,1,11:06,K. Williams REBOUND (Off:0 Def:1),3 - 0,-3,Kenrich Williams,OKC,,,,
17,2POINTMISS,1,10:54,MISS Gilgeous-Alexander 7' Pullup Jump Shot,3 - 0,-3,Shai Gilgeous-Alexander,OKC,,,,
18,REBOUND,1,10:52,D. Green REBOUND (Off:0 Def:1),3 - 0,-3,Draymond Green,GSW,,,,
19,2POINT.ASSIST,1,10:45,Curry 3' Cutting Layup Shot (2 PTS) (D. Green 1 AST),5 - 0,-5,Stephen Curry,GSW,Draymond Green,GSW,,
20,2POINT,1,10:36,Giddey 8' Driving Floating Jump Shot (2 PTS),5 - 2,-3,Josh Giddey,OKC,,,,
21,2POINTMISS,1,10:26,MISS Poole 3' Driving Layup,5 - 2,-3,Jordan Poole,GSW,,,,
