4,REBOUND,1,11:28,Thompson REBOUND (Off:0 Def:1),3 - 0,-3,Klay Thompson,GSW,,,,
8,REBOUND,1,10:52,D. Green REBOUND (Off:0 Def:1),3 - 0,-3,Draymond Green,GSW,,,,
16,REBOUND,1,9:41,Thompson REBOUND (Off:0 Def:2),5 - 4,-1,Klay Thompson,GSW,,,,
22,REBOUND,1,8:58,Curry REBOUND (Off:0 Def:1),7 - 6,-1,Stephen Curry,GSW,,,,
29,REBOUND,1,8:11,D. Green REBOUND (Off:0 Def:2),9 - 8,-1,Draymond Green,GSW,,,,
36,REBOUND,1,7:15,D. Green REBOUND (Off:0 Def:3),14 - 10,-4,Draymond Green,GSW,,,,
39,REBOUND,1,6:58,Curry REBOUND (Off:0 Def:2),17 - 10,-7,Stephen Curry,GSW,,,,
48,REBOUND,1,6:14,Wiggins REBOUND (Off:0 Def:1),17 - 10,-7,Andrew Wiggins,GSW,,,,
51,REBOUND,1,5:37,D. Green REBOUND (Off:0 Def:4),19 - 10,-9,Draymond Green,GSW,,,,
69,REBOUND,1,3:38,DiVincenzo REBOUND (Off:0 Def:1),24 - 15,-9,Donte DiVincenzo,GSW,,,,
74,REBOUND,1,3:05,Lamb REBOUND (Off:0 Def:1),24 - 15,-9,Anthony Lamb,GSW,,,,
77,REBOUND,1,2:37,Looney REBOUND (Off:0 Def:1),27 - 15,-12,Kevon Looney,GSW,,,,
79,REBOUND,1,2:27,Looney REBOUND (Off:1 Def:1),27 - 15,-12,Kevon Looney,GSW,,,,
82,REBOUND,1,2:07,Lamb REBOUND (Off:0 Def:2),29 - 15,-14,Anthony Lamb,GSW,,,,
88,REBOUND,1,1:21,DiVincenzo REBOUND (Off:0 Def:2),32 - 18,-14,Donte DiVincenzo,GSW,,,,
91,REBOUND,1,1:05,Lamb REBOUND (Off:0 Def:3),35 - 18,-17,Anthony Lamb,GSW,,,,
107,REBOUND,2,11:46,Kuminga REBOUND (Off:0 Def:1),38 - 21,-17,Jonathan Kuminga,GSW,,,,
111,REBOUND,2,10:57,D. Green REBOUND (Off:0 Def:5),38 - 21,-17,Draymond Green,GSW,,,,
119,REBOUND,2,10:34,Wiggins REBOUND (Off:0 Def:2),38 - 22,-16,Andrew Wiggins,GSW,,,,
122,REBOUND,2,10:07,Kuminga REBOUND (Off:0 Def:2),38 - 22,-16,Jonathan Kuminga,GSW,,,,
125,REBOUND,2,9:42,DiVincenzo REBOUND (Off:0 Def:3),38 - 22,-16,Donte DiVincenzo,GSW,,,,
129,REBOUND,2,9:22,D. Green REBOUND (Off:0 Def:6),38 - 22,-16,Draymond Green,GSW,,,,
160,REBOUND,2,6:57,Thompson REBOUND (Off:0 Def:3),45 - 26,-19,Klay Thompson,GSW,,,,
172,REBOUND,2,5:16,DiVincenzo REBOUND (Off:0 Def:4),48 - 32,-16,Donte DiVincenzo,GSW,,,,
182,REBOUND,2,4:19,Thompson REBOUND (Off:0 Def:4),50 - 34,-16,Klay Thompson,GSW,,,,
185,REBOUND,2,3:43,Looney REBOUND (Off:1 Def:2),53 - 34,-19,Kevon Looney,GSW,,,,
187,REBOUND,2,3:35,Looney REBOUND (Off:2 Def:2),53 - 34,-19,Kevon Looney,GSW,,,,
209,REBOUND,2,0:51,D. Green REBOUND (Off:0 Def:7),60 - 45,-15,Draymond Green,GSW,,,,
235,REBOUND,3,10:48,Wiggins REBOUND (Off:0 Def:3),67 - 48,-19,Andrew Wiggins,GSW,,,,
252,REBOUND,3,8:11,Curry REBOUND (Off:0 Def:3),71 - 54,-17,Stephen Curry,GSW,,,,
273,REBOUND,3,6:10,D. Green REBOUND (Off:0 Def:8),79 - 61,-18,Draymond Green,GSW,,,,
277,REBOUND,3,5:53,Thompson REBOUND (Off:0 Def:5),79 - 61,-18,Klay Thompson,GSW,,,,
288,REBOUND,3,5:09,D. Green REBOUND (Off:1 Def:8),79 - 63,-16,Draymond Green,GSW,,,,
303,REBOUND,3,3:54,Thompson REBOUND (Off:0 Def:6),81 - 68,-13,Klay Thompson,GSW,,,,
320,REBOUND,3,1:54,Curry REBOUND (Off:0 Def:4),86 - 74,-12,Stephen Curry,GSW,,,,
330,REBOUND,3,1:09,Kuminga REBOUND (Off:0 Def:3),88 - 77,-11,Jonathan Kuminga,GSW,,,,
337,REBOUND,3,0:36,Looney REBOUND (Off:3 Def:2),88 - 79,-9,Kevon Looney,GSW,,,,
377,REBOUND,4,7:39,Wiggins REBOUND (Off:0 Def:4),103 - 98,-5,Andrew Wiggins,GSW,,,,
389,REBOUND,4,6:33,Curry REBOUND (Off:0 Def:5),107 - 101,-6,Stephen Curry,GSW,,,,
412,REBOUND,4,3:34,Curry REBOUND (Off:0 Def:6),109 - 107,-2,Stephen Curry,GSW,,,,
419,REBOUND,4,3:04,Curry REBOUND (Off:0 Def:7),112 - 107,-5,Stephen Curry,GSW,,,,
422,REBOUND,4,2:43,Thompson REBOUND (Off:0 Def:7),112 - 107,-5,Klay Thompson,GSW,,,,
435,REBOUND,4,1:00,Looney REBOUND (Off:4 Def:2),119 - 112,-7,Kevon Looney,GSW,,,,
463,REBOUND,4,0:11,Curry REBOUND (Off:1 Def:7),126 - 120,-6,Stephen Curry,GSW,,,,
