,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,SUB,1,12:00,SUB: Green Enters,0,0,,,Draymond Green,GSW,,
1,SUB,1,12:00,SUB: Curry Enters,0,0,,,Stephen Curry,GSW,,
2,SUB,1,12:00,SUB: Wiggins Enters,0,0,,,Andrew Wiggins,GSW,,
3,SUB,1,12:00,SUB: Thompson Enters,0,0,,,Klay Thompson,GSW,,
4,SUB,1,12:00,SUB: Poole Enters,0,0,,,Jordan Poole,GSW,,
5,SUB,1,12:00,SUB: Williams Enters,0,0,,,Kenrich Williams,OKC,,
6,SUB,1,12:00,SUB: Gilgeous-Alexander Enters,0,0,,,Shai Gilgeous-Alexander,OKC,,
7,SUB,1,12:00,SUB: Wiggins Enters,0,0,,,Aaron Wiggins,OKC,,
8,SUB,1,12:00,SUB: Williams Enters,0,0,,,Jalen Williams,OKC,,
9,SUB,1,12:00,SUB: Giddey Enters,0,0,,,Josh Giddey,OKC,,
10,STARTOFPERIOD,1,12:00,Start of 1st Period (8:12 PM EST),0,0,,,,,,
11,JUMPBALL,1,12:00,Jump Ball K. Williams vs. Wiggins: Tip to Curry,0,0,Kenrich Williams,OKC,Andrew Wiggins,GSW,Stephen Curry,GSW
12,3POINT.ASSIST,1,11:48,Wiggins 26' 3PT Jump Shot (3 PTS) (Thompson 1 AST),3 - 0,-3,Andrew Wiggins,GSW,Klay Thompson,GSW,,
13,2POINTMISS,1,11:30,MISS K. Williams 10' Pullup Jump Shot,3 - 0,-3,Kenrich Williams,OKC,,,,
14,REBOUND,1,11:28,Thompson REBOUND (Off:0 Def:1),3 - 0,-3,Klay Thompson,GSW,,,,
15,3POINTMISS,1,11:10,MISS Curry 26' 3PT Jump Shot,3 - 0,-3,Stephen Curry,GSW,,,,
16,REBOUND,1,11:06,K. Williams REBOUND (Off:0 Def:1),3 - 0,-3,Kenrich Williams,OKC,,,,
17,2POINTMISS,1,10:54,MISS Gilgeous-Alexander 7' Pullup Jump Shot,3 - 0,-3,Shai Gilgeous-Alexander,OKC,,,,
18,REBOUND,1,10:52,D. Green REBOUND (Off:0 Def:1),3 - 0,-3,Draymond Green,GSW,,,,
19,2POINT.ASSIST,1,10:45,Curry 3' Cutting Layup Shot (2 PTS) (D. Green 1 AST),5 - 0,-5,Stephen Curry,GSW,Draymond Green,GSW,,
20,2POINT,1,10:36,Giddey 8' Driving Floating Jump Shot (2 PTS),5 - 2,-3,Josh Giddey,OKC,,,,
21,2POINTMISS,1,10:26,MISS Poole 3' Driving Layup,5 - 2,-3,Jordan Poole,GSW,,,,
22,REBOUND,1,10:24,Gilgeous-Alexander REBOUND (Off:0 Def:1),5 - 2,-3,Shai Gilgeous-Alexander,OKC,,,,
23,2POINT.ASSIST,1,10:17,K. Williams 14' Jump Shot (2 PTS) (Giddey 1 AST),5 - 4,-1,Kenrich Williams,OKC,Josh Giddey,OKC,,
24,STEAL,1,10:01,Thompson Traveling Turnover (P1.T1),5 - 4,-1,Klay Thompson,GSW,,,,
25,2POINTMISS,1,9:44,MISS Gilgeous-Alexander 12' Step Back Jump Shot,5 - 4,-1,Shai Gilgeous-Alexander,OKC,,,,
26,REBOUND,1,9:41,Thompson REBOUND (Off:0 Def:2),5 - 4,-1,Klay Thompson,GSW,,,,
27,2POINT.ASSIST,1,9:37,D. Green 3' Running Reverse Layup (2 PTS) (Curry 1 AST),7 - 4,-3,Draymond Green,GSW,Stephen Curry,GSW,,
28,2POINT.ASSIST,1,9:30,K. Williams 1' Cutting Dunk Shot (4 PTS) (Gilgeous-Alexander 1 AST),7 - 6,-1,Kenrich Williams,OKC,Shai Gilgeous-Alexander,OKC,,
29,3POINTMISS,1,9:20,MISS Wiggins 29' 3PT Jump Shot,7 - 6,-1,Andrew Wiggins,GSW,,,,
30,REBOUND,1,9:16,Gilgeous-Alexander REBOUND (Off:0 Def:2),7 - 6,-1,Shai Gilgeous-Alexander,OKC,,,,
31,3POINTMISS,1,9:01,MISS K. Williams 26' 3PT Jump Shot,7 - 6,-1,Kenrich Williams,OKC,,,,
32,REBOUND,1,8:58,Curry REBOUND (Off:0 Def:1),7 - 6,-1,Stephen Curry,GSW,,,,
33,3POINTMISS,1,8:53,MISS Poole 31' 3PT Running Jump Shot,7 - 6,-1,Jordan Poole,GSW,,,,
34,REBOUND,1,8:51,THUNDER Rebound,7 - 6,-1,,,,,,
35,2POINT,1,8:35,Giddey 7' Driving Layup (4 PTS),7 - 8,1,Josh Giddey,OKC,,,,
36,2POINT.ASSIST,1,8:28,Thompson 3' Driving Layup (2 PTS) (Curry 2 AST),9 - 8,-1,Klay Thompson,GSW,Stephen Curry,GSW,,
37,FOUL,1,8:22,Poole P.FOUL (P1.T1) (N.Buchert),9 - 8,-1,Jordan Poole,GSW,Kenrich Williams,OKC,,
38,2POINTMISS,1,8:16,MISS Jal. Williams 19' Pullup Jump Shot,9 - 8,-1,Jalen Williams,OKC,,,,
39,REBOUND,1,8:11,D. Green REBOUND (Off:0 Def:2),9 - 8,-1,Draymond Green,GSW,,,,
40,2POINT.ASSIST,1,8:07,Thompson 1' Running Reverse Layup (4 PTS) (D. Green 2 AST),11 - 8,-3,Klay Thompson,GSW,Draymond Green,GSW,,
41,FOUL,1,7:47,Thompson S.FOUL (P1.T2) (M.Myers),11 - 8,-3,Klay Thompson,GSW,Shai Gilgeous-Alexander,OKC,,
42,FTMAKE,1,7:47,Gilgeous-Alexander Free Throw 1 of 2 (1 PTS),11 - 9,-2,Shai Gilgeous-Alexander,OKC,,,,
43,FTMAKE,1,7:47,Gilgeous-Alexander Free Throw 2 of 2 (2 PTS),11 - 10,-1,Shai Gilgeous-Alexander,OKC,,,,
44,3POINT.ASSIST,1,7:31,Curry 27' 3PT Jump Shot (5 PTS) (Poole 1 AST),14 - 10,-4,Stephen Curry,GSW,Jordan Poole,GSW,,
45,2POINTMISS,1,7:18,MISS Wiggins 7' Driving Hook Shot,14 - 10,-4,Aaron Wiggins,OKC,,,,
46,REBOUND,1,7:15,D. Green REBOUND (Off:0 Def:3),14 - 10,-4,Draymond Green,GSW,,,,
47,3POINT.ASSIST,1,7:10,Thompson 27' 3PT Jump Shot (7 PTS) (D. Green 3 AST),17 - 10,-7,Klay Thompson,GSW,Draymond Green,GSW,,
48,2POINTMISS.BLOCK,1,7:01,MISS Gilgeous-Alexander 2' Driving LayupWiggins BLOCK (1 BLK),17 - 10,-7,Shai Gilgeous-Alexander,OKC,,,Andrew Wiggins,GSW
49,REBOUND,1,6:58,Curry REBOUND (Off:0 Def:2),17 - 10,-7,Stephen Curry,GSW,,,,
50,3POINTMISS,1,6:56,MISS Thompson 26' 3PT Running Jump Shot,17 - 10,-7,Klay Thompson,GSW,,,,
51,REBOUND,1,6:51,Giddey REBOUND (Off:0 Def:1),17 - 10,-7,Josh Giddey,OKC,,,,
52,STEAL,1,6:48,Gilgeous-Alexander Step Out of Bounds Turnover (P1.T1),17 - 10,-7,Shai Gilgeous-Alexander,OKC,,,,
53,TIMEOUT,1,6:48,THUNDER Timeout: Regular (Full 1 Short 0),17 - 10,-7,,,,,,
54,STEAL.TURNOVER,1,6:37,Giddey STEAL (1 STL)D. Green Bad Pass Turnover (P1.T2),17 - 10,-7,Draymond Green,GSW,Josh Giddey,OKC,,
55,3POINTMISS,1,6:24,MISS Giddey 27' 3PT Jump Shot,17 - 10,-7,Josh Giddey,OKC,,,,
56,REBOUND,1,6:20,K. Williams REBOUND (Off:1 Def:1),17 - 10,-7,Kenrich Williams,OKC,,,,
57,2POINTMISS,1,6:16,MISS K. Williams 4' Hook Shot,17 - 10,-7,Kenrich Williams,OKC,,,,
58,REBOUND,1,6:14,Wiggins REBOUND (Off:0 Def:1),17 - 10,-7,Andrew Wiggins,GSW,,,,
59,2POINT.ASSIST,1,6:02,Curry 2' Cutting Layup Shot (7 PTS) (D. Green 4 AST),19 - 10,-9,Stephen Curry,GSW,Draymond Green,GSW,,
60,2POINTMISS,1,5:41,MISS Giddey 7' Driving Floating Jump Shot,19 - 10,-9,Josh Giddey,OKC,,,,
61,REBOUND,1,5:37,D. Green REBOUND (Off:0 Def:4),19 - 10,-9,Draymond Green,GSW,,,,
62,STEAL.TURNOVER,1,5:23,K. Williams STEAL (1 STL)Curry Bad Pass Turnover (P1.T3),19 - 10,-9,Stephen Curry,GSW,Kenrich Williams,OKC,,
63,3POINT.ASSIST,1,5:19,Wiggins 24' 3PT Running Pull-Up Jump Shot (3 PTS) (K. Williams 1 AST),19 - 13,-6,Aaron Wiggins,OKC,Kenrich Williams,OKC,,
64,3POINT.ASSIST,1,5:02,Thompson 3PT Jump Shot (10 PTS) (D. Green 5 AST),22 - 13,-9,Klay Thompson,GSW,Draymond Green,GSW,,
65,2POINT,1,4:42,Giddey 3' Driving Reverse Layup (6 PTS),22 - 15,-7,Josh Giddey,OKC,,,,
66,SUB,1,4:31,SUB: DiVincenzo Enters,22 - 15,-7,,,Donte DiVincenzo,GSW,,
67,SUB,1,4:31,SUB: Kuminga Enters,22 - 15,-7,,,Jonathan Kuminga,GSW,,
68,SUB,1,4:31,SUB: Green Exits,22 - 15,-7,Draymond Green,GSW,,,,
69,SUB,1,4:31,SUB: Looney Enters,22 - 15,-7,,,Kevon Looney,GSW,,
70,SUB,1,4:31,SUB: Wiggins Exits,22 - 15,-7,Andrew Wiggins,GSW,,,,
71,SUB,1,4:31,SUB: Poole Exits,22 - 15,-7,Jordan Poole,GSW,,,,
72,SUB,1,4:31,SUB: Williams Exits,22 - 15,-7,Kenrich Williams,OKC,,,,
73,SUB,1,4:31,SUB: Mann Enters,22 - 15,-7,,,Tre Mann,OKC,,
74,SUB,1,4:31,SUB: Williams Exits,22 - 15,-7,Jalen Williams,OKC,,,,
75,SUB,1,4:31,SUB: Joe Enters,22 - 15,-7,,,Isaiah Joe,OKC,,
76,SUB,1,4:31,SUB: Giddey Exits,22 - 15,-7,Josh Giddey,OKC,,,,
77,SUB,1,4:31,SUB: Muscala Enters,22 - 15,-7,,,Mike Muscala,OKC,,
78,2POINT.ASSIST,1,4:31,Poole 2' Driving Finger Roll Layup (2 PTS) (Curry 3 AST),24 - 15,-9,Jordan Poole,GSW,Stephen Curry,GSW,,
