,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
,SUB,0,0:00,SUB: Curry Enters,,,,,Stephen Curry,GSW,,
,SUB,1,0:50,SUB: Curry Exits,,,Stephen Curry,GSW,,,,
,SUB,1,0:26,SUB: Curry Enters,,,,,Stephen Curry,GSW,,
,SUB,1,0:00,SUB: Curry Exits,,,Stephen Curry,GSW,,,,
,SUB,2,5:02,SUB: Curry Enters,,,,,Stephen Curry,GSW,,
,SUB,2,0:12,SUB: Curry Exits,,,Stephen Curry,GSW,,,,
,SUB,2,0:00,SUB: Curry Enters,,,,,Stephen Curry,GSW,,
,SUB,3,0:00,SUB: Curry Exits,,,Stephen Curry,GSW,,,,
,SUB,4,8:11,SUB: Curry Enters,,,,,Stephen Curry,GSW,,
,SUB,4,0:00,SUB: Curry Exits,,,Stephen Curry,GSW,,,,
