old
6,SUB,1,12:00,SUB: Gilgeous-Alexander Enters,0,0,,,Shai Gilgeous-Alexander,OKC,,
126,SUB,1,0:00,SUB: Gilgeous-Alexander Exits,38 - 18,-20,Shai Gilgeous-Alexander,OKC,,,,

217,SUB,2,5:02,SUB: Gilgeous-Alexander Enters,50 - 34,-16,,,Shai Gilgeous-Alexander,OKC,,
276,SUB,2,0:00,SUB: Gilgeous-Alexander Exits,63 - 48,-15,Shai Gilgeous-Alexander,OKC,,,,

427,SUB,4,12:00,SUB: Gilgeous-Alexander Enters,94 - 82,-12,,,Shai Gilgeous-Alexander,OKC,,
438,SUB,4,10:04,SUB: Gilgeous-Alexander Exits,98 - 91,-7,Shai Gilgeous-Alexander,OKC,,,,

486,SUB,4,5:33,SUB: Gilgeous-Alexander Enters,107 - 103,-4,,,Shai Gilgeous-Alexander,OKC,,
572,SUB,4,0:00,SUB: Gilgeous-Alexander Exits,128 - 120,-8,Shai Gilgeous-Alexander,OKC,,,,

new
2,SUB,1,12:00,SUB: Gilgeous-Alexander Enters,0,0,,,Shai Gilgeous-Alexander,OKC,,
124,SUB,1,0:00,SUB: Gilgeous-Alexander Exits,38 - 20,-18,Shai Gilgeous-Alexander,OKC,,,,

217,SUB,2,5:02,SUB: Gilgeous-Alexander Enters,50 - 34,-16,,,Shai Gilgeous-Alexander,OKC,,
437,SUB,4,10:04,SUB: Gilgeous-Alexander Exits,100 - 91,-9,Shai Gilgeous-Alexander,OKC,,,,

485,SUB,4,5:33,SUB: Gilgeous-Alexander Enters,107 - 103,-4,,,Shai Gilgeous-Alexander,OKC,,
565,SUB,4,0:00,SUB: Gilgeous-Alexander Exits,128 - 120,-8,Shai Gilgeous-Alexander,OKC,,,,
