,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
4,SUB,1,12:00,SUB: Poole Enters,0,0,,,Jordan Poole,GSW,,
5,SUB,1,12:00,SUB: Williams Enters,0,0,,,Kenrich Williams,OKC,,
71,SUB,1,4:31,SUB: Poole Exits,22 - 15,-7,Jordan Poole,GSW,,,,
72,SUB,1,4:31,SUB: Williams Exits,22 - 15,-7,Kenrich Williams,OKC,,,,
111,SUB,1,0:50,SUB: Poole Enters,35 - 18,-17,,,Jordan Poole,GSW,,
117,SUB,1,0:26,SUB: Williams Enters,35 - 18,-17,,,Kenrich Williams,OKC,,
184,SUB,2,7:44,SUB: Williams Exits,42 - 26,-16,Kenrich Williams,OKC,,,,
216,SUB,2,5:02,SUB: Poole Exits,50 - 34,-16,Jordan Poole,GSW,,,,
237,SUB,2,2:55,SUB: Williams Enters,55 - 36,-19,,,Kenrich Williams,OKC,,
283,SUB,3,12:00,SUB: Poole Enters,63 - 48,-15,,,Jordan Poole,GSW,,
342,SUB,3,5:37,SUB: Poole Exits,79 - 61,-18,Jordan Poole,GSW,,,,
361,SUB,3,4:26,SUB: Williams Exits,79 - 65,-14,Kenrich Williams,OKC,,,,
408,SUB,3,0:25,SUB: Williams Enters,91 - 79,-12,,,Kenrich Williams,OKC,,
420,SUB,3,0:00,SUB: Williams Exits,94 - 82,-12,Kenrich Williams,OKC,,,,
426,SUB,4,12:00,SUB: Poole Enters,94 - 82,-12,,,Jordan Poole,GSW,,
437,SUB,4,10:04,SUB: Williams Enters,98 - 91,-7,,,Kenrich Williams,OKC,,
507,SUB,4,3:13,SUB: Poole Exits,112 - 107,-5,Jordan Poole,GSW,,,,
531,SUB,4,0:41,SUB: Poole Enters,121 - 112,-9,,,Jordan Poole,GSW,,
542,SUB,4,0:27,SUB: Poole Exits,121 - 116,-5,Jordan Poole,GSW,,,,
555,SUB,4,0:13,SUB: Poole Enters,125 - 118,-7,,,Jordan Poole,GSW,,
570,SUB,4,0:00,SUB: Poole Exits,128 - 120,-8,Jordan Poole,GSW,,,,
571,SUB,4,0:00,SUB: Williams Exits,128 - 120,-8,Kenrich Williams,OKC,,,,
