2,SUB,1,12:00,SUB: Gilgeous-Alexander Enters,0,0,,,Shai Gilgeous-Alexander,OKC,,
3,SUB,1,12:00,SUB: Giddey Enters,0,0,,,Josh Giddey,OKC,,
75,SUB,1,4:31,SUB: Giddey Exits,24 - 15,-9,Josh Giddey,OKC,,,,

124,SUB,2,12:00,SUB: Giddey Enters,38 - 20,-18,,,Josh Giddey,OKC,,
129,SUB,1,0:00,SUB: Gilgeous-Alexander Exits,38 - 20,-18,Shai Gilgeous-Alexander,OKC,,,,

194,SUB,2,7:23,SUB: Giddey Exits,42 - 26,-16,Josh Giddey,OKC,,,,
213,SUB,2,5:02,SUB: Gilgeous-Alexander Enters,50 - 34,-16,,,Shai Gilgeous-Alexander,OKC,,
255,SUB,2,0:49,SUB: Giddey Enters,60 - 45,-15,,,Josh Giddey,OKC,,
343,SUB,3,5:37,SUB: Giddey Exits,79 - 61,-18,Josh Giddey,OKC,,,,
436,SUB,4,10:04,SUB: Giddey Enters,98 - 91,-7,,,Josh Giddey,OKC,,
441,SUB,4,10:04,SUB: Gilgeous-Alexander Exits,100 - 91,-9,Shai Gilgeous-Alexander,OKC,,,,
480,SUB,4,5:33,SUB: Gilgeous-Alexander Enters,107 - 103,-4,,,Shai Gilgeous-Alexander,OKC,,
565,SUB,4,0:00,SUB: Gilgeous-Alexander Exits,128 - 120,-8,Shai Gilgeous-Alexander,OKC,,,,
566,SUB,4,0:00,SUB: Giddey Exits,128 - 120,-8,Josh Giddey,OKC,,,,
