,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
6,SUB,1,12:00,SUB: Gilgeous-Alexander Enters,0,0,,,Shai Gilgeous-Alexander,OKC,,
9,SUB,1,12:00,SUB: Giddey Enters,0,0,,,Josh Giddey,OKC,,
76,SUB,1,4:31,SUB: Giddey Exits,22 - 15,-7,Josh Giddey,OKC,,,,
126,SUB,1,0:00,SUB: Gilgeous-Alexander Exits,38 - 18,-20,Shai Gilgeous-Alexander,OKC,,,,
135,SUB,2,12:00,SUB: Giddey Enters,38 - 18,-20,,,Josh Giddey,OKC,,
192,SUB,2,7:23,SUB: Giddey Exits,42 - 26,-16,Josh Giddey,OKC,,,,
217,SUB,2,5:02,SUB: Gilgeous-Alexander Enters,50 - 34,-16,,,Shai Gilgeous-Alexander,OKC,,
256,SUB,2,0:49,SUB: Giddey Enters,60 - 45,-15,,,Josh Giddey,OKC,,
276,SUB,2,0:00,SUB: Gilgeous-Alexander Exits,63 - 48,-15,Shai Gilgeous-Alexander,OKC,,,,
346,SUB,3,5:37,SUB: Giddey Exits,79 - 61,-18,Josh Giddey,OKC,,,,
427,SUB,4,12:00,SUB: Gilgeous-Alexander Enters,94 - 82,-12,,,Shai Gilgeous-Alexander,OKC,,
438,SUB,4,10:04,SUB: Gilgeous-Alexander Exits,98 - 91,-7,Shai Gilgeous-Alexander,OKC,,,,
443,SUB,4,10:04,SUB: Giddey Enters,98 - 91,-7,,,Josh Giddey,OKC,,
486,SUB,4,5:33,SUB: Gilgeous-Alexander Enters,107 - 103,-4,,,Shai Gilgeous-Alexander,OKC,,
572,SUB,4,0:00,SUB: Gilgeous-Alexander Exits,128 - 120,-8,Shai Gilgeous-Alexander,OKC,,,,
575,SUB,4,0:00,SUB: Giddey Exits,128 - 120,-8,Josh Giddey,OKC,,,,
