,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
,SUB,0,0:00,SUB: Thompson Enters,,,,,Klay Thompson,GSW,,
,SUB,0,0:00,SUB: Wiggins Enters,,,,,Andrew Wiggins,GSW,,
,SUB,0,0:00,SUB: Poole Enters,,,,,Jordan Poole,GSW,,
,SUB,0,0:00,SUB: Green Enters,,,,,Draymond Green,GSW,,
,SUB,0,0:00,SUB: Curry Enters,,,,,Stephen Curry,GSW,,
,SUB,0,0:00,SUB: Wiggins Enters,,,,,Aaron Wiggins,OKC,,
,SUB,0,0:00,SUB: Williams Enters,,,,,Kenrich Williams,OKC,,
,SUB,0,0:00,SUB: Williams Enters,,,,,Jalen Williams,OKC,,
,SUB,0,0:00,SUB: Gilgeous-Alexander Enters,,,,,Shai Gilgeous-Alexander,OKC,,
,SUB,0,0:00,SUB: Giddey Enters,,,,,Josh Giddey,OKC,,
,SUB,1,4:31,SUB: Wiggins Exits,,,Andrew Wiggins,GSW,,,,
,SUB,1,4:31,SUB: Poole Exits,,,Jordan Poole,GSW,,,,
,SUB,1,4:31,SUB: DiVincenzo Enters,,,,,Donte DiVincenzo,GSW,,
,SUB,1,4:31,SUB: Green Exits,,,Draymond Green,GSW,,,,
,SUB,1,4:31,SUB: Looney Enters,,,,,Kevon Looney,GSW,,
,SUB,1,4:31,SUB: Kuminga Enters,,,,,Jonathan Kuminga,GSW,,
,SUB,1,4:31,SUB: Williams Exits,,,Kenrich Williams,OKC,,,,
,SUB,1,4:31,SUB: Joe Enters,,,,,Isaiah Joe,OKC,,
,SUB,1,4:31,SUB: Muscala Enters,,,,,Mike Muscala,OKC,,
,SUB,1,4:31,SUB: Williams Exits,,,Jalen Williams,OKC,,,,
,SUB,1,4:31,SUB: Mann Enters,,,,,Tre Mann,OKC,,
,SUB,1,4:31,SUB: Giddey Exits,,,Josh Giddey,OKC,,,,
,SUB,1,4:05,SUB: Thompson Exits,,,Klay Thompson,GSW,,,,
,SUB,1,4:05,SUB: Lamb Enters,,,,,Anthony Lamb,GSW,,
,SUB,1,0:50,SUB: Poole Enters,,,,,Jordan Poole,GSW,,
,SUB,1,0:50,SUB: Curry Exits,,,Stephen Curry,GSW,,,,
,SUB,1,0:26,SUB: Thompson Enters,,,,,Klay Thompson,GSW,,
,SUB,1,0:26,SUB: Lamb Exits,,,Anthony Lamb,GSW,,,,
,SUB,1,0:26,SUB: Curry Enters,,,,,Stephen Curry,GSW,,
,SUB,1,0:26,SUB: Looney Exits,,,Kevon Looney,GSW,,,,
,SUB,1,0:26,SUB: Bazley Enters,,,,,Darius Bazley,OKC,,
,SUB,1,0:26,SUB: Williams Enters,,,,,Kenrich Williams,OKC,,
,SUB,1,0:26,SUB: Joe Exits,,,Isaiah Joe,OKC,,,,
,SUB,1,0:26,SUB: Mann Exits,,,Tre Mann,OKC,,,,
,SUB,1,0:00,SUB: Thompson Exits,,,Klay Thompson,GSW,,,,
,SUB,1,0:00,SUB: Wiggins Enters,,,,,Andrew Wiggins,GSW,,
,SUB,1,0:00,SUB: Green Enters,,,,,Draymond Green,GSW,,
,SUB,1,0:00,SUB: Curry Exits,,,Stephen Curry,GSW,,,,
,SUB,1,0:00,SUB: Wiggins Exits,,,Aaron Wiggins,OKC,,,,
,SUB,1,0:00,SUB: Dieng Enters,,,,,Ousmane Dieng,OKC,,
,SUB,1,0:00,SUB: Muscala Exits,,,Mike Muscala,OKC,,,,
,SUB,1,0:00,SUB: Gilgeous-Alexander Exits,,,Shai Gilgeous-Alexander,OKC,,,,
,SUB,1,0:00,SUB: Mann Enters,,,,,Tre Mann,OKC,,
,SUB,1,0:00,SUB: Giddey Enters,,,,,Josh Giddey,OKC,,
,SUB,2,9:08,SUB: Thompson Enters,,,,,Klay Thompson,GSW,,
,SUB,2,9:08,SUB: Kuminga Exits,,,Jonathan Kuminga,GSW,,,,
,SUB,2,7:44,SUB: Wiggins Exits,,,Andrew Wiggins,GSW,,,,
,SUB,2,7:44,SUB: Green Exits,,,Draymond Green,GSW,,,,
,SUB,2,7:44,SUB: Lamb Enters,,,,,Anthony Lamb,GSW,,
,SUB,2,7:44,SUB: Looney Enters,,,,,Kevon Looney,GSW,,
,SUB,2,7:44,SUB: Williams Exits,,,Kenrich Williams,OKC,,,,
,SUB,2,7:44,SUB: Williams Enters,,,,,Jaylin Williams,OKC,,
,SUB,2,7:23,SUB: Joe Enters,,,,,Isaiah Joe,OKC,,
,SUB,2,7:23,SUB: Williams Enters,,,,,Jalen Williams,OKC,,
,SUB,2,7:23,SUB: Mann Exits,,,Tre Mann,OKC,,,,
,SUB,2,7:23,SUB: Giddey Exits,,,Josh Giddey,OKC,,,,
,SUB,2,5:02,SUB: Wiggins Enters,,,,,Andrew Wiggins,GSW,,
,SUB,2,5:02,SUB: Poole Exits,,,Jordan Poole,GSW,,,,
,SUB,2,5:02,SUB: DiVincenzo Exits,,,Donte DiVincenzo,GSW,,,,
,SUB,2,5:02,SUB: Curry Enters,,,,,Stephen Curry,GSW,,
,SUB,2,5:02,SUB: Dieng Exits,,,Ousmane Dieng,OKC,,,,
,SUB,2,5:02,SUB: Gilgeous-Alexander Enters,,,,,Shai Gilgeous-Alexander,OKC,,
,SUB,2,2:55,SUB: Wiggins Exits,,,Andrew Wiggins,GSW,,,,
,SUB,2,2:55,SUB: DiVincenzo Enters,,,,,Donte DiVincenzo,GSW,,
,SUB,2,2:55,SUB: Green Enters,,,,,Draymond Green,GSW,,
,SUB,2,2:55,SUB: Lamb Exits,,,Anthony Lamb,GSW,,,,
,SUB,2,2:55,SUB: Wiggins Enters,,,,,Aaron Wiggins,OKC,,
,SUB,2,2:55,SUB: Bazley Exits,,,Darius Bazley,OKC,,,,
,SUB,2,2:55,SUB: Williams Enters,,,,,Kenrich Williams,OKC,,
,SUB,2,2:55,SUB: Williams Exits,,,Jalen Williams,OKC,,,,
,SUB,2,0:49,SUB: Williams Exits,,,Jaylin Williams,OKC,,,,
,SUB,2,0:49,SUB: Giddey Enters,,,,,Josh Giddey,OKC,,
,SUB,2,0:12,SUB: Curry Exits,,,Stephen Curry,GSW,,,,
,SUB,2,0:12,SUB: Kuminga Enters,,,,,Jonathan Kuminga,GSW,,
,SUB,2,0:12,SUB: Wiggins Exits,,,Aaron Wiggins,OKC,,,,
,SUB,2,0:12,SUB: Muscala Enters,,,,,Mike Muscala,OKC,,
,SUB,2,0:00,SUB: Wiggins Enters,,,,,Andrew Wiggins,GSW,,
,SUB,2,0:00,SUB: Poole Enters,,,,,Jordan Poole,GSW,,
,SUB,2,0:00,SUB: DiVincenzo Exits,,,Donte DiVincenzo,GSW,,,,
,SUB,2,0:00,SUB: Curry Enters,,,,,Stephen Curry,GSW,,
,SUB,2,0:00,SUB: Looney Exits,,,Kevon Looney,GSW,,,,
,SUB,2,0:00,SUB: Kuminga Exits,,,Jonathan Kuminga,GSW,,,,
,SUB,2,0:00,SUB: Joe Exits,,,Isaiah Joe,OKC,,,,
,SUB,2,0:00,SUB: Muscala Exits,,,Mike Muscala,OKC,,,,
,SUB,2,0:00,SUB: Williams Enters,,,,,Jalen Williams,OKC,,
,SUB,2,0:00,SUB: Gilgeous-Alexander Exits,,,Shai Gilgeous-Alexander,OKC,,,,
,SUB,2,0:00,SUB: Williams Enters,,,,,Jaylin Williams,OKC,,
,SUB,3,5:37,SUB: Wiggins Exits,,,Andrew Wiggins,GSW,,,,
,SUB,3,5:37,SUB: Poole Exits,,,Jordan Poole,GSW,,,,
,SUB,3,5:37,SUB: DiVincenzo Enters,,,,,Donte DiVincenzo,GSW,,
,SUB,3,5:37,SUB: Looney Enters,,,,,Kevon Looney,GSW,,
,SUB,3,5:37,SUB: Wiggins Enters,,,,,Aaron Wiggins,OKC,,
,SUB,3,5:37,SUB: Joe Enters,,,,,Isaiah Joe,OKC,,
,SUB,3,5:37,SUB: Williams Exits,,,Jaylin Williams,OKC,,,,
