,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period,0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Embiid vs. Gilgeous-Alexander: Tip to Maxey,0,0,Joel Embiid,PHI,Shai Gilgeous-Alexander,OKC,Tyrese Maxey,PHI
2,3POINT.ASSIST,1,11:45,Maxey 24' 3PT Jump Shot (3 PTS) (Harden 1 AST),3 - 0,3,Tyrese Maxey,PHI,James Harden,PHI,,
3,2POINT.ASSIST,1,11:28,Gilgeous-Alexander 16' Jump Shot (2 PTS) (Giddey 1 AST),3 - 2,1,Shai Gilgeous-Alexander,OKC,Josh Giddey,OKC,,
4,FOUL,1,11:10,Harris S.FOUL (P1.T1) (Foster),3 - 2,1,Tobias Harris,PHI,Luguentz Dort,OKC,,
5,FTMAKE,1,11:10,Dort Free Throw 1 of 2 (1 PTS),3 - 3,0,Luguentz Dort,OKC,,,,
6,FTMISS,1,11:10,Dort Free Throw 2 of 2 Miss,3 - 3,0,Luguentz Dort,OKC,,,,
7,REBOUND,1,11:09,Embiid REBOUND (Def:1),3 - 3,0,Joel Embiid,PHI,,,,
8,TURNOVER,1,10:54,76ers Turnover: Bad Pass by Harden (T#1),3 - 3,0,James Harden,PHI,,,,
9,STEAL,1,10:52,Gilgeous-Alexander STEAL (1 STL),3 - 3,0,Shai Gilgeous-Alexander,OKC,,,,
10,2POINT.ASSIST,1,10:40,Dort 12' Layup (2 PTS) (Gilgeous-Alexander 1 AST),3 - 5,-2,Luguentz Dort,OKC,Shai Gilgeous-Alexander,OKC,,
11,TIMEOUT,1,10:15,76ERS Timeout: Regular,3 - 5,-2,,,,,,
12,SUB,1,10:15,SUB: Thybulle FOR Harris,3 - 5,-2,Tobias Harris,PHI,Matisse Thybulle,PHI,,
13,2POINT,1,9:59,Embiid 6' Hook Shot (2 PTS),5 - 5,0,Joel Embiid,PHI,,,,
14,3POINTMISS,1,9:42,MISS Holmgren 23' 3PT,5 - 5,0,Chet Holmgren,OKC,,,,
15,REBOUND,1,9:40,Maxey REBOUND (Def:1),5 - 5,0,Tyrese Maxey,PHI,,,,
16,2POINT.ASSIST,1,9:30,Harden 8' Driving Layup (2 PTS) (Embiid 1 AST),7 - 5,2,James Harden,PHI,Joel Embiid,PHI,,
17,FOUL,1,9:15,Thunder S.FOUL (P1.T2) (Maddox),7 - 5,2,Josh Giddey,OKC,Joel Embiid,PHI,,
18,FTMAKE,1,9:15,Embiid Free Throw 1 of 2 (1 PTS),8 - 5,3,Joel Embiid,PHI,,,,
19,FTMAKE,1,9:15,Embiid Free Throw 2 of 2 (2 PTS),9 - 5,4,Joel Embiid,PHI,,,,
20,2POINTMISS,1,9:00,MISS Dort 10' Jump Shot,9 - 5,4,Luguentz Dort,OKC,,,,
21,REBOUND,1,8:58,Maxey REBOUND (Def:2),9 - 5,4,Tyrese Maxey,PHI,,,,
22,3POINTMISS,1,8:45,MISS Harden 27' 3PT,9 - 5,4,James Harden,PHI,,,,
23,REBOUND,1,8:43,Gilgeous-Alexander REBOUND (Def:1),9 - 5,4,Shai Gilgeous-Alexander,OKC,,,,
24,2POINT.ASSIST,1,8:31,Holmgren 5' Layup (2 PTS) (Dort 1 AST),9 - 7,2,Chet Holmgren,OKC,Luguentz Dort,OKC,,
25,STEAL.TURNOVER,1,8:10,Thybulle Bad Pass Turnover (P1.T2),Holmgren STEAL (1 STL),9 - 7,2,Matisse Thybulle,PHI,Chet Holmgren,OKC,
26,3POINT.ASSIST,1,8:00,Dort 24' 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 2 AST),9 - 10,-1,Luguentz Dort,OKC,Shai Gilgeous-Alexander,OKC,,
27,TURNOVER,1,7:45,76ers Turnover: Traveling by Embiid,9 - 10,-1,Joel Embiid,PHI,,,,
28,REBOUND,1,7:30,Maxey REBOUND (Def:3),9 - 10,-1,Tyrese Maxey,PHI,,,,
29,2POINT.ASSIST,1,7:15,Maxey 10' Jump Shot (4 PTS) (Harden 2 AST),11 - 10,1,Tyrese Maxey,PHI,James Harden,PHI,,
30,FOUL,1,7:00,Maxey S.FOUL (P1.T3) (Fitzgerald),11 - 10,1,Tyrese Maxey,PHI,Josh Giddey,OKC,,
31,FTMISS,1,7:00,Giddey Free Throw 1 of 2 Miss,11 - 10,1,Josh Giddey,OKC,,,,
32,FTMAKE,1,7:00,Giddey Free Throw 2 of 2 (1 PTS),11 - 11,TIE,Josh Giddey,OKC,,,,
33,2POINT,1,6:50,Embiid 15' Fadeaway Jump Shot (4 PTS),13 - 11,2,Joel Embiid,PHI,,,,
