,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period,0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Holmgren vs. Looney: Tip to Curry,0,0,Chet Holmgren,OKC,Kevon Looney,GSW,Stephen Curry,GSW
2,2POINTMISS,1,11:46,MISS Curry 18' Pullup Jump Shot,0,0,Stephen Curry,GSW,,,,
3,REBOUND,1,11:44,Holmgren REBOUND (Off:0 Def:1),0,0,Chet Holmgren,OKC,,,,
4,2POINT.ASSIST,1,11:30,Giddey 2' Cutting Layup Shot (2 PTS) (Gilgeous-Alexander 1 AST),0 - 2,2,Josh Giddey,OKC,Shai Gilgeous-Alexander,OKC,,
5,3POINT.ASSIST,1,11:15,Thompson 25' 3PT Jump Shot (3 PTS) (Green 1 AST),3 - 2,-1,Klay Thompson,GSW,Draymond Green,GSW,,
6,TURNOVER,1,10:58,Giddey Bad Pass Turnover (P1.T1),3 - 2,-1,Josh Giddey,OKC,,,,
7,2POINT.ASSIST,1,10:50,Wiggins 1' Cutting Layup Shot (2 PTS) (Curry 1 AST),5 - 2,-3,Andrew Wiggins,GSW,Stephen Curry,GSW,,
8,3POINTMISS,1,10:35,MISS Dort 25' 3PT Jump Shot,5 - 2,-3,Luguentz Dort,OKC,,,,
9,REBOUND,1,10:32,Looney REBOUND (Off:0 Def:1),5 - 2,-3,Kevon Looney,GSW,,,,
10,3POINT,1,10:27,Curry 28' 3PT Pullup Jump Shot (5 PTS),8 - 2,-6,Stephen Curry,GSW,,,,
11,TIMEOUT,1,10:25,THUNDER Timeout: Regular (Full 1 Short 0),8 - 2,-6,,,,,,
12,2POINT,1,10:09,Gilgeous-Alexander 1' Driving Layup (2 PTS),8 - 4,-4,Shai Gilgeous-Alexander,OKC,,,,
13,STEAL.TURNOVER,1,9:57,Wiggins Lost Ball Turnover (P1.T1)Holmgren STEAL (1 STL),8 - 4,-4,Andrew Wiggins,GSW,Chet Holmgren,OKC,,
14,2POINT,1,9:51,Jal. Williams 2' Running Layup (2 PTS),8 - 6,-2,Jalen Williams,OKC,,,,
15,2POINT,1,9:38,Looney 1' Putback Layup (2 PTS),10 - 6,-4,Kevon Looney,GSW,,,,
16,FOUL,1,9:20,Dort P.FOUL (P1.T1) (J.Smith),10 - 6,-4,Luguentz Dort,OKC,Stephen Curry,GSW,,
17,FTMAKE,1,9:20,Curry Free Throw 1 of 2 (6 PTS),11 - 6,-5,Stephen Curry,GSW,,,,
18,FTMAKE,1,9:20,Curry Free Throw 2 of 2 (7 PTS),12 - 6,-6,Stephen Curry,GSW,,,,
19,2POINTMISS,1,9:05,MISS Gilgeous-Alexander 5' Floating Jump Shot,12 - 6,-6,Shai Gilgeous-Alexander,OKC,,,,
20,REBOUND,1,9:02,Green REBOUND (Off:0 Def:1),12 - 6,-6,Draymond Green,GSW,,,,
21,3POINT,1,8:57,Thompson 27' 3PT Jump Shot (6 PTS),15 - 6,-9,Klay Thompson,GSW,,,,
22,3POINT.ASSIST,1,8:40,Holmgren 26' 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 2 AST),15 - 9,-6,Chet Holmgren,OKC,Shai Gilgeous-Alexander,OKC,,
23,2POINTMISS,1,8:27,MISS Wiggins 15' Pullup Jump Shot,15 - 9,-6,Andrew Wiggins,GSW,,,,
24,REBOUND,1,8:25,Giddey REBOUND (Off:0 Def:1),15 - 9,-6,Josh Giddey,OKC,,,,
25,2POINT.ASSIST,1,8:19,Dort 2' Cutting Layup Shot (2 PTS) (Giddey 1 AST),15 - 11,-4,Luguentz Dort,OKC,Josh Giddey,OKC,,
26,FOUL,1,8:07,Giddey P.FOUL (P1.T2) (M.Davis),15 - 11,-4,Josh Giddey,OKC,Draymond Green,GSW,,
27,TURNOVER,1,7:55,Curry Bad Pass Turnover (P1.T2),15 - 11,-4,Stephen Curry,GSW,,,,
28,2POINT,1,7:44,Gilgeous-Alexander 2' Driving Finger Roll Layup (4 PTS),15 - 13,-2,Shai Gilgeous-Alexander,OKC,,,,
29,TIMEOUT,1,7:42,WARRIORS Timeout: Regular (Reg.1 Short 0),15 - 13,-2,,,,,,
30,3POINT.ASSIST,1,7:30,Poole 25' 3PT Jump Shot (3 PTS) (DiVincenzo 1 AST),18 - 13,-5,Jordan Poole,GSW,Donte DiVincenzo,GSW,,
31,2POINTMISS,1,7:15,MISS Mann 12' Step Back Jump Shot,18 - 13,-5,Tre Mann,OKC,,,,
32,REBOUND,1,7:12,Poole REBOUND (Off:0 Def:1),18 - 13,-5,Jordan Poole,GSW,,,,
33,2POINT,1,7:05,Kuminga 1' Cutting Dunk Shot (2 PTS),20 - 13,-7,Jonathan Kuminga,GSW,,,,
34,3POINTMISS,1,6:48,MISS Joe 27' 3PT Jump Shot,20 - 13,-7,Isaiah Joe,OKC,,,,
35,REBOUND,1,6:45,Lamb REBOUND (Off:0 Def:1),20 - 13,-7,Jeremy Lamb,GSW,,,,
36,2POINT,1,6:39,Lamb 5' Driving Floating Bank Jump Shot (2 PTS),22 - 13,-9,Jeremy Lamb,GSW,,,,
37,2POINT.ASSIST,1,6:24,Jay. Williams 2' Cutting Layup Shot (2 PTS) (Jal. Williams 1 AST),22 - 15,-7,Jaylin Williams,OKC,Jalen Williams,OKC,,
38,FOUL,1,6:10,Jay. Williams P.FOUL (P1.T3) (J.Smith),22 - 15,-7,Jaylin Williams,OKC,Jonathan Kuminga,GSW,,
39,FTMAKE,1,6:10,Kuminga Free Throw 1 of 2 (3 PTS),23 - 15,-8,Jonathan Kuminga,GSW,,,,
40,FTMAKE,1,6:10,Kuminga Free Throw 2 of 2 (4 PTS),24 - 15,-9,Jonathan Kuminga,GSW,,,,
41,2POINT,1,5:57,Mann 3' Driving Finger Roll Layup (2 PTS),24 - 17,-7,Tre Mann,OKC,,,,
42,FOUL,1,5:45,Jal. Williams S.FOUL (P1.T4) (M.Davis),24 - 17,-7,Jalen Williams,OKC,Donte DiVincenzo,GSW,,
43,FTMISS,1,5:45,MISS DiVincenzo Free Throw 1 of 2,24 - 17,-7,Donte DiVincenzo,GSW,,,,
44,REBOUND,1,5:45,WARRIORS Rebound,24 - 17,-7,,,,,,
45,FTMAKE,1,5:45,DiVincenzo Free Throw 2 of 2 (1 PTS),25 - 17,-8,Donte DiVincenzo,GSW,,,,
46,3POINTMISS,1,5:30,MISS Mann 26' 3PT Jump Shot,25 - 17,-8,Tre Mann,OKC,,,,
47,REBOUND,1,5:27,Poole REBOUND (Off:0 Def:2),25 - 17,-8,Jordan Poole,GSW,,,,
48,3POINTMISS,1,5:21,MISS Poole 30' 3PT Step Back Jump Shot,25 - 17,-8,Jordan Poole,GSW,,,,
49,REBOUND,1,5:18,Jal. Williams REBOUND (Off:0 Def:1),25 - 17,-8,Jalen Williams,OKC,,,,
50,2POINT,1,5:10,Joe 1' Putback Layup (2 PTS),25 - 19,-6,Isaiah Joe,OKC,,,,
51,TURNOVER,1,4:55,Kuminga Lost Ball Turnover (P1.T3),25 - 19,-6,Jonathan Kuminga,GSW,,,,
52,2POINT,1,4:48,Mann 1' Running Layup (4 PTS),25 - 21,-4,Tre Mann,OKC,,,,
53,TIMEOUT,1,4:47,WARRIORS Timeout: Regular (Reg.2 Short 0),25 - 21,-4,,,,,,
54,SUB,1,4:47,SUB: Wiggins FOR Lamb,25 - 21,-4,Jeremy Lamb,GSW,Andrew Wiggins,GSW,,
55,SUB,1,4:47,SUB: Thompson FOR DiVincenzo,25 - 21,-4,Donte DiVincenzo,GSW,Klay Thompson,GSW,,
56,2POINT.ASSIST,1,4:35,Poole 2' Driving Finger Roll Layup (5 PTS) (Green 2 AST),27 - 21,-6,Jordan Poole,GSW,Draymond Green,GSW,,
57,3POINT.ASSIST,1,4:20,Joe 27' 3PT Jump Shot (5 PTS) (Jal. Williams 2 AST),27 - 24,-3,Isaiah Joe,OKC,Jalen Williams,OKC,,
58,FOUL,1,4:07,Mann S.FOUL (P1.T5) (J.Smith),27 - 24,-3,Tre Mann,OKC,Jordan Poole,GSW,,
59,FTMAKE,1,4:07,Poole Free Throw 1 of 2 (6 PTS),28 - 24,-4,Jordan Poole,GSW,,,,
60,SUB,1,4:07,SUB: Dort FOR Mann,28 - 24,-4,Tre Mann,OKC,Luguentz Dort,OKC,,
61,FTMAKE,1,4:07,Poole Free Throw 2 of 2 (7 PTS),29 - 24,-5,Jordan Poole,GSW,,,,
62,TURNOVER,1,3:51,Joe Bad Pass Turnover (P1.T6),29 - 24,-5,Isaiah Joe,OKC,,,,
63,STEAL,1,3:51,Green STEAL (1 STL),29 - 24,-5,Draymond Green,GSW,,,,
64,2POINT.ASSIST,1,3:45,Thompson 2' Running Layup (8 PTS) (Green 3 AST),31 - 24,-7,Klay Thompson,GSW,Draymond Green,GSW,,
65,3POINTMISS,1,3:30,MISS Dort 26' 3PT Jump Shot,31 - 24,-7,Luguentz Dort,OKC,,,,
66,REBOUND,1,3:26,Thompson REBOUND (Off:0 Def:1),31 - 24,-7,Klay Thompson,GSW,,,,
67,3POINTMISS,1,3:19,MISS Poole 27' 3PT Pullup Jump Shot,31 - 24,-7,Jordan Poole,GSW,,,,
68,REBOUND,1,3:16,Jay. Williams REBOUND (Off:0 Def:1),31 - 24,-7,Jaylin Williams,OKC,,,,
69,2POINT.ASSIST,1,3:08,Dort 4' Cutting Layup Shot (4 PTS) (Jal. Williams 3 AST),31 - 26,-5,Luguentz Dort,OKC,Jalen Williams,OKC,,
70,3POINT,1,2:59,Wiggins 26' 3PT Jump Shot (5 PTS),34 - 26,-8,Andrew Wiggins,GSW,,,,
71,3POINT.ASSIST,1,2:48,Joe 28' 3PT Jump Shot (8 PTS) (Jal. Williams 4 AST),34 - 29,-5,Isaiah Joe,OKC,Jalen Williams,OKC,,
72,2POINT,1,2:35,Poole 5' Floating Jump Shot (9 PTS),36 - 29,-7,Jordan Poole,GSW,,,,
73,2POINTMISS,1,2:20,MISS Jay. Williams 10' Turnaround Jump Shot,36 - 29,-7,Jaylin Williams,OKC,,,,
74,REBOUND,1,2:18,Green REBOUND (Off:0 Def:2),36 - 29,-7,Draymond Green,GSW,,,,
75,2POINT,1,2:12,Kuminga 1' Putback Dunk (6 PTS),38 - 29,-9,Jonathan Kuminga,GSW,,,,
76,TIMEOUT,1,2:12,THUNDER Timeout: Regular (Full 2 Short 0),38 - 29,-9,,,,,,
77,SUB,1,2:12,SUB: Gilgeous-Alexander FOR Joe,38 - 29,-9,Isaiah Joe,OKC,Shai Gilgeous-Alexander,OKC,,
78,3POINTMISS,1,1:58,MISS Gilgeous-Alexander 27' 3PT Pullup Jump Shot,38 - 29,-9,Shai Gilgeous-Alexander,OKC,,,,
79,REBOUND,1,1:55,Green REBOUND (Off:0 Def:3),38 - 29,-9,Draymond Green,GSW,,,,
80,2POINT.ASSIST,1,1:50,Thompson 1' Cutting Layup Shot (10 PTS) (Green 4 AST),40 - 29,-11,Klay Thompson,GSW,Draymond Green,GSW,,
81,3POINT,1,1:36,Gilgeous-Alexander 28' 3PT Pullup Jump Shot (7 PTS),40 - 32,-8,Shai Gilgeous-Alexander,OKC,,,,
