,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:08 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Embiid vs. Looney: Tip to Curry,0,0,Joel Embiid,OKC,Kevon Looney,GSW,Stephen Curry,GSW
2,2POINT.ASSIST,1,11:43,Gilgeous-Alexander 2' Driving Layup (2 PTS) (Giddey 1 AST),2 - 0,-2,Shai Gilgeous-Alexander,OKC,Josh Giddey,OKC,,
3,2POINTMISS,1,11:25,MISS Wiggins 19' Pullup Jump Shot,2 - 0,-2,Andrew Wiggins,GSW,,,,
4,REBOUND,1,11:22,Embiid REBOUND (Off:0 Def:1),2 - 0,-2,Joel Embiid,OKC,,,,
5,3POINTMISS,1,11:08,MISS Dort 25' 3PT Jump Shot,2 - 0,-2,Luguentz Dort,OKC,,,,
6,REBOUND,1,11:04,Looney REBOUND (Off:0 Def:1),2 - 0,-2,Kevon Looney,GSW,,,,
7,2POINT.ASSIST,1,10:56,Curry 2' Driving Reverse Layup (2 PTS) (Green 1 AST),2 - 2,TIE,Stephen Curry,GSW,Draymond Green,GSW,,
8,2POINT,1,10:40,Gilgeous-Alexander 17' Pullup Jump Shot (4 PTS),4 - 2,-2,Shai Gilgeous-Alexander,OKC,,,,
9,3POINTMISS,1,10:25,MISS Thompson 26' 3PT Jump Shot,4 - 2,-2,Klay Thompson,GSW,,,,
10,REBOUND,1,10:21,Embiid REBOUND (Off:0 Def:2),4 - 2,-2,Joel Embiid,OKC,,,,
11,2POINT.ASSIST,1,10:12,Embiid 1' Cutting Dunk Shot (2 PTS) (Giddey 2 AST),6 - 2,-4,Joel Embiid,OKC,Josh Giddey,OKC,,
12,2POINT,1,9:58,Curry 16' Pullup Jump Shot (4 PTS),6 - 4,-2,Stephen Curry,GSW,,,,
13,2POINT.ASSIST,1,9:42,Jal. Williams 1' Cutting Dunk Shot (2 PTS) (Gilgeous-Alexander 1 AST),8 - 4,-4,Jalen Williams,OKC,Shai Gilgeous-Alexander,OKC,,
14,2POINT.ASSIST,1,9:28,Wiggins 2' Driving Reverse Layup (2 PTS) (Curry 1 AST),8 - 6,-2,Andrew Wiggins,GSW,Stephen Curry,GSW,,
15,3POINTMISS,1,9:14,MISS Dort 25' 3PT Jump Shot,8 - 6,-2,Luguentz Dort,OKC,,,,
