,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:08 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Looney vs. Holmgren: Tip to Curry,0,0,Kevon Looney,GSW,Chet Holmgren,OKC,Stephen Curry,GSW
2,2POINT.ASSIST,1,11:45,Curry 2' Driving Layup (2 PTS) (Looney 1 AST),0 - 2,2,Stephen Curry,GSW,Kevon Looney,GSW,,
3,FOUL,1,11:35,Kuminga P.FOUL (P1.T1) (J.Capers),0 - 2,2,Jonathan Kuminga,GSW,Chet Holmgren,OKC,,
4,FTMAKE,1,11:35,Holmgren Free Throw 1 of 2 (1 PTS),1 - 2,1,Chet Holmgren,OKC,,,,
5,FTMAKE,1,11:35,Holmgren Free Throw 2 of 2 (2 PTS),2 - 2,TIE,Chet Holmgren,OKC,,,,
6,2POINT.ASSIST,1,11:18,Thompson 2' Alley Oop Dunk (2 PTS) (Curry 1 AST),2 - 4,2,Klay Thompson,GSW,Stephen Curry,GSW,,
7,3POINT,1,10:57,Gilgeous-Alexander 26' 3PT Jump Shot (3 PTS),5 - 4,-1,Shai Gilgeous-Alexander,OKC,,,,
8,3POINTMISS,1,10:40,MISS Curry 27' 3PT Jump Shot,5 - 4,-1,Stephen Curry,GSW,,,,
9,REBOUND,1,10:37,Holmgren REBOUND (Off:0 Def:1),5 - 4,-1,Chet Holmgren,OKC,,,,
10,2POINT.ASSIST,1,10:32,Holmgren 2' Driving Layup (4 PTS) (Gilgeous-Alexander 1 AST),7 - 4,-3,Chet Holmgren,OKC,Shai Gilgeous-Alexander,OKC,,
11,FOUL,1,10:25,Thompson P.FOUL (P1.T1) (J.Capers),7 - 4,-3,Klay Thompson,GSW,Chet Holmgren,OKC,,
12,FTMISS,1,10:25,MISS Holmgren Free Throw 1 of 1,7 - 4,-3,Chet Holmgren,OKC,,,,
13,REBOUND,1,10:23,Curry REBOUND (Off:0 Def:1),7 - 4,-3,Stephen Curry,GSW,,,,
14,2POINT,1,10:16,Curry 12' Pullup Jump Shot (4 PTS),7 - 6,-1,Stephen Curry,GSW,,,,
15,FOUL,1,10:07,Kuminga P.FOUL (P2.T2) (D.Guthrie),7 - 6,-1,Jonathan Kuminga,GSW,Gilgeous-Alexander,OKC,,
16,TURNOVER,1,10:07,Kuminga Personal Foul Turnover (P1.T1),7 - 6,-1,Jonathan Kuminga,GSW,,,,
17,FOUL,1,9:59,Holmgren S.FOUL (P1.T1) (J.Capers),7 - 6,-1,Chet Holmgren,OKC,Curry,GSW,,
18,FTMAKE,1,9:59,Curry Free Throw 1 of 2 (5 PTS),7 - 7,TIE,Stephen Curry,GSW,,,,
19,FTMAKE,1,9:59,Curry Free Throw 2 of 2 (6 PTS),7 - 8,1,Stephen Curry,GSW,,,,
20,3POINTMISS,1,9:46,MISS Gilgeous-Alexander 25' 3PT Jump Shot,7 - 8,1,Shai Gilgeous-Alexander,OKC,,,,
21,REBOUND,1,9:43,Looney REBOUND (Off:0 Def:1),7 - 8,1,Kevon Looney,GSW,,,,
22,2POINT.ASSIST,1,9:37,Curry 10' Pullup Jump Shot (8 PTS) (Poole 1 AST),7 - 10,3,Stephen Curry,GSW,Jordan Poole,GSW,,
23,2POINTMISS,1,9:24,MISS Holmgren 6' Turnaround Hook Shot,7 - 10,3,Chet Holmgren,OKC,,,,
24,REBOUND,1,9:23,Curry REBOUND (Off:0 Def:2),7 - 10,3,Stephen Curry,GSW,,,,
25,2POINT,1,9:16,Poole 12' Pullup Jump Shot (2 PTS),7 - 12,5,Jordan Poole,GSW,,,,
26,FOUL,1,9:07,Kuminga S.FOUL (P3.T3) (J.Capers),7 - 12,5,Jonathan Kuminga,GSW,Gilgeous-Alexander,OKC,,
27,FTMAKE,1,9:07,Gilgeous-Alexander Free Throw 1 of 2 (4 PTS),8 - 12,4,Shai Gilgeous-Alexander,OKC,,,,
28,SUB,1,9:07,SUB: Thompson FOR Kuminga,8 - 12,4,Jonathan Kuminga,GSW,Klay Thompson,GSW,,
29,FTMAKE,1,9:07,Gilgeous-Alexander Free Throw 2 of 2 (5 PTS),9 - 12,3,Shai Gilgeous-Alexander,OKC,,,,
30,2POINT,1,8:56,Looney 1' Alley Oop Dunk (4 PTS),9 - 14,5,Kevon Looney,GSW,,,,
31,2POINT.ASSIST,1,8:48,Thompson 3' Layup (4 PTS) (Curry 2 AST),9 - 16,7,Klay Thompson,GSW,Stephen Curry,GSW,,
32,TIMEOUT,1,8:45,THUNDER Timeout: Regular (Full 1 Short 0),9 - 16,7,,,,,,
33,SUB,1,8:45,SUB: Williams FOR Holmgren,9 - 16,7,Chet Holmgren,OKC,Jalen Williams,OKC,,
34,3POINT.ASSIST,1,8:35,Gilgeous-Alexander 26' 3PT Pull-Up Jump Shot (8 PTS) (Williams 1 AST),12 - 16,4,Shai Gilgeous-Alexander,OKC,Jalen Williams,OKC,,
35,2POINT.ASSIST,1,8:14,Thompson 2' Driving Layup (6 PTS) (Curry 3 AST),12 - 18,6,Klay Thompson,GSW,Stephen Curry,GSW,,
36,FOUL,1,8:05,Williams S.FOUL (P1.T2) (D.Guthrie),12 - 18,6,Jalen Williams,OKC,Klay Thompson,GSW,,
37,FTMISS,1,8:05,MISS Thompson Free Throw 1 of 1,12 - 18,6,Klay Thompson,GSW,,,,
38,REBOUND,1,8:03,THUNDER Rebound,12 - 18,6,,,,,,
39,2POINT.ASSIST,1,7:58,Williams 2' Driving Layup (2 PTS) (Gilgeous-Alexander 2 AST),14 - 18,4,Jalen Williams,OKC,Shai Gilgeous-Alexander,OKC,,
40,2POINT,1,7:39,Poole 10' Pullup Jump Shot (4 PTS),14 - 20,6,Jordan Poole,GSW,,,,
41,2POINT,1,7:25,Gilgeous-Alexander 4' Driving Layup (10 PTS),16 - 20,4,Shai Gilgeous-Alexander,OKC,,,,
42,2POINT.ASSIST,1,7:05,Looney 1' Alley Oop Dunk (6 PTS) (Curry 4 AST),16 - 22,6,Kevon Looney,GSW,Stephen Curry,GSW,,
43,FOUL,1,6:55,Gilgeous-Alexander S.FOUL (P2.T3) (J.Capers),16 - 22,6,Shai Gilgeous-Alexander,OKC,Curry,GSW,,
44,FTMAKE,1,6:55,Curry Free Throw 1 of 2 (9 PTS),16 - 23,7,Stephen Curry,GSW,,,,
45,FTMISS,1,6:55,MISS Curry Free Throw 2 of 2,16 - 23,7,Stephen Curry,GSW,,,,
46,REBOUND,1,6:52,Holmgren REBOUND (Off:0 Def:2),16 - 23,7,Chet Holmgren,OKC,,,,
47,2POINT.ASSIST,1,6:43,Williams 2' Driving Finger Roll Layup (4 PTS) (Gilgeous-Alexander 3 AST),18 - 23,5,Jalen Williams,OKC,Shai Gilgeous-Alexander,OKC,,
48,2POINT,1,6:25,Thompson 15' Pullup Jump Shot (8 PTS),18 - 25,7,Klay Thompson,GSW,,,,
49,FOUL,1,6:08,Gilgeous-Alexander P.FOUL (P3.T4) (D.Guthrie),18 - 25,7,Shai Gilgeous-Alexander,OKC,Curry,GSW,,
50,TURNOVER,1,6:08,Gilgeous-Alexander Personal Foul Turnover (P1.T2),18 - 25,7,Shai Gilgeous-Alexander,OKC,,,,
51,SUB,1,6:08,SUB: Williams FOR Gilgeous-Alexander,18 - 25,7,Shai Gilgeous-Alexander,OKC,Jalen Williams,OKC,,
52,2POINT.ASSIST,1,6:02,Curry 13' Fadeaway Bank Shot (11 PTS) (Thompson 1 AST),18 - 27,9,Stephen Curry,GSW,Klay Thompson,GSW,,
53,2POINT,1,5:52,Williams 11' Turnaround Fadeaway (6 PTS),20 - 27,7,Jalen Williams,OKC,,,,
54,FOUL,1,5:40,Curry S.FOUL (P1.T4) (D.Guthrie),20 - 27,7,Stephen Curry,GSW,Jalen Williams,OKC,,
55,FTMAKE,1,5:40,Williams Free Throw 1 of 2 (7 PTS),21 - 27,6,Jalen Williams,OKC,,,,
56,FTMAKE,1,5:40,Williams Free Throw 2 of 2 (8 PTS),22 - 27,5,Jalen Williams,OKC,,,,
57,2POINT.ASSIST,1,5:29,Poole 5' Driving Finger Roll Layup (6 PTS) (Thompson 2 AST),22 - 29,7,Jordan Poole,GSW,Klay Thompson,GSW,,
58,FOUL,1,5:20,Looney L.B.FOUL (P1.T5) (D.Guthrie),22 - 29,7,Kevon Looney,GSW,Jalen Williams,OKC,,
59,FTMAKE,1,5:20,Williams Free Throw 1 of 2 (9 PTS),23 - 29,6,Jalen Williams,OKC,,,,
60,FTMAKE,1,5:20,Williams Free Throw 2 of 2 (10 PTS),24 - 29,5,Jalen Williams,OKC,,,,
61,2POINT.ASSIST,1,5:06,Thompson 2' Cutting Layup (10 PTS) (Poole 2 AST),24 - 31,7,Klay Thompson,GSW,Jordan Poole,GSW,,
62,TURNOVER,1,4:58,Williams Lost Ball Turnover (P1.T3),24 - 31,7,Jalen Williams,OKC,,,,
63,STEAL.TURNOVER,1,4:55,Poole STEAL (1 STL)Williams Bad Pass Turnover (P2.T4),24 - 31,7,Jalen Williams,OKC,Jordan Poole,GSW,,
64,2POINT,1,4:45,Poole 13' Pullup Jump Shot (8 PTS),24 - 33,9,Jordan Poole,GSW,,,,
65,FOUL,1,4:36,Thompson S.FOUL (P2.T6) (D.Guthrie),24 - 33,9,Klay Thompson,GSW,Jalen Williams,OKC,,
