,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period,0 - 0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Looney vs. Robinson-Earl: Tip to Curry,0 - 0,0,Kevon Looney,GSW,Jeremiah Robinson-Earl,OKC,Stephen Curry,GSW
2,2POINT.ASSIST,1,11:45,Wiggins 2' Cutting Layup Shot (2 PTS) (Curry 1 AST),2 - 0,-2,Andrew Wiggins,GSW,Stephen Curry,GSW,,
3,2POINTMISS,1,11:30,MISS Giddey 12' Pullup Jump Shot,2 - 0,-2,Josh Giddey,OKC,,,,
4,REBOUND,1,11:28,Wiggins REBOUND (Off:0 Def:1),2 - 0,-2,Andrew Wiggins,GSW,,,,
5,2POINT.ASSIST,1,11:20,Looney 2' Cutting Layup Shot (2 PTS) (Green 1 AST),4 - 0,-4,Kevon Looney,GSW,Draymond Green,GSW,,
6,3POINT.ASSIST,1,11:09,Gilgeous-Alexander 25' 3PT Jump Shot (3 PTS) (Dort 1 AST),4 - 3,-1,Shai Gilgeous-Alexander,OKC,Luguentz Dort,OKC,,
7,2POINTMISS,1,10:58,MISS Curry 8' Floating Jump Shot,4 - 3,-1,Stephen Curry,GSW,,,,
8,REBOUND,1,10:56,Jal. Williams REBOUND (Off:0 Def:1),4 - 3,-1,Jalen Williams,OKC,,,,
9,2POINT.ASSIST,1,10:45,Dort 2' Cutting Layup Shot (2 PTS) (Giddey 1 AST),4 - 5,1,Luguentz Dort,OKC,Josh Giddey,OKC,,
10,STEAL.TURNOVER,1,10:32,Dort STEAL (1 STL)Thompson Bad Pass Turnover (P1.T1),4 - 5,1,Klay Thompson,GSW,Luguentz Dort,OKC,,
11,2POINT,1,10:28,Dort 1' Layup (4 PTS),4 - 7,3,Luguentz Dort,OKC,,,,
12,3POINT.ASSIST,1,10:15,Thompson 25' 3PT Jump Shot (3 PTS) (Curry 2 AST),7 - 7,0,Klay Thompson,GSW,Stephen Curry,GSW,,
13,3POINTMISS,1,9:57,MISS Giddey 26' 3PT Jump Shot,7 - 7,0,Josh Giddey,OKC,,,,
14,REBOUND,1,9:55,Green REBOUND (Off:0 Def:1),7 - 7,0,Draymond Green,GSW,,,,
15,2POINTMISS,1,9:45,MISS Curry 5' Driving Layup,7 - 7,0,Stephen Curry,GSW,,,,
16,REBOUND,1,9:43,Looney REBOUND (Off:1 Def:0),7 - 7,0,Kevon Looney,GSW,,,,
17,2POINT,1,9:42,Looney 2' Tip Layup Shot (4 PTS),9 - 7,-2,Kevon Looney,GSW,,,,
