,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (8:00 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Vucevic vs. Davis: Tip to LaVine,0,0,Nikola Vucevic,CHI,Anthony Davis,LAL,Zach LaVine,CHI
2,2POINT.ASSIST,1,11:41,LaVine 2' Driving Finger Roll Layup (2 PTS) (Caruso 1 AST),2 - 0,-2,Zach LaVine,CHI,Alex Caruso,CHI,,
3,2POINT,1,11:22,James 18' Pullup Jump Shot (2 PTS),2 - 2,TIE,LeBron James,LAL,,,,
4,3POINT.ASSIST,1,11:07,DeRozan 24' 3PT Jump Shot (3 PTS) (Vucevic 1 AST),5 - 2,-3,DeMar DeRozan,CHI,Nikola Vucevic,CHI,,
5,FOUL,1,10:50,Beverley P.FOUL (P1.T1) (E.Malloy),5 - 2,-3,Patrick Beverley,LAL,Nikola Vucevic,CHI,,
6,FTMISS,1,10:50,MISS Vucevic Free Throw 1 of 2,5 - 2,-3,Nikola Vucevic,CHI,,,,
7,REBOUND,1,10:50,Bulls Rebound,5 - 2,-3,,,,,,
8,FTMAKE,1,10:50,Vucevic Free Throw 2 of 2 (1 PTS),6 - 2,-4,Nikola Vucevic,CHI,,,,
9,2POINT.ASSIST,1,10:33,Davis 4' Hook Shot (2 PTS) (James 1 AST),6 - 4,-2,Anthony Davis,LAL,LeBron James,LAL,,
10,2POINTMISS,1,10:15,MISS DeRozan 12' Floating Jump Shot,6 - 4,-2,DeMar DeRozan,CHI,,,,
11,REBOUND,1,10:13,Davis REBOUND (Off:0 Def:1),6 - 4,-2,Anthony Davis,LAL,,,,
12,2POINTMISS,1,10:07,MISS James 17' Step Back Jump Shot,6 - 4,-2,LeBron James,LAL,,,,
13,REBOUND,1,10:03,Vucevic REBOUND (Off:0 Def:1),6 - 4,-2,Nikola Vucevic,CHI,,,,
14,3POINT.ASSIST,1,9:56,LaVine 25' 3PT Running Pull-Up Jump Shot (5 PTS) (Caruso 2 AST),9 - 4,-5,Zach LaVine,CHI,Alex Caruso,CHI,,
15,3POINTMISS,1,9:41,MISS Beverley 26' 3PT Jump Shot,9 - 4,-5,Patrick Beverley,LAL,,,,
16,REBOUND,1,9:38,Vucevic REBOUND (Off:0 Def:2),9 - 4,-5,Nikola Vucevic,CHI,,,,
17,2POINT,1,9:24,DeRozan 11' Turnaround Fadeaway (5 PTS),11 - 4,-7,DeMar DeRozan,CHI,,,,
18,2POINT.ASSIST,1,9:10,Davis 5' Driving Finger Roll Layup (4 PTS) (James 2 AST),11 - 6,-5,Anthony Davis,LAL,LeBron James,LAL,,
19,3POINTMISS,1,8:53,MISS LaVine 25' 3PT Step Back Jump Shot,11 - 6,-5,Zach LaVine,CHI,,,,
20,REBOUND,1,8:50,Davis REBOUND (Off:0 Def:2),11 - 6,-5,Anthony Davis,LAL,,,,
21,TURNOVER,1,8:41,Westbrook Lost Ball Turnover (P1.T1),11 - 6,-5,Russell Westbrook,LAL,,,,
22,3POINTMISS,1,8:26,MISS Caruso 26' 3PT Jump Shot,11 - 6,-5,Alex Caruso,CHI,,,,
23,REBOUND,1,8:23,James REBOUND (Off:0 Def:1),11 - 6,-5,LeBron James,LAL,,,,
24,FOUL,1,8:16,Vucevic P.FOUL (P1.T1) (J.Tiven),11 - 6,-5,Nikola Vucevic,CHI,Anthony Davis,LAL,,
25,FTMISS,1,8:16,MISS Davis Free Throw 1 of 2,11 - 6,-5,Anthony Davis,LAL,,,,
26,REBOUND,1,8:16,Lakers Rebound,11 - 6,-5,,,,,,
27,FTMAKE,1,8:16,Davis Free Throw 2 of 2 (5 PTS),11 - 7,-4,Anthony Davis,LAL,,,,
28,2POINTMISS,1,8:00,MISS DeRozan 12' Turnaround Fadeaway Shot,11 - 7,-4,DeMar DeRozan,CHI,,,,
29,REBOUND,1,7:57,James REBOUND (Off:0 Def:2),11 - 7,-4,LeBron James,LAL,,,,
30,2POINTMISS,1,7:52,MISS James 2' Driving Layup,11 - 7,-4,LeBron James,LAL,,,,
