,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:00 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Claxton vs. Holmgren: Tip to Durant,0,0,Nic Claxton,BKN,Chet Holmgren,OKC,Kevin Durant,BKN
2,3POINT.ASSIST,1,11:45,Durant 25' 3PT Jump Shot (3 PTS) (Irving 1 AST),0 - 3,3,Kevin Durant,BKN,Kyrie Irving,BKN,,
3,2POINT,1,11:27,Gilgeous-Alexander 16' Pullup Jump Shot (2 PTS),2 - 3,1,Shai Gilgeous-Alexander,OKC,,,,
4,2POINTMISS,1,11:08,MISS Simmons 7' Driving Floating Bank Jump Shot,2 - 3,1,Ben Simmons,BKN,,,,
5,REBOUND,1,11:05,Gilgeous-Alexander REBOUND (Off:0 Def:1),2 - 3,1,Shai Gilgeous-Alexander,OKC,,,,
6,2POINTMISS.BLOCK,1,10:53,MISS Holmgren 2' Driving Layup BlockedClaxton BLOCK (1 BLK),2 - 3,1,Chet Holmgren,OKC,,,Nic Claxton,BKN
7,REBOUND,1,10:51,Covington REBOUND (Off:0 Def:1),2 - 3,1,Robert Covington,BKN,,,,
8,2POINT.ASSIST,1,10:39,Mills 7' Pullup Jump Shot (2 PTS) (Irving 2 AST),2 - 5,3,Patty Mills,BKN,Kyrie Irving,BKN,,
9,2POINT.ASSIST,1,10:27,Gilgeous-Alexander 7' Driving Floating Bank Jump Shot (4 PTS) (Holmgren 1 AST),4 - 5,1,Shai Gilgeous-Alexander,OKC,Chet Holmgren,OKC,,
10,3POINT.ASSIST,1,10:10,Harris 26' 3PT Jump Shot (3 PTS) (Irving 3 AST),4 - 8,4,Joe Harris,BKN,Kyrie Irving,BKN,,
11,2POINT.ASSIST,1,9:59,Holmgren 1' Cutting Dunk Shot (2 PTS) (Gilgeous-Alexander 1 AST),6 - 8,2,Chet Holmgren,OKC,Shai Gilgeous-Alexander,OKC,,
12,FOUL,1,9:50,Claxton S.FOUL (P1.T1) (J.Goble),6 - 8,2,Nic Claxton,BKN,Holmgren,OKC,,
13,FTMAKE,1,9:50,Holmgren Free Throw 1 of 2 (3 PTS),7 - 8,1,Chet Holmgren,OKC,,,,
14,FTMISS,1,9:50,MISS Holmgren Free Throw 2 of 2,7 - 8,1,Chet Holmgren,OKC,,,,
15,REBOUND,1,9:48,Simmons REBOUND (Off:0 Def:1),7 - 8,1,Ben Simmons,BKN,,,,
16,2POINTMISS,1,9:41,MISS Mills 7' Turnaround Jump Shot,7 - 8,1,Patty Mills,BKN,,,,
17,REBOUND,1,9:37,Holmgren REBOUND (Off:0 Def:1),7 - 8,1,Chet Holmgren,OKC,,,,
18,2POINT,1,9:32,Gilgeous-Alexander 8' Turnaround Jump Shot (6 PTS),9 - 8,-1,Shai Gilgeous-Alexander,OKC,,,,
19,2POINT.ASSIST,1,9:11,Claxton 2' Cutting Dunk Shot (2 PTS) (Durant 1 AST),9 - 10,1,Nic Claxton,BKN,Kevin Durant,BKN,,
20,TURNOVER,1,8:56,Giddey Bad Pass Turnover (P1.T1),9 - 10,1,Josh Giddey,OKC,,,,
21,2POINT.ASSIST,1,8:41,Mills 9' Driving Floating Bank Jump Shot (4 PTS) (Durant 2 AST),9 - 12,3,Patty Mills,BKN,Kevin Durant,BKN,,
22,3POINT.ASSIST,1,8:18,Giddey 25' 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 2 AST),12 - 12,TIE,Josh Giddey,OKC,Shai Gilgeous-Alexander,OKC,,
23,FOUL,1,8:12,Simmons P.FOUL (P1.T2) (T.Brown),12 - 12,TIE,Ben Simmons,BKN,Luguentz Dort,OKC,,
24,FTMISS,1,8:12,MISS Dort Free Throw 1 of 2,12 - 12,TIE,Luguentz Dort,OKC,,,,
