,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:12 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Looney vs. Holmgren: Tip to Gilgeous-Alexander,0,0,Kevon Looney,GSW,Chet Holmgren,OKC,Shai Gilgeous-Alexander,OKC
2,2POINT.ASSIST,1,11:55,Gilgeous-Alexander 1' Driving Layup (2 PTS) (Dort 1 AST),2 - 0,-2,Shai Gilgeous-Alexander,OKC,Luguentz Dort,OKC,,
3,3POINTMISS,1,11:40,MISS Thompson 27' 3PT Pullup Jump Shot,2 - 0,-2,Klay Thompson,GSW,,,,
4,REBOUND,1,11:38,Warriors Rebound,2 - 0,-2,,,,,,
5,2POINTMISS,1,11:26,MISS Curry 18' Pullup Jump Shot,2 - 0,-2,Stephen Curry,GSW,,,,
6,REBOUND,1,11:23,Holmgren REBOUND (Off:0 Def:1),2 - 0,-2,Chet Holmgren,OKC,,,,
7,3POINT.ASSIST,1,11:13,Giddey 26' 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 1 AST),5 - 0,-5,Josh Giddey,OKC,Shai Gilgeous-Alexander,OKC,,
8,FOUL,1,10:54,Wiggins P.FOUL (P1.T1) (J.Tiven),5 - 0,-5,Andrew Wiggins,GSW,Chet Holmgren,OKC,,
9,FOUL,1,10:47,Dort S.FOUL (P1.T1) (K.Cutler),5 - 0,-5,Luguentz Dort,OKC,Klay Thompson,GSW,,
10,FTMAKE,1,10:47,Thompson Free Throw 1 of 2 (1 PTS),5 - 1,-4,Klay Thompson,GSW,,,,
11,FTMISS,1,10:47,MISS Thompson Free Throw 2 of 2,5 - 1,-4,Klay Thompson,GSW,,,,
12,REBOUND,1,10:44,Warriors Rebound,5 - 1,-4,,,,,,
13,2POINT.ASSIST,1,10:35,Green 2' Cutting Dunk Shot (2 PTS) (Curry 1 AST),5 - 3,-2,Draymond Green,GSW,Stephen Curry,GSW,,
14,3POINT.ASSIST,1,10:18,Giddey 26' 3PT Jump Shot (6 PTS) (Gilgeous-Alexander 2 AST),8 - 3,-5,Josh Giddey,OKC,Shai Gilgeous-Alexander,OKC,,
15,3POINTMISS,1,9:59,MISS Thompson 27' 3PT Jump Shot,8 - 3,-5,Klay Thompson,GSW,,,,
16,REBOUND,1,9:56,Holmgren REBOUND (Off:1 Def:1),8 - 3,-5,Chet Holmgren,OKC,,,,
17,2POINTMISS,1,9:54,MISS Gilgeous-Alexander 16' Pullup Jump Shot,8 - 3,-5,Shai Gilgeous-Alexander,OKC,,,,
18,REBOUND,1,9:51,Green REBOUND (Off:0 Def:1),8 - 3,-5,Draymond Green,GSW,,,,
19,2POINT.ASSIST,1,9:40,Green 14' Pullup Jump Shot (4 PTS) (Curry 2 AST),8 - 5,-3,Draymond Green,GSW,Stephen Curry,GSW,,
20,3POINTMISS,1,9:22,MISS Wiggins 26' 3PT Jump Shot,8 - 5,-3,Andrew Wiggins,GSW,,,,
