,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:11 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Smith vs. Jay. Williams: Tip to Nembhard,0,0,Jalen Smith,IND,Jaylin Williams,OKC,Andrew Nembhard,IND
2,3POINTMISS,1,11:48,MISS Nembhard 26' 3PT Pullup Jump Shot,0,0,Andrew Nembhard,IND,,,,
3,REBOUND,1,11:45,Dort REBOUND (Off:0 Def:1),0,0,Luguentz Dort,OKC,,,,
4,TURNOVER,1,11:36,Jay. Williams Out of Bounds - Bad Pass Turnover Turnover (P1.T1),0,0,Jaylin Williams,OKC,,,,
5,STEAL.TURNOVER,1,11:26,Nembhard Bad Pass Turnover (P1.T1)Jay. Williams STEAL (1 STL),0,0,Andrew Nembhard,IND,Jaylin Williams,OKC,,
6,2POINT.ASSIST,1,11:21,Jal. Williams 2' Running Finger Roll Layup (2 PTS) (Giddey 1 AST),2 - 0,-2,Jalen Williams,OKC,Josh Giddey,OKC,,
7,STEAL.TURNOVER,1,11:06,Nesmith Bad Pass Turnover (P1.T2)Jal. Williams STEAL (1 STL),2 - 0,-2,Aaron Nesmith,IND,Jalen Williams,OKC,,
8,2POINT.ASSIST,1,11:02,Giddey 2' Running Finger Roll Layup (2 PTS) (Jal. Williams 1 AST),4 - 0,-4,Josh Giddey,OKC,Jalen Williams,OKC,,
9,TIMEOUT,1,11:00,PACERS Timeout: Regular (Full 1 Short 0),4 - 0,-4,,,,,,
10,2POINT.ASSIST,1,10:46,Nwora 12' Pullup Jump Shot (2 PTS) (Nembhard 1 AST),4 - 2,-2,Jordan Nwora,IND,Andrew Nembhard,IND,,
11,2POINT,1,10:24,Dort 17' Pullup Jump Shot (2 PTS),6 - 2,-4,Luguentz Dort,OKC,,,,
12,3POINT.ASSIST,1,9:56,Nesmith 24' 3PT Pullup Jump Shot (3 PTS) (Nwora 1 AST),6 - 5,-1,Aaron Nesmith,IND,Jordan Nwora,IND,,
13,2POINT,1,9:44,Gilgeous-Alexander 3' Driving Finger Roll Layup (2 PTS),8 - 5,-3,Shai Gilgeous-Alexander,OKC,,,,
14,3POINT.ASSIST,1,9:35,Smith 25' 3PT Jump Shot (3 PTS) (Nembhard 2 AST),8 - 8,TIE,Jalen Smith,IND,Andrew Nembhard,IND,,
15,2POINTMISS,1,9:18,MISS Gilgeous-Alexander 10' Turnaround Fadeaway Shot,8 - 8,TIE,Shai Gilgeous-Alexander,OKC,,,,
16,REBOUND,1,9:14,Smith REBOUND (Off:0 Def:1),8 - 8,TIE,Jalen Smith,IND,,,,
17,2POINTMISS,1,8:59,MISS Nesmith 5' Layup,8 - 8,TIE,Aaron Nesmith,IND,,,,
18,REBOUND,1,8:56,Smith REBOUND (Off:1 Def:1),8 - 8,TIE,Jalen Smith,IND,,,,
19,2POINTMISS,1,8:56,MISS Smith Tip Layup Shot,8 - 8,TIE,Jalen Smith,IND,,,,
20,REBOUND,1,8:55,Nesmith REBOUND (Off:1 Def:0),8 - 8,TIE,Aaron Nesmith,IND,,,,
21,FOUL,1,8:55,Jal. Williams P.FOUL (P1.T1) (M.Smith),8 - 8,TIE,Jalen Williams,OKC,Bennedict Mathurin,IND,,
22,STEAL.TURNOVER,1,8:49,Nembhard Bad Pass Turnover (P2.T3)Dort STEAL (1 STL),8 - 8,TIE,Andrew Nembhard,IND,Luguentz Dort,OKC,,
23,STEAL.TURNOVER,1,8:42,Nesmith STEAL (1 STL)Dort Bad Pass Turnover (P1.T2),8 - 8,TIE,Luguentz Dort,OKC,Aaron Nesmith,IND,,
24,2POINT.ASSIST,1,8:38,Mathurin 1' Running Finger Roll Layup (2 PTS) (Nembhard 3 AST),8 - 10,2,Bennedict Mathurin,IND,Andrew Nembhard,IND,,
25,FOUL,1,8:31,Nesmith P.FOUL (P1.T1) (M.Davis),8 - 10,2,Aaron Nesmith,IND,Luguentz Dort,OKC,,
26,2POINT,1,8:21,Gilgeous-Alexander 12' Fadeaway Jumper (4 PTS),10 - 10,TIE,Shai Gilgeous-Alexander,OKC,,,,
27,3POINTMISS,1,8:08,MISS Nesmith 26' 3PT Pullup Jump Shot,10 - 10,TIE,Aaron Nesmith,IND,,,,
28,REBOUND,1,8:05,Jay. Williams REBOUND (Off:0 Def:1),10 - 10,TIE,Jaylin Williams,OKC,,,,
29,2POINTMISS,1,7:56,MISS Gilgeous-Alexander 13' Fadeaway Jumper,10 - 10,TIE,Shai Gilgeous-Alexander,OKC,,,,
30,2POINT,1,7:49,Giddey Tip Layup Shot (4 PTS),12 - 10,-2,Josh Giddey,OKC,,,,
31,REBOUND,1,7:49,Giddey REBOUND (Off:1 Def:0),12 - 10,-2,Josh Giddey,OKC,,,,
32,3POINTMISS,1,7:43,MISS Nwora 3PT Jump Shot,12 - 10,-2,Jordan Nwora,IND,,,,
33,REBOUND,1,7:40,Smith REBOUND (Off:2 Def:1),12 - 10,-2,Jalen Smith,IND,,,,
34,2POINT,1,7:40,Smith Tip Layup Shot (5 PTS),12 - 12,TIE,Jalen Smith,IND,,,,
35,2POINT,1,7:35,Gilgeous-Alexander 2' Driving Layup (6 PTS),14 - 12,-2,Shai Gilgeous-Alexander,OKC,,,,
36,3POINTMISS,1,7:28,MISS Smith 26' 3PT Jump Shot,14 - 12,-2,Jalen Smith,IND,,,,
37,REBOUND,1,7:23,Jal. Williams REBOUND (Off:0 Def:1),14 - 12,-2,Jalen Williams,OKC,,,,
38,3POINTMISS,1,7:19,MISS Jal. Williams 25' 3PT Running Jump Shot,14 - 12,-2,Jalen Williams,OKC,,,,
39,REBOUND,1,7:14,Smith REBOUND (Off:2 Def:2),14 - 12,-2,Jalen Smith,IND,,,,
40,2POINT,1,7:02,Nwora 10' Pullup Jump Shot (4 PTS),14 - 14,TIE,Jordan Nwora,IND,,,,
41,FOUL,1,6:48,Nembhard S.FOUL (P1.T2) (M.Smith),14 - 14,TIE,Andrew Nembhard,IND,Shai Gilgeous-Alexander,OKC,,
42,FTMAKE,1,6:48,Gilgeous-Alexander Free Throw 1 of 2 (7 PTS),15 - 14,-1,Shai Gilgeous-Alexander,OKC,,,,
43,SUB,1,6:48,SUB: Jackson FOR Nembhard,15 - 14,-1,Andrew Nembhard,IND,Isaiah Jackson,IND,,
44,SUB,1,6:48,SUB: Hield FOR Nesmith,15 - 14,-1,Aaron Nesmith,IND,Buddy Hield,IND,,
45,SUB,1,6:48,SUB: McConnell FOR Smith,15 - 14,-1,Jalen Smith,IND,T.J. McConnell,IND,,
46,FTMAKE,1,6:48,Gilgeous-Alexander Free Throw 2 of 2 (8 PTS),16 - 14,-2,Shai Gilgeous-Alexander,OKC,,,,
47,2POINT,1,6:26,Nwora 3' Layup (6 PTS),16 - 16,TIE,Jordan Nwora,IND,,,,
48,2POINT.ASSIST,1,6:14,Gilgeous-Alexander 2' Driving Dunk (10 PTS) (Jal. Williams 2 AST),18 - 16,-2,Shai Gilgeous-Alexander,OKC,Jalen Williams,OKC,,
49,3POINT.ASSIST,1,6:05,Mathurin 24' 3PT Jump Shot (5 PTS) (Hield 1 AST),18 - 19,1,Bennedict Mathurin,IND,Buddy Hield,IND,,
50,TIMEOUT,1,6:04,Thunder Timeout: Regular (Reg.1 Short 0),18 - 19,1,,,,,,
51,SUB,1,6:04,SUB: Joe FOR Giddey,18 - 19,1,Josh Giddey,OKC,Isaiah Joe,OKC,,
52,SUB,1,6:04,SUB: Pokusevski FOR Jay. Williams,18 - 19,1,Jaylin Williams,OKC,Aleksej Pokusevski,OKC,,
53,SUB,1,6:04,SUB: Wiggins FOR Jal. Williams,18 - 19,1,Jalen Williams,OKC,Aaron Wiggins,OKC,,
54,2POINT.ASSIST,1,5:43,Joe 16' Pullup Jump Shot (2 PTS) (Pokusevski 1 AST),20 - 19,-1,Isaiah Joe,OKC,Aleksej Pokusevski,OKC,,
55,2POINT,1,5:17,McConnell 12' Turnaround Jump Shot (2 PTS),20 - 21,1,T.J. McConnell,IND,,,,
56,2POINTMISS,1,5:06,MISS Dort 14' Pullup Jump Shot,20 - 21,1,Luguentz Dort,OKC,,,,
57,REBOUND,1,5:02,McConnell REBOUND (Off:0 Def:1),20 - 21,1,T.J. McConnell,IND,,,,
58,2POINT.ASSIST,1,4:54,Jackson 1' Layup (2 PTS) (Nwora 2 AST),20 - 23,3,Isaiah Jackson,IND,Jordan Nwora,IND,,
59,FOUL,1,4:44,Jackson S.FOUL (P1.T3) (M.Davis),20 - 23,3,Isaiah Jackson,IND,Shai Gilgeous-Alexander,OKC,,
60,FTMAKE,1,4:44,Gilgeous-Alexander Free Throw 1 of 2 (11 PTS),21 - 23,2,Shai Gilgeous-Alexander,OKC,,,,
61,FTMAKE,1,4:44,Gilgeous-Alexander Free Throw 2 of 2 (12 PTS),22 - 23,1,Shai Gilgeous-Alexander,OKC,,,,
62,2POINT.ASSIST,1,4:31,McConnell 14' Pullup Jump Shot (4 PTS) (Hield 2 AST),22 - 25,3,T.J. McConnell,IND,Buddy Hield,IND,,
63,2POINT,1,4:14,Gilgeous-Alexander 6' Pullup Jump Shot (14 PTS),24 - 25,1,Shai Gilgeous-Alexander,OKC,,,,
64,2POINT,1,4:01,McConnell 4' Turnaround Bank Shot (6 PTS),24 - 27,3,T.J. McConnell,IND,,,,
65,3POINTMISS,1,3:46,MISS Joe 27' 3PT Step Back Jump Shot,24 - 27,3,Isaiah Joe,OKC,,,,
66,REBOUND,1,3:41,Mathurin REBOUND (Off:0 Def:1),24 - 27,3,Bennedict Mathurin,IND,,,,
67,3POINTMISS,1,3:24,MISS McConnell 26' 3PT Jump Shot,24 - 27,3,T.J. McConnell,IND,,,,
68,REBOUND,1,3:22,Pokusevski REBOUND (Off:0 Def:1),24 - 27,3,Aleksej Pokusevski,OKC,,,,
69,2POINT,1,3:16,Pokusevski 2' Running Layup (2 PTS),26 - 27,1,Aleksej Pokusevski,OKC,,,,
70,2POINT.ASSIST,1,2:59,Mathurin 20' Fadeaway Jumper (7 PTS) (McConnell 1 AST),26 - 29,3,Bennedict Mathurin,IND,T.J. McConnell,IND,,
71,STEAL.TURNOVER,1,2:45,Hield STEAL (1 STL)Gilgeous-Alexander Bad Pass Turnover (P1.T3),26 - 29,3,Shai Gilgeous-Alexander,OKC,Buddy Hield,IND,,
72,STEAL.TURNOVER,1,2:41,McConnell Bad Pass Turnover (P1.T4)Joe STEAL (1 STL),26 - 29,3,T.J. McConnell,IND,Isaiah Joe,OKC,,
73,FOUL,1,2:40,McConnell P.FOUL (P1.T4) (M.Davis),26 - 29,3,T.J. McConnell,IND,Isaiah Joe,OKC,,
74,SUB,1,2:40,SUB: Brissett FOR Nwora,26 - 29,3,Jordan Nwora,IND,Oshae Brissett,IND,,
75,SUB,1,2:40,SUB: Dieng FOR Dort,26 - 29,3,Luguentz Dort,OKC,Ousmane Dieng,OKC,,
76,SUB,1,2:40,SUB: Jal. Williams FOR Gilgeous-Alexander,26 - 29,3,Shai Gilgeous-Alexander,OKC,Jalen Williams,OKC,,
77,3POINTMISS,1,2:27,MISS Dieng 25' 3PT Jump Shot,26 - 29,3,Ousmane Dieng,OKC,,,,
78,REBOUND,1,2:23,Hield REBOUND (Off:0 Def:1),26 - 29,3,Buddy Hield,IND,,,,
79,3POINTMISS,1,2:04,MISS Brissett 26' 3PT Jump Shot,26 - 29,3,Oshae Brissett,IND,,,,
80,REBOUND,1,2:00,Wiggins REBOUND (Off:0 Def:1),26 - 29,3,Aaron Wiggins,OKC,,,,
81,STEAL.TURNOVER,1,1:54,Jackson STEAL (1 STL)Wiggins Lost Ball Turnover (P1.T4),26 - 29,3,Aaron Wiggins,OKC,Isaiah Jackson,IND,,
82,2POINTMISS,1,1:51,MISS Hield 4' Running Layup,26 - 29,3,Buddy Hield,IND,,,,
83,REBOUND,1,1:48,Mathurin REBOUND (Off:1 Def:1),26 - 29,3,Bennedict Mathurin,IND,,,,
84,2POINT,1,1:48,Mathurin Tip Layup Shot (9 PTS),26 - 31,5,Bennedict Mathurin,IND,,,,
85,2POINT,1,1:33,Jal. Williams 12' Pullup Jump Shot (4 PTS),28 - 31,3,Jalen Williams,OKC,,,,
86,2POINT.ASSIST,1,1:12,Jackson 1' Cutting Dunk Shot (4 PTS) (Brissett 1 AST),28 - 33,5,Isaiah Jackson,IND,Oshae Brissett,IND,,
87,2POINT,1,0:57,Jal. Williams 2' Driving Finger Roll Layup (6 PTS),30 - 33,3,Jalen Williams,OKC,,,,
88,3POINT.ASSIST,1,0:35,Hield 3PT Jump Shot (3 PTS) (McConnell 2 AST),30 - 36,6,Buddy Hield,IND,T.J. McConnell,IND,,
89,2POINT,1,0:18,Dieng 6' Driving Floating Jump Shot (2 PTS),32 - 36,4,Ousmane Dieng,OKC,,,,
90,FOUL,1,0:07,Joe Personal Take Foul (P1.T2) (M.Davis),32 - 36,4,Isaiah Joe,OKC,T.J. McConnell,IND,,
91,SUB,1,0:07,SUB: Dort FOR Dieng,32 - 36,4,Ousmane Dieng,OKC,Luguentz Dort,OKC,,
92,3POINTMISS,1,0:01,MISS Brissett 3PT Jump Shot,32 - 36,4,Oshae Brissett,IND,,,,
93,REBOUND,1,0:01,PACERS Rebound,32 - 36,4,,,,,,
94,ENDOFPERIOD,1,0:00,End of 1st Period (7:34 PM EST),32 - 36,4,,,,,,
95,STARTOFPERIOD,2,12:00,Start of 2nd Period (7:37 PM EST),32 - 36,4,,,,,,
96,FOUL,2,11:47,McConnell S.FOUL (P2.T1) (D.Mosher),32 - 36,4,T.J. McConnell,IND,Josh Giddey,OKC,,
97,FTMAKE,2,11:47,Giddey Free Throw 1 of 2 (5 PTS),33 - 36,3,Josh Giddey,OKC,,,,
98,FTMISS,2,11:47,MISS Giddey Free Throw 2 of 2,33 - 36,3,Josh Giddey,OKC,,,,
99,REBOUND,2,11:46,Nesmith REBOUND (Off:1 Def:1),33 - 36,3,Aaron Nesmith,IND,,,,
100,3POINTMISS,2,11:26,MISS Brissett 3PT Jump Shot,33 - 36,3,Oshae Brissett,IND,,,,
101,REBOUND,2,11:23,Jal. Williams REBOUND (Off:0 Def:2),33 - 36,3,Jalen Williams,OKC,,,,
102,2POINT.ASSIST,2,11:18,Wiggins 5' Running Finger Roll Layup (2 PTS) (Jal. Williams 3 AST),35 - 36,1,Aaron Wiggins,OKC,Jalen Williams,OKC,,
103,FOUL,2,11:18,Smith S.FOUL (P1.T2) (M.Smith),35 - 36,1,Jalen Smith,IND,Aaron Wiggins,OKC,,
104,FTMAKE,2,11:18,Wiggins Free Throw 1 of 1 (3 PTS),36 - 36,TIE,Aaron Wiggins,OKC,,,,
105,3POINTMISS,2,11:09,MISS Nesmith 3PT Jump Shot,36 - 36,TIE,Aaron Nesmith,IND,,,,
106,REBOUND,2,11:06,Giddey REBOUND (Off:1 Def:1),36 - 36,TIE,Josh Giddey,OKC,,,,
107,3POINTMISS,2,11:02,MISS Pokusevski 26' 3PT Running Jump Shot,36 - 36,TIE,Aleksej Pokusevski,OKC,,,,
108,2POINT,2,10:57,Wiggins Tip Dunk Shot (5 PTS),38 - 36,-2,Aaron Wiggins,OKC,,,,
109,REBOUND,2,10:57,Wiggins REBOUND (Off:1 Def:1),38 - 36,-2,Aaron Wiggins,OKC,,,,
110,TIMEOUT,2,10:57,PACERS Timeout: Regular (Full 2 Short 0),38 - 36,-2,,,,,,
111,2POINT,2,10:40,McConnell 12' Driving Floating Jump Shot (8 PTS),38 - 38,TIE,T.J. McConnell,IND,,,,
112,3POINTMISS,2,10:19,MISS Jal. Williams 26' 3PT Jump Shot,38 - 38,TIE,Jalen Williams,OKC,,,,
113,REBOUND,2,10:16,Smith REBOUND (Off:2 Def:3),38 - 38,TIE,Jalen Smith,IND,,,,
114,2POINTMISS,2,10:08,MISS Nembhard 14' Step Back Jump Shot,38 - 38,TIE,Andrew Nembhard,IND,,,,
115,REBOUND,2,10:04,Dieng REBOUND (Off:0 Def:1),38 - 38,TIE,Ousmane Dieng,OKC,,,,
116,TURNOVER,2,9:58,Pokusevski Offensive Goaltending Turnover (P1.T5),38 - 38,TIE,Aleksej Pokusevski,OKC,,,,
117,FOUL,2,9:44,Dieng S.FOUL (P1.T1) (M.Smith),38 - 38,TIE,Ousmane Dieng,OKC,Oshae Brissett,IND,,
118,FTMAKE,2,9:44,Brissett Free Throw 1 of 2 (1 PTS),38 - 39,1,Oshae Brissett,IND,,,,
119,FTMAKE,2,9:44,Brissett Free Throw 2 of 2 (2 PTS),38 - 40,2,Oshae Brissett,IND,,,,
120,2POINT,2,9:31,Giddey 1' Reverse Layup (7 PTS),40 - 40,TIE,Josh Giddey,OKC,,,,
121,3POINT.ASSIST,2,9:19,Nesmith 25' 3PT Jump Shot (6 PTS) (McConnell 3 AST),40 - 43,3,Aaron Nesmith,IND,T.J. McConnell,IND,,
122,3POINTMISS,2,8:59,MISS Pokusevski 26' 3PT Jump Shot,40 - 43,3,Aleksej Pokusevski,OKC,,,,
123,REBOUND,2,8:55,Smith REBOUND (Off:2 Def:4),40 - 43,3,Jalen Smith,IND,,,,
124,3POINTMISS,2,8:50,MISS Nembhard 3PT Running Jump Shot,40 - 43,3,Andrew Nembhard,IND,,,,
125,REBOUND,2,8:46,Dieng REBOUND (Off:0 Def:2),40 - 43,3,Ousmane Dieng,OKC,,,,
126,2POINT.ASSIST,2,8:41,Jal. Williams 1' Running Alley Oop Dunk Shot (8 PTS) (Dieng 1 AST),42 - 43,1,Jalen Williams,OKC,Ousmane Dieng,OKC,,
127,3POINTMISS,2,8:31,MISS McConnell 26' 3PT Jump Shot,42 - 43,1,T.J. McConnell,IND,,,,
128,REBOUND,2,8:28,Brissett REBOUND (Off:1 Def:0),42 - 43,1,Oshae Brissett,IND,,,,
129,2POINTMISS,2,8:15,MISS Smith 3' Hook Shot,42 - 43,1,Jalen Smith,IND,,,,
130,REBOUND,2,8:13,Smith REBOUND (Off:3 Def:4),42 - 43,1,Jalen Smith,IND,,,,
131,2POINT,2,8:12,Smith 2' Putback Layup (7 PTS),42 - 45,3,Jalen Smith,IND,,,,
132,3POINTMISS,2,8:01,MISS Giddey 28' 3PT Jump Shot,42 - 45,3,Josh Giddey,OKC,,,,
133,REBOUND,2,7:56,Nesmith REBOUND (Off:1 Def:2),42 - 45,3,Aaron Nesmith,IND,,,,
134,3POINT.ASSIST,2,7:51,Nembhard 24' 3PT Jump Shot (3 PTS) (McConnell 4 AST),42 - 48,6,Andrew Nembhard,IND,T.J. McConnell,IND,,
135,TIMEOUT,2,7:49,Thunder Timeout: Regular (Reg.2 Short 0),42 - 48,6,,,,,,
136,SUB,2,7:49,SUB: Gilgeous-Alexander FOR Jal. Williams,42 - 48,6,Jalen Williams,OKC,Shai Gilgeous-Alexander,OKC,,
137,SUB,2,7:49,SUB: Jay. Williams FOR Pokusevski,42 - 48,6,Aleksej Pokusevski,OKC,Jaylin Williams,OKC,,
138,SUB,2,7:49,SUB: Waters III FOR Giddey,42 - 48,6,Josh Giddey,OKC,Lindy Waters III,OKC,,
139,SUB,2,7:49,SUB: Joe FOR Dieng,42 - 48,6,Ousmane Dieng,OKC,Isaiah Joe,OKC,,
140,3POINTMISS,2,7:33,MISS Waters III 25' 3PT Jump Shot,42 - 48,6,Lindy Waters III,OKC,,,,
141,REBOUND,2,7:29,McConnell REBOUND (Off:0 Def:2),42 - 48,6,T.J. McConnell,IND,,,,
142,FOUL,2,7:14,Wiggins S.FOUL (P1.T2) (D.Mosher),42 - 48,6,Aaron Wiggins,OKC,Oshae Brissett,IND,,
143,FTMAKE,2,7:14,Brissett Free Throw 1 of 2 (3 PTS),42 - 49,7,Oshae Brissett,IND,,,,
144,SUB,2,7:14,SUB: Mathurin FOR Nembhard,42 - 49,7,Andrew Nembhard,IND,Bennedict Mathurin,IND,,
145,SUB,2,7:14,SUB: Dort FOR Wiggins,42 - 49,7,Aaron Wiggins,OKC,Luguentz Dort,OKC,,
146,FTMISS,2,7:14,MISS Brissett Free Throw 2 of 2,42 - 49,7,Oshae Brissett,IND,,,,
147,REBOUND,2,7:11,Nesmith REBOUND (Off:2 Def:2),42 - 49,7,Aaron Nesmith,IND,,,,
148,3POINTMISS,2,7:09,MISS Smith 3PT Jump Shot,42 - 49,7,Jalen Smith,IND,,,,
149,REBOUND,2,7:06,PACERS Rebound,42 - 49,7,,,,,,
