,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:10 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Turner vs. Pokusevski: Tip to Gilgeous-Alexander,0,0,Myles Turner,IND,Aleksej Pokusevski,OKC,Shai Gilgeous-Alexander,OKC
2,2POINT.ASSIST,1,11:45,Giddey 2' Cutting Layup Shot (2 PTS) (Gilgeous-Alexander 1 AST),2 - 0,-2,Josh Giddey,OKC,Shai Gilgeous-Alexander,OKC,,
3,2POINT,1,11:30,Haliburton 18' Pullup Jump Shot (2 PTS),2 - 2,TIE,Tyrese Haliburton,IND,,,,
4,TURNOVER,1,11:15,Giddey Bad Pass Turnover (P1.T1),2 - 2,TIE,Josh Giddey,OKC,,,,
5,STEAL,1,11:13,Hield STEAL (1 STL),2 - 2,TIE,Buddy Hield,IND,,,,
6,3POINT,1,11:10,Hield 26' 3PT Jump Shot (3 PTS),2 - 5,3,Buddy Hield,IND,,,,
7,2POINT,1,10:55,Gilgeous-Alexander 8' Driving Floating Jump Shot (2 PTS),4 - 5,1,Shai Gilgeous-Alexander,OKC,,,,
8,2POINTMISS,1,10:40,MISS Haliburton 5' Driving Floating Jump Shot,4 - 5,1,Tyrese Haliburton,IND,,,,
9,REBOUND,1,10:38,Pokusevski REBOUND (Off:0 Def:1),4 - 5,1,Aleksej Pokusevski,OKC,,,,
10,3POINT.ASSIST,1,10:30,Dort 25' 3PT Jump Shot (3 PTS) (Giddey 1 AST),7 - 5,-2,Luguentz Dort,OKC,Josh Giddey,OKC,,
11,2POINT,1,10:15,Turner 14' Turnaround Hook Shot (2 PTS),7 - 7,TIE,Myles Turner,IND,,,,
12,TURNOVER,1,10:00,Gilgeous-Alexander Lost Ball Turnover (P1.T2),7 - 7,TIE,Shai Gilgeous-Alexander,OKC,,,,
13,STEAL,1,9:58,Nembhard STEAL (1 STL),7 - 7,TIE,Andrew Nembhard,IND,,,,
14,2POINT,1,9:55,Nembhard 1' Running Layup (2 PTS),7 - 9,2,Andrew Nembhard,IND,,,,
15,TIMEOUT,1,9:55,Thunder Timeout: Regular (Reg.1 Short 0),7 - 9,2,,,,,,
16,2POINT,1,9:40,Pokusevski 2' Cutting Dunk Shot (2 PTS),9 - 9,TIE,Aleksej Pokusevski,OKC,,,,
17,3POINTMISS,1,9:25,MISS Hield 27' 3PT Jump Shot,9 - 9,TIE,Buddy Hield,IND,,,,
18,REBOUND,1,9:23,Pokusevski REBOUND (Off:0 Def:2),9 - 9,TIE,Aleksej Pokusevski,OKC,,,,
19,2POINT,1,9:15,Gilgeous-Alexander 6' Driving Floating Bank Jump Shot (4 PTS),11 - 9,-2,Shai Gilgeous-Alexander,OKC,,,,
20,2POINTMISS,1,9:00,MISS Haliburton 19' Step Back Jump Shot,11 - 9,-2,Tyrese Haliburton,IND,,,,
21,REBOUND,1,8:58,Pokusevski REBOUND (Off:0 Def:3),11 - 9,-2,Aleksej Pokusevski,OKC,,,,
22,2POINT.ASSIST,1,8:50,Giddey 2' Cutting Layup Shot (4 PTS) (Gilgeous-Alexander 2 AST),13 - 9,-4,Josh Giddey,OKC,Shai Gilgeous-Alexander,OKC,,
23,FOUL,1,8:35,Pokusevski S.FOUL (P1.T1) (M.Davis),13 - 9,-4,Aleksej Pokusevski,OKC,Myles Turner,IND,,
24,FTMAKE,1,8:35,Turner Free Throw 1 of 2 (3 PTS),13 - 10,-3,Myles Turner,IND,,,,
25,FTMAKE,1,8:35,Turner Free Throw 2 of 2 (4 PTS),13 - 11,-2,Myles Turner,IND,,,,
26,2POINT,1,8:20,Gilgeous-Alexander 12' Pullup Jump Shot (6 PTS),15 - 11,-4,Shai Gilgeous-Alexander,OKC,,,,
27,3POINT,1,8:05,Hield 25' 3PT Jump Shot (6 PTS),15 - 14,-1,Buddy Hield,IND,,,,
28,2POINTMISS,1,7:50,MISS Giddey 6' Driving Floating Jump Shot,15 - 14,-1,Josh Giddey,OKC,,,,
29,REBOUND,1,7:48,Turner REBOUND (Off:0 Def:1),15 - 14,-1,Myles Turner,IND,,,,
30,2POINT,1,7:40,Haliburton 1' Driving Layup (4 PTS),15 - 16,1,Tyrese Haliburton,IND,,,,
31,FOUL,1,7:40,Nembhard S.FOUL (P1.T1) (M.Davis),15 - 16,1,Andrew Nembhard,IND,Shai Gilgeous-Alexander,OKC,,
32,FTMAKE,1,7:40,Gilgeous-Alexander Free Throw 1 of 1 (7 PTS),16 - 16,TIE,Shai Gilgeous-Alexander,OKC,,,,
33,FOUL,1,7:25,Pokusevski P.FOUL (P2.T2) (J.Tiven),16 - 16,TIE,Aleksej Pokusevski,OKC,Myles Turner,IND,,
34,SUB,1,7:25,SUB: Jal. Williams FOR Pokusevski,16 - 16,TIE,Aleksej Pokusevski,OKC,Jalen Williams,OKC,,
35,FTMAKE,1,7:25,Turner Free Throw 1 of 2 (5 PTS),16 - 17,1,Myles Turner,IND,,,,
36,FTMAKE,1,7:25,Turner Free Throw 2 of 2 (6 PTS),16 - 18,2,Myles Turner,IND,,,,
37,2POINT,1,7:10,Gilgeous-Alexander 5' Driving Floating Jump Shot (9 PTS),18 - 18,TIE,Shai Gilgeous-Alexander,OKC,,,,
38,2POINTMISS,1,6:55,MISS Haliburton 17' Step Back Jump Shot,18 - 18,TIE,Tyrese Haliburton,IND,,,,
39,REBOUND,1,6:53,Jal. Williams REBOUND (Off:0 Def:1),18 - 18,TIE,Jalen Williams,OKC,,,,
40,2POINT.ASSIST,1,6:45,Dort 2' Cutting Layup Shot (5 PTS) (Giddey 2 AST),20 - 18,-2,Luguentz Dort,OKC,Josh Giddey,OKC,,
41,FOUL,1,6:30,Jal. Williams S.FOUL (P1.T3) (J.Tiven),20 - 18,-2,Jalen Williams,OKC,Buddy Hield,IND,,
42,FTMAKE,1,6:30,Hield Free Throw 1 of 2 (7 PTS),20 - 19,-1,Buddy Hield,IND,,,,
43,SUB,1,6:30,SUB: Mathurin FOR Hield,20 - 19,-1,Buddy Hield,IND,Bennedict Mathurin,IND,,
