,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:11 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Robinson-Earl vs. Turner: Tip to Gilgeous-Alexander,0,0,Jeremiah Robinson-Earl,OKC,Myles Turner,IND,Shai Gilgeous-Alexander,OKC
2,2POINT,1,11:45,Gilgeous-Alexander 18' Jump Shot (2 PTS),2 - 0,2,Shai Gilgeous-Alexander,OKC,,,,
3,2POINTMISS,1,11:28,MISS Haliburton 15' Pullup Jump Shot,2 - 0,2,Tyrese Haliburton,IND,,,,
4,REBOUND,1,11:26,Dort REBOUND (Def:1),2 - 0,2,Luguentz Dort,OKC,,,,
5,2POINT,1,11:10,Dort 10' Driving Layup (2 PTS),4 - 0,4,Luguentz Dort,OKC,,,,
6,TURNOVER,1,10:55,Smith Lost Ball Turnover (P1.T1),4 - 0,4,Jalen Smith,IND,,,,
7,STEAL,1,10:53,Gilgeous-Alexander STEAL (1 STL),4 - 0,4,Shai Gilgeous-Alexander,OKC,,,,
8,2POINTMISS.BLOCK,1,10:39,MISS Giddey 5' Layup Turner BLOCK (1 BLK),4 - 0,4,Josh Giddey,OKC,,,Myles Turner,IND
9,REBOUND,1,10:37,Turner REBOUND (Def:1),4 - 0,4,Myles Turner,IND,,,,
10,3POINT,1,10:22,Hield 3PT Jump Shot (3 PTS),4 - 3,1,Buddy Hield,IND,,,,
11,FOUL,1,10:05,Robinson-Earl Personal Foul (P1),4 - 3,1,Jeremiah Robinson-Earl,OKC,Tyrese Haliburton,IND,,
12,2POINT,1,9:59,Haliburton Layup (2 PTS),5 - 4,-1,Tyrese Haliburton,IND,,,,
13,SUB,1,8:00,SUB: Mann FOR Dort,5 - 4,-1,Luguentz Dort,OKC,Tre Mann,OKC,,
14,SUB,1,8:00,SUB: Bitadze FOR Smith,5 - 4,-1,Jalen Smith,IND,Goga Bitadze,IND,,
15,3POINTMISS,1,7:45,MISS Gilgeous-Alexander 25' 3PT Pullup Jump Shot,5 - 4,-1,Shai Gilgeous-Alexander,OKC,,,,
16,REBOUND,1,7:43,Bitadze REBOUND (Def:1),5 - 4,-1,Goga Bitadze,IND,,,,
17,2POINT.ASSIST,1,7:30,Turner 8' Hook Shot (4 PTS) (Haliburton 1 AST),6 - 5,-1,Myles Turner,IND,Tyrese Haliburton,IND,,
18,FOUL,1,7:15,Pokuševski Personal Foul (P1),6 - 5,-1,Aleksej Pokuševski,OKC,Myles Turner,IND,,
19,FTMAKE,1,7:15,Turner Free Throw 1 of 1 (5 PTS),7 - 5,-2,Myles Turner,IND,,,,
20,2POINTMISS,1,6:59,MISS Giddey Layup,7 - 5,-2,Josh Giddey,OKC,,,,
21,REBOUND,1,6:57,Haliburton REBOUND (Def:1),7 - 5,-2,Tyrese Haliburton,IND,,,,
22,STEAL.TURNOVER,1,6:42,Gilgeous-Alexander STEAL (2 STL) Duarte Lost Ball Turnover (P1.T2),7 - 5,-2,Chris Duarte,IND,Shai Gilgeous-Alexander,OKC,,
23,2POINT,1,6:35,Gilgeous-Alexander Driving Layup (6 PTS),7 - 7,TIE,Shai Gilgeous-Alexander,OKC,,,,
24,TURNOVER,1,6:15,Hield Lost Ball Turnover (P1.T3),7 - 7,TIE,Buddy Hield,IND,,,,
25,STEAL,1,6:14,Mann STEAL (1 STL),7 - 7,TIE,Tre Mann,OKC,,,,
26,3POINT,1,6:00,Mann 3PT Jump Shot (3 PTS),10 - 7,3,Tre Mann,OKC,,,,
27,FOUL,1,5:45,Turner Personal Foul (P1),10 - 7,3,Myles Turner,IND,Tre Mann,OKC,,
28,FTMAKE,1,5:45,Mann Free Throw 1 of 1 (4 PTS),11 - 7,4,Tre Mann,OKC,,,,
29,SUB,1,5:30,SUB: McConnell FOR Haliburton,11 - 7,4,Tyrese Haliburton,IND,T.J. McConnell,IND,,
30,2POINT,1,5:15,McConnell Layup (2 PTS),11 - 9,2,T.J. McConnell,IND,,,,
31,3POINTMISS,1,5:00,MISS Mann 26' 3PT Pullup Jump Shot,11 - 9,2,Tre Mann,OKC,,,,
32,REBOUND,1,4:58,Turner REBOUND (Def:2),11 - 9,2,Myles Turner,IND,,,,
33,2POINT,1,4:45,Bitadze Layup (2 PTS),11 - 11,TIE,Goga Bitadze,IND,,,,
34,SUB,1,4:30,SUB: Muscala FOR Pokuševski,11 - 11,TIE,Aleksej Pokuševski,OKC,Mike Muscala,OKC,,
35,2POINT.ASSIST,1,4:15,Giddey Layup (2 PTS) (Gilgeous-Alexander 1 AST),13 - 11,2,Josh Giddey,OKC,Shai Gilgeous-Alexander,OKC,,
36,TURNOVER,1,4:00,Duarte Offensive Foul Turnover (P2.T4),13 - 11,2,Chris Duarte,IND,,,,
37,SUB,1,3:45,SUB: Brissett FOR Duarte,13 - 11,2,Chris Duarte,IND,Oshae Brissett,IND,,
38,2POINT,1,3:30,Robinson-Earl Layup (2 PTS),15 - 11,4,Jeremiah Robinson-Earl,OKC,,,,
39,FOUL,1,3:15,Mann Personal Foul (P1),15 - 11,4,Tre Mann,OKC,Oshae Brissett,IND,,
40,FTMISS,1,3:15,MISS Brissett Free Throw 1 of 1,15 - 11,4,Oshae Brissett,IND,,,,
41,REBOUND,1,3:13,Robinson-Earl REBOUND (Def:2),15 - 11,4,Jeremiah Robinson-Earl,OKC,,,,
42,3POINT,1,3:00,Gilgeous-Alexander 3PT Jump Shot (9 PTS),18 - 11,7,Shai Gilgeous-Alexander,OKC,,,,
43,2POINT,1,2:45,Hield 18' Jump Shot (5 PTS),18 - 13,5,Buddy Hield,IND,,,,
44,TURNOVER,1,2:30,Gilgeous-Alexander Bad Pass Turnover (P1.T1),18 - 13,5,Shai Gilgeous-Alexander,OKC,,,,
45,STEAL,1,2:29,McConnell STEAL (1 STL),18 - 13,5,T.J. McConnell,IND,,,,
46,2POINT,1,2:15,McConnell Layup (4 PTS),18 - 15,3,T.J. McConnell,IND,,,,
47,2POINTMISS,1,2:00,MISS Robinson-Earl 10' Jump Shot,18 - 15,3,Jeremiah Robinson-Earl,OKC,,,,
48,REBOUND,1,1:58,Bitadze REBOUND (Def:3),18 - 15,3,Goga Bitadze,IND,,,,
49,3POINTMISS,1,1:45,MISS McConnell 26' 3PT Pullup Jump Shot,18 - 15,3,T.J. McConnell,IND,,,,
50,REBOUND,1,1:43,Gilgeous-Alexander REBOUND (Def:2),18 - 15,3,Shai Gilgeous-Alexander,OKC,,,,
51,2POINT,1,1:30,Giddey 12' Floater (4 PTS),20 - 15,5,Josh Giddey,OKC,,,,
52,TURNOVER,1,1:15,Hield Lost Ball Turnover (P2.T5),20 - 15,5,Buddy Hield,IND,,,,
53,STEAL,1,1:14,Muscala STEAL (1 STL),20 - 15,5,Mike Muscala,OKC,,,,
54,3POINT,1,1:00,Mann 3PT Jump Shot (7 PTS),23 - 15,8,Tre Mann,OKC,,,,
55,FOUL,1,0:45,Giddey Personal Foul (P1),23 - 15,8,Josh Giddey,OKC,T.J. McConnell,IND,,
56,FTMAKE,1,0:45,McConnell Free Throw 1 of 1 (5 PTS),23 - 16,7,T.J. McConnell,IND,,,,
57,SUB,1,0:30,SUB: Williams FOR Mann,23 - 16,7,Tre Mann,OKC,Kenrich Williams,OKC,,
58,2POINT,1,0:15,Turner Hook Shot (7 PTS),23 - 18,5,Myles Turner,IND,,,,
59,SUB,1,0:10,SUB: Hield FOR Duarte,23 - 18,5,Buddy Hield,IND,Chris Duarte,IND,,
