,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (7:05 PM EST),0 - 0,TIE,,,,,
1,JUMPBALL,1,12:00,Jump Ball Giddey vs. Turner: Tip to Hield,0 - 0,TIE,Josh Giddey,OKC,Myles Turner,IND,,
2,3POINT.ASSIST,1,11:48,Hield 26' 3PT Jump Shot (3 PTS) (Haliburton 1 AST),3 - 0,-3,Buddy Hield,IND,Tyrese Haliburton,IND,,
3,2POINT,1,11:29,Giddey 8' Driving Floating Jump Shot (2 PTS),3 - 2,-1,Josh Giddey,OKC,,,,
4,STEAL.TURNOVER,1,11:18,Dort STEAL (1 STL)Haliburton Lost Ball Turnover (P1.T1),3 - 2,-1,Tyrese Haliburton,IND,Lu Dort,OKC,,
5,2POINT,1,11:14,Giddey 3' Driving Layup (4 PTS),5 - 2,-3,Josh Giddey,OKC,,,,
6,FOUL,1,10:58,Haliburton P.FOUL (P1.T1) (J.Goble),5 - 2,-3,Tyrese Haliburton,IND,Josh Giddey,OKC,,
7,3POINT.ASSIST,1,10:48,Beasley 26' 3PT Jump Shot (3 PTS) (Giddey 1 AST),8 - 2,-6,Malik Beasley,OKC,Josh Giddey,OKC,,
8,FOUL,1,10:31,Turner P.FOUL (P1.T1) (J.Goble),8 - 2,-6,Myles Turner,IND,Josh Giddey,OKC,,
9,2POINTMISS,1,10:20,MISS Giddey 6' Driving Layup,8 - 2,-6,Josh Giddey,OKC,,,,
10,REBOUND,1,10:17,Hield REBOUND (Off:0 Def:1),8 - 2,-6,Buddy Hield,IND,,,,
11,2POINT,1,10:11,Hield 3' Driving Layup (5 PTS),8 - 4,-4,Buddy Hield,IND,,,,
12,STEAL.TURNOVER,1,9:58,Dort STEAL (2 STL)Hield Lost Ball Turnover (P1.T2),8 - 4,-4,Buddy Hield,IND,Lu Dort,OKC,,
13,2POINT,1,9:52,Williams 2' Driving Layup (2 PTS),10 - 4,-6,Jaylin Williams,OKC,,,,
