,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (10:11 PM EST),0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Holmgren vs. Looney: Tip to Curry,0,0,Chet Holmgren,OKC,Kevon Looney,GSW,Stephen Curry,GSW
2,3POINT.ASSIST,1,11:48,Curry 26' 3PT Jump Shot (3 PTS) (Thompson 1 AST),0 - 3,-3,Stephen Curry,GSW,Klay Thompson,GSW,,
3,FOUL,1,11:34,Gilgeous-Alexander S.FOUL (P1.T1) (M.Bennett),0 - 3,-3,Shai Gilgeous-Alexander,OKC,Stephen Curry,GSW,,
4,FTMAKE,1,11:34,Curry Free Throw 1 of 2 (4 PTS),0 - 4,-4,Stephen Curry,GSW,,,,
5,FTMISS,1,11:34,MISS Curry Free Throw 2 of 2,0 - 4,-4,Stephen Curry,GSW,,,,
6,REBOUND,1,11:31,Looney REBOUND (Off:0 Def:1),0 - 4,-4,Kevon Looney,GSW,,,,
7,2POINT,1,11:23,Gilgeous-Alexander 1' Driving Layup (2 PTS),2 - 4,-2,Shai Gilgeous-Alexander,OKC,,,,
8,3POINTMISS,1,11:11,MISS Wiggins 25' 3PT Jump Shot,2 - 4,-2,Andrew Wiggins,GSW,,,,
9,REBOUND,1,11:06,Holmgren REBOUND (Off:0 Def:1),2 - 4,-2,Chet Holmgren,OKC,,,,
10,2POINT,1,10:56,Holmgren 5' Driving Hook Shot (4 PTS),4 - 4,TIE,Chet Holmgren,OKC,,,,
11,FOUL,1,10:48,Dort S.FOUL (P1.T1) (E.Adams),4 - 4,TIE,Luguentz Dort,OKC,Stephen Curry,GSW,,
12,FTMAKE,1,10:48,Curry Free Throw 1 of 2 (5 PTS),4 - 5,-1,Stephen Curry,GSW,,,,
13,FTMAKE,1,10:48,Curry Free Throw 2 of 2 (6 PTS),4 - 6,-2,Stephen Curry,GSW,,,,
14,2POINTMISS,1,10:33,MISS Wiggins 10' Driving Layup,4 - 6,-2,Andrew Wiggins,GSW,,,,
15,REBOUND,1,10:28,Looney REBOUND (Off:0 Def:2),4 - 6,-2,Kevon Looney,GSW,,,,
