id,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (8:00 PM EST),0-0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Wiseman vs. Holmgren: Tip to Curry,0-0,0,James Wiseman,GSW,Chet Holmgren,OKC,Stephen Curry,GSW
2,2POINT,1,11:45,Curry 18' Jump Shot (2 PTS),2-0,2,Stephen Curry,GSW,,,,,
3,2POINT,1,11:30,Gilgeous-Alexander 12' Driving Layup (2 PTS),2-2,0,Shai Gilgeous-Alexander,OKC,,,,,
4,3POINT,1,11:10,Thompson 23' 3PT Jump Shot (3 PTS),5-2,3,Klay Thompson,GSW,,,,,
5,REBOUND,1,10:50,Defensive Rebound by Green,5-2,3,Draymond Green,GSW,,,,,
6,2POINTMISS,1,10:35,MISS Wiggins 15' Jump Shot,5-2,3,Andrew Wiggins,GSW,,,,,
7,REBOUND,1,10:33,Offensive Rebound by Williams,5-2,3,Jaylin Williams,OKC,,,,,
8,2POINT,1,10:31,Williams 2' Putback Layup (2 PTS),5-4,1,Jaylin Williams,OKC,,,,,
9,FOUL,1,10:15,Foul on Green (P1.T1),5-4,1,Draymond Green,GSW,,,,,
10,FTMAKE,1,10:15,Gilgeous-Alexander Free Throw 1 of 1 (3 PTS),5-5,TIE,Shai Gilgeous-Alexander,OKC,,,,,
11,STEAL,1,10:00,Steal by Giddey,5-5,TIE,Josh Giddey,OKC,,,,,
12,2POINT,1,9:50,Giddey 8' Layup (2 PTS),5-7,-2,Josh Giddey,OKC,,,,,
13,3POINTMISS,1,9:30,MISS Curry 26' 3PT Pull-Up Jump Shot,5-7,-2,Stephen Curry,GSW,,,,,
14,REBOUND,1,9:28,Defensive Rebound by Dort,5-7,-2,Luguentz Dort,OKC,,,,,
15,2POINT,1,9:10,Dort 5' Floating Jump Shot (2 PTS),5-9,-4,Luguentz Dort,OKC,,,,,
16,TIMEOUT,1,9:00,Warriors Timeout: Regular,5-9,-4,,,,,,
17,SUB,1,9:00,SUB: Poole IN, Wiggins OUT,5-9,-4,Andrew Wiggins,GSW,Jordan Poole,GSW,,,
18,3POINT,1,8:45,Poole 24' 3PT Jump Shot (3 PTS),8-9,-1,Jordan Poole,GSW,,,,,
19,TURNOVER,1,8:25,Turnover by Holmgren (Bad Pass),8-9,-1,Chet Holmgren,OKC,,,,,
20,STEAL,1,8:23,Steal by Green,8-9,-1,Draymond Green,GSW,,,,,
21,2POINT,1,8:10,Green 1' Dunk (2 PTS),10-9,1,Draymond Green,GSW,,,,,
22,FOUL,1,7:50,Foul on Wiseman (P1.T2),10-9,1,James Wiseman,GSW,,,,,
23,FTMISS,1,7:50,MISS Holmgren Free Throw 1 of 2,10-9,1,Chet Holmgren,OKC,,,,,
24,FTMAKE,1,7:50,Holmgren Free Throw 2 of 2 (3 PTS),10-10,TIE,Chet Holmgren,OKC,,,,,
25,3POINT,1,7:30,Thompson 27' 3PT Jump Shot (6 PTS),13-10,3,Klay Thompson,GSW,,,,,
26,2POINTMISS,1,7:10,MISS Gilgeous-Alexander 16' Jump Shot,13-10,3,Shai Gilgeous-Alexander,OKC,,,,,
27,REBOUND,1,7:08,Defensive Rebound by Curry,13-10,3,Stephen Curry,GSW,,,,,
28,3POINTMISS,1,6:50,MISS Curry 28' 3PT Jump Shot,13-10,3,Stephen Curry,GSW,,,,,
29,REBOUND,1,6:48,Offensive Rebound by Green,13-10,3,Draymond Green,GSW,,,,,
30,2POINT,1,6:46,Green 2' Putback Layup (4 PTS),15-10,5,Draymond Green,GSW,,,,,
31,ENDOFPERIOD,1,0:00,End of 1st Period,15-10,5,,,,,,

32,2POINT,1,6:30,Dort 7' Jump Shot (4 PTS),15-12,3,Luguentz Dort,OKC,,,,,
33,2POINTMISS,1,6:15,MISS Poole 15' Jump Shot,15-12,3,Jordan Poole,GSW,,,,,
34,REBOUND,1,6:13,Defensive Rebound by Giddey,15-12,3,Josh Giddey,OKC,,,,,
35,3POINT,1,6:00,Giddey 23' 3PT Jump Shot (5 PTS),15-15,TIE,Josh Giddey,OKC,,,,,
36,TURNOVER,1,5:45,Turnover by Green (Lost Ball),15-15,TIE,Draymond Green,GSW,,,,,
37,STEAL,1,5:43,Steal by Williams,15-15,TIE,Jaylin Williams,OKC,,,,,
38,2POINT,1,5:30,Williams 5' Layup (4 PTS),15-17,-2,Jaylin Williams,OKC,,,,,
39,FOUL,1,5:15,Foul on Dort (P1.T2),15-17,-2,Luguentz Dort,OKC,,,,,
40,FTMAKE,1,5:15,Curry Free Throw 1 of 1 (3 PTS),16-17,-1,Stephen Curry,GSW,,,,,
41,3POINT,1,5:00,Curry 25' 3PT Jump Shot (6 PTS),19-17,2,Stephen Curry,GSW,,,,,
42,2POINTMISS,1,4:45,MISS Holmgren 8' Hook Shot,19-17,2,Chet Holmgren,OKC,,,,,
43,REBOUND,1,4:43,Defensive Rebound by Wiseman,19-17,2,James Wiseman,GSW,,,,,
44,3POINT,1,4:30,Thompson 24' 3PT Jump Shot (9 PTS),22-17,5,Klay Thompson,GSW,,,,,
45,TIMEOUT,1,4:20,Thunder Timeout: Regular,22-17,5,,,,,,
46,SUB,1,4:20,SUB: Mann IN, Giddey OUT,22-17,5,Josh Giddey,OKC,Tre Mann,OKC,,,
47,2POINT,1,4:10,Mann 6' Pullup Jump Shot (2 PTS),22-19,3,Tre Mann,OKC,,,,,
48,2POINTMISS,1,3:50,MISS Green 11' Floating Jump Shot,22-19,3,Draymond Green,GSW,,,,,
49,REBOUND,1,3:48,Defensive Rebound by Dort,22-19,3,Luguentz Dort,OKC,,,,,
50,3POINT,1,3:30,Dort 22' 3PT Jump Shot (7 PTS),22-22,TIE,Luguentz Dort,OKC,,,,,
51,FOUL,1,3:15,Foul on Wiseman (P2.T3),22-22,TIE,James Wiseman,GSW,,,,,
52,FTMISS,1,3:15,MISS Holmgren Free Throw 1 of 2,22-22,TIE,Chet Holmgren,OKC,,,,,
53,FTMAKE,1,3:15,Holmgren Free Throw 2 of 2 (4 PTS),22-23,-1,Chet Holmgren,OKC,,,,,
54,2POINT,1,3:00,Poole 12' Driving Layup (5 PTS),24-23,1,Jordan Poole,GSW,,,,,
55,TURNOVER,1,2:45,Turnover by Williams (Bad Pass),24-23,1,Jaylin Williams,OKC,,,,,
56,STEAL,1,2:43,Steal by Curry,24-23,1,Stephen Curry,GSW,,,,,
57,3POINT,1,2:30,Curry 27' 3PT Pull-Up Jump Shot (9 PTS),27-23,4,Stephen Curry,GSW,,,,,
58,2POINTMISS,1,2:15,MISS Mann 18' Jump Shot,27-23,4,Tre Mann,OKC,,,,,
59,REBOUND,1,2:13,Defensive Rebound by Thompson,27-23,4,Klay Thompson,GSW,,,,,
60,2POINT,1,2:00,Thompson 10' Fadeaway Jumper (11 PTS),29-23,6,Klay Thompson,GSW,,,,,
61,3POINT,1,1:45,Mann 24' 3PT Jump Shot (5 PTS),29-26,3,Tre Mann,OKC,,,,,
62,2POINTMISS,1,1:30,MISS Curry 16' Pullup Jump Shot,29-26,3,Stephen Curry,GSW,,,,,
63,REBOUND,1,1:28,Defensive Rebound by Holmgren,29-26,3,Chet Holmgren,OKC,,,,,
64,3POINT,1,1:10,Gilgeous-Alexander 25' 3PT Jump Shot (6 PTS),29-29,TIE,Shai Gilgeous-Alexander,OKC,,,,,
65,FOUL,1,0:55,Foul on Holmgren (P1.T3),29-29,TIE,Chet Holmgren,OKC,,,,,
66,FTMAKE,1,0:55,Wiseman Free Throw 1 of 2 (3 PTS),30-29,1,James Wiseman,GSW,,,,,
67,FTMISS,1,0:55,MISS Wiseman Free Throw 2 of 2,30-29,1,James Wiseman,GSW,,,,,
68,REBOUND,1,0:53,Offensive Rebound by Green,30-29,1,Draymond Green,GSW,,,,,
69,2POINT,1,0:50,Green 2' Putback Dunk (6 PTS),32-29,3,Draymond Green,GSW,,,,,
70,2POINT,1,0:30,Gilgeous-Alexander 15' Pullup Jump Shot (8 PTS),32-31,1,Shai Gilgeous-Alexander,OKC,,,,,
71,2POINTMISS,1,0:15,MISS Poole 19' Jump Shot,32-31,1,Jordan Poole,GSW,,,,,
72,REBOUND,1,0:13,Defensive Rebound by Williams,32-31,1,Jaylin Williams,OKC,,,,,
73,2POINT,1,0:01,Williams 8' Buzzer Beater Layup (6 PTS),32-33,-1,Jaylin Williams,OKC,,,,,
74,ENDOFPERIOD,1,0:00,End of 1st Period,32-33,-1,,,,,,

id,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
75,STARTOFPERIOD,2,12:00,Start of 2nd Period,32-33,-1,,,,,,
76,SUB,2,12:00,SUB: Lee IN, Curry OUT,32-33,-1,Stephen Curry,GSW,Damion Lee,GSW,,,
77,2POINT,2,11:45,Lee 8' Jump Shot (2 PTS),34-33,1,Damion Lee,GSW,,,,,
78,3POINTMISS,2,11:30,MISS Giddey 24' 3PT Jump Shot,34-33,1,Josh Giddey,OKC,,,,,
79,REBOUND,2,11:28,Defensive Rebound by Green,34-33,1,Draymond Green,GSW,,,,,
80,2POINT,2,11:10,Green 6' Driving Layup (8 PTS),36-33,3,Draymond Green,GSW,,,,,
81,FOUL,2,11:00,Foul on Dort (P2.T1),36-33,3,Luguentz Dort,OKC,,,,,
82,FTMISS,2,11:00,MISS Wiseman Free Throw 1 of 2,36-33,3,James Wiseman,GSW,,,,,
83,FTMAKE,2,11:00,Wiseman Free Throw 2 of 2 (4 PTS),37-33,4,James Wiseman,GSW,,,,,
84,2POINT,2,10:45,Mann 10' Fadeaway Jumper (7 PTS),37-35,2,Tre Mann,OKC,,,,,
85,3POINT,2,10:30,Thompson 26' 3PT Jump Shot (14 PTS),40-35,5,Klay Thompson,GSW,,,,,
86,TURNOVER,2,10:15,Turnover by Mann (Lost Ball),40-35,5,Tre Mann,OKC,,,,,
87,STEAL,2,10:13,Steal by Poole,40-35,5,Jordan Poole,GSW,,,,,
88,2POINT,2,10:00,Poole 5' Layup (7 PTS),42-35,7,Jordan Poole,GSW,,,,,
89,FOUL,2,9:50,Foul on Lee (P1.T2),42-35,7,Damion Lee,GSW,,,,,
90,FTMAKE,2,9:50,Gilgeous-Alexander Free Throw 1 of 1 (9 PTS),42-36,6,Shai Gilgeous-Alexander,OKC,,,,,
91,3POINTMISS,2,9:30,MISS Dort 23' 3PT Jump Shot,42-36,6,Luguentz Dort,OKC,,,,,
92,REBOUND,2,9:28,Defensive Rebound by Wiseman,42-36,6,James Wiseman,GSW,,,,,
93,2POINT,2,9:10,Wiseman 12' Hook Shot (6 PTS),44-36,8,James Wiseman,GSW,,,,,
94,TURNOVER,2,8:55,Turnover by Giddey (Bad Pass),44-36,8,Josh Giddey,OKC,,,,,
95,STEAL,2,8:53,Steal by Green,44-36,8,Draymond Green,GSW,,,,,
96,2POINT,2,8:40,Green Fast Break Layup (10 PTS),46-36,10,Draymond Green,GSW,,,,,
97,TIMEOUT,2,8:30,Thunder Timeout: Short,46-36,10,,,,,,
98,SUB,2,8:30,SUB: Holmgren IN, Williams OUT,46-36,10,Jaylin Williams,OKC,Chet Holmgren,OKC,,,
99,3POINT,2,8:15,Holmgren 22' 3PT Jump Shot (7 PTS),46-39,7,Chet Holmgren,OKC,,,,,
100,2POINTMISS,2,8:00,MISS Lee 18' Jump Shot,46-39,7,Damion Lee,GSW,,,,,
101,REBOUND,2,7:58,Defensive Rebound by Holmgren,46-39,7,Chet Holmgren,OKC,,,,,
102,2POINT,2,7:45,Dort 15' Pullup Jump Shot (9 PTS),46-41,5,Luguentz Dort,OKC,,,,,
103,FOUL,2,7:30,Foul on Green (P2.T3),46-41,5,Draymond Green,GSW,,,,,
104,FTMISS,2,7:30,MISS Dort Free Throw 1 of 1,46-41,5,Luguentz Dort,OKC,,,,,
105,REBOUND,2,7:28,Offensive Rebound by Mann,46-41,5,Tre Mann,OKC,,,,,
106,2POINT,2,7:25,Mann 2' Putback Layup (9 PTS),46-43,3,Tre Mann,OKC,,,,,
107,3POINT,2,7:10,Thompson 28' 3PT Pull-Up Jump Shot (17 PTS),49-43,6,Klay Thompson,GSW,,,,,
