,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,2POINT.ASSIST,1,11:54,Jal. Williams 2' Cutting Dunk Shot (2 PTS) (Gilgeous-Alexander 1 AST)Jal. Williams 2' Cutting Dunk Shot (2 PTS) (Gilgeous-Alexander 1 AST)Jal. Williams 2' Cutting Dunk Shot (2 PTS) (Gilgeous-Alexander 1 AST),2 - 0,-2,Jalen Williams,OKC,Shai Gilgeous-Alexander,OKC,,
1,FOUL,1,11:41,Dort S.FOUL (P1.T1) (T.Brothers)Dort S.FOUL (P1.T1) (T.Brothers)Dort S.FOUL (P1.T1) (T.Brothers),2 - 0,-2,Luguentz Dort,OKC,Luka Doncic,DAL,,
2,FTMAKE,1,11:41,Doncic Free Throw 1 of 2 (1 PTS)Doncic Free Throw 1 of 2 (1 PTS)Doncic Free Throw 1 of 2 (1 PTS),2 - 1,-1,Luka Doncic,DAL,,,,
3,FTMAKE,1,11:41,Doncic Free Throw 2 of 2 (2 PTS)Doncic Free Throw 2 of 2 (2 PTS)Doncic Free Throw 2 of 2 (2 PTS),2 - 2,TIE,Luka Doncic,DAL,,,,
4,STEAL.TURNOVER,1,11:17,Thunder Turnover: Shot Clock (T#1)Thunder Turnover: Shot Clock (T#1)Thunder Turnover: Shot Clock (T#1),2 - 2,TIE,,,,,,
5,STEAL.TURNOVER,1,11:01,Jones Jr. Lost Ball Turnover (P1.T1)Holmgren STEAL (1 STL)Jones Jr. Lost Ball Turnover (P1.T1)Holmgren STEAL (1 STL)Jones Jr. Lost Ball Turnover (P1.T1)Holmgren STEAL (1 STL),2 - 2,TIE,Derrick Jones Jr.,DAL,Chet Holmgren,OKC,,
6,2POINT.ASSIST,1,10:49,Dort 1' Layup (2 PTS) (Joe 1 AST)Dort 1' Layup (2 PTS) (Joe 1 AST)Dort 1' Layup (2 PTS) (Joe 1 AST),4 - 2,-2,Luguentz Dort,OKC,Isaiah Joe,OKC,,
7,FOUL,1,10:49,Washington S.FOUL (P1.T1) (T.Brothers)Washington S.FOUL (P1.T1) (T.Brothers)Washington S.FOUL (P1.T1) (T.Brothers),4 - 2,-2,P.J. Washington,DAL,Luguentz Dort,OKC,,
8,FTMAKE,1,10:49,Dort Free Throw 1 of 1 (3 PTS)Dort Free Throw 1 of 1 (3 PTS)Dort Free Throw 1 of 1 (3 PTS),5 - 2,-3,Luguentz Dort,OKC,,,,
9,2POINTMISS.BLOCK,1,10:34,MISS Gafford 1' Driving LayupMISS Gafford 1' Driving LayupMISS Gafford 1' Driving Layup,5 - 2,-3,Daniel Gafford,DAL,,,,
10,REBOUND,1,10:32,Gafford REBOUND (Off:1 Def:0)Gafford REBOUND (Off:1 Def:0)Gafford REBOUND (Off:1 Def:0),5 - 2,-3,Daniel Gafford,DAL,,,,
11,2POINT.ASSIST,1,10:32,Gafford 1' Putback Dunk (2 PTS)Gafford 1' Putback Dunk (2 PTS)Gafford 1' Putback Dunk (2 PTS),5 - 4,-1,Daniel Gafford,DAL,,,,
12,STEAL.TURNOVER,1,10:02,Doncic Bad Pass Turnover (P1.T2)Jal. Williams STEAL (1 STL)Doncic Bad Pass Turnover (P1.T2)Jal. Williams STEAL (1 STL)Doncic Bad Pass Turnover (P1.T2)Jal. Williams STEAL (1 STL),8 - 4,-4,Luka Doncic,DAL,Jalen Williams,OKC,,
13,2POINT.ASSIST,1,9:58,Jal. Williams 1' Running Dunk (4 PTS)Jal. Williams 1' Running Dunk (4 PTS)Jal. Williams 1' Running Dunk (4 PTS),10 - 4,-6,Jalen Williams,OKC,,,,
14,STEAL.TURNOVER,1,9:41,Doncic Lost Ball Turnover (P2.T3)Dort STEAL (1 STL)Doncic Lost Ball Turnover (P2.T3)Dort STEAL (1 STL)Doncic Lost Ball Turnover (P2.T3)Dort STEAL (1 STL),10 - 4,-6,Luka Doncic,DAL,Luguentz Dort,OKC,,
15,FOUL,1,9:38,Washington P.FOUL (P2.T2) (J.Tiven)Washington P.FOUL (P2.T2) (J.Tiven)Washington P.FOUL (P2.T2) (J.Tiven),10 - 4,-6,P.J. Washington,DAL,Shai Gilgeous-Alexander,OKC,,
16,FOUL,1,9:13,Holmgren S.FOUL (P1.T2) (M.Ervin)Holmgren S.FOUL (P1.T2) (M.Ervin)Holmgren S.FOUL (P1.T2) (M.Ervin),13 - 4,-9,Chet Holmgren,OKC,Derrick Jones Jr.,DAL,,
17,FTMAKE,1,9:13,Jones Jr. Free Throw 1 of 2 (1 PTS)Jones Jr. Free Throw 1 of 2 (1 PTS)Jones Jr. Free Throw 1 of 2 (1 PTS),13 - 5,-8,Derrick Jones Jr.,DAL,,,,
18,SUB,1,9:13,SUB: Green FOR WashingtonSUB: Green FOR WashingtonSUB: Green FOR Washington,13 - 5,-8,P.J. Washington,DAL,Josh Green,DAL,,
19,FTMAKE,1,9:13,Jones Jr. Free Throw 2 of 2 (2 PTS)Jones Jr. Free Throw 2 of 2 (2 PTS)Jones Jr. Free Throw 2 of 2 (2 PTS),13 - 6,-7,Derrick Jones Jr.,DAL,,,,
20,2POINTMISS.BLOCK,1,8:31,MISS Jones Jr. 7' Floating Jump ShotGilgeous-Alexander BLOCK (1 BLK)MISS Jones Jr. 7' Floating Jump ShotGilgeous-Alexander BLOCK (1 BLK)MISS Jones Jr. 7' Floating Jump ShotGilgeous-Alexander BLOCK (1 BLK),16 - 6,-10,Derrick Jones Jr.,DAL,,,Shai Gilgeous-Alexander,OKC
21,REBOUND,1,8:29,Gilgeous-Alexander REBOUND (Off:0 Def:1)Gilgeous-Alexander REBOUND (Off:0 Def:1)Gilgeous-Alexander REBOUND (Off:0 Def:1),16 - 6,-10,Shai Gilgeous-Alexander,OKC,,,,
22,3POINTMISS.BLOCK,1,8:15,MISS Holmgren 26' 3PT Jump ShotMISS Holmgren 26' 3PT Jump ShotMISS Holmgren 26' 3PT Jump Shot,16 - 6,-10,Chet Holmgren,OKC,,,,
23,REBOUND,1,8:13,Doncic REBOUND (Off:0 Def:1)Doncic REBOUND (Off:0 Def:1)Doncic REBOUND (Off:0 Def:1),16 - 6,-10,Luka Doncic,DAL,,,,
24,3POINT.ASSIST,1,8:06,Doncic 26' 3PT Step Back Jump Shot (5 PTS)Doncic 26' 3PT Step Back Jump Shot (5 PTS)Doncic 26' 3PT Step Back Jump Shot (5 PTS),16 - 9,-7,Luka Doncic,DAL,,,,
