,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,2POINT.ASSIST,1,11:45,Gilgeous-Alexander 2' Driving Layup (2 PTS)Gilgeous-Alexander 2' Driving Layup (2 PTS)Gilgeous-Alexander 2' Driving Layup (2 PTS),2 - 0,-2,Shai Gilgeous-Alexander,OKC,,,,
1,3POINT.ASSIST,1,11:27,Thompson 26' 3PT Jump Shot (3 PTS)Thompson 26' 3PT Jump Shot (3 PTS)Thompson 26' 3PT Jump Shot (3 PTS),2 - 3,1,Klay Thompson,GSW,,,,
2,FOUL,1,11:12,Wiggins P.FOUL (P1.T1)Wiggins P.FOUL (P1.T1)Wiggins P.FOUL (P1.T1),2 - 3,1,Andrew Wiggins,GSW,Josh Giddey,OKC,,
3,STEAL.TURNOVER,1,11:06,Gilgeous-Alexander Bad Pass Turnover (P1.T1)Gilgeous-Alexander Bad Pass Turnover (P1.T1)Gilgeous-Alexander Bad Pass Turnover (P1.T1),2 - 3,1,Shai Gilgeous-Alexander,OKC,,,,
4,STEAL.TURNOVER,1,11:05,Curry STEAL (1 STL)Curry STEAL (1 STL)Curry STEAL (1 STL),2 - 3,1,Stephen Curry,GSW,,,,
5,2POINT.ASSIST,1,11:01,Curry 2' Driving Finger Roll Layup (2 PTS)Curry 2' Driving Finger Roll Layup (2 PTS)Curry 2' Driving Finger Roll Layup (2 PTS),2 - 5,3,Stephen Curry,GSW,,,,
6,2POINT.ASSIST,1,10:43,Holmgren 13' Turnaround Fadeaway Bank Jump Shot (2 PTS)Holmgren 13' Turnaround Fadeaway Bank Jump Shot (2 PTS)Holmgren 13' Turnaround Fadeaway Bank Jump Shot (2 PTS),4 - 5,1,Chet Holmgren,OKC,,,,
7,3POINTMISS.BLOCK,1,10:24,MISS Thompson 27' 3PT Jump ShotMISS Thompson 27' 3PT Jump ShotMISS Thompson 27' 3PT Jump Shot,4 - 5,1,Klay Thompson,GSW,,,,
8,REBOUND,1,10:21,Dort REBOUND (Off:0 Def:1)Dort REBOUND (Off:0 Def:1)Dort REBOUND (Off:0 Def:1),4 - 5,1,Luguentz Dort,OKC,,,,
9,2POINT.ASSIST,1,10:14,Giddey 6' Driving Floating Bank Jump Shot (2 PTS)Giddey 6' Driving Floating Bank Jump Shot (2 PTS)Giddey 6' Driving Floating Bank Jump Shot (2 PTS),6 - 5,-1,Josh Giddey,OKC,,,,
10,3POINTMISS.BLOCK,1,9:57,MISS Green 25' 3PT Jump ShotMISS Green 25' 3PT Jump ShotMISS Green 25' 3PT Jump Shot,6 - 5,-1,Draymond Green,GSW,,,,
11,REBOUND,1,9:54,Giddey REBOUND (Off:0 Def:1)Giddey REBOUND (Off:0 Def:1)Giddey REBOUND (Off:0 Def:1),6 - 5,-1,Josh Giddey,OKC,,,,
12,3POINT.ASSIST,1,9:40,Dort 25' 3PT Jump Shot (3 PTS)Dort 25' 3PT Jump Shot (3 PTS)Dort 25' 3PT Jump Shot (3 PTS),9 - 5,-4,Luguentz Dort,OKC,,,,
13,STEAL.TURNOVER,1,9:24,Curry Bad Pass Turnover (P1.T1)Curry Bad Pass Turnover (P1.T1)Curry Bad Pass Turnover (P1.T1),9 - 5,-4,Stephen Curry,GSW,,,,
14,STEAL.TURNOVER,1,9:23,Dort STEAL (1 STL)Dort STEAL (1 STL)Dort STEAL (1 STL),9 - 5,-4,Luguentz Dort,OKC,,,,
15,FOUL,1,9:20,Green P.FOUL (P1.T2)Green P.FOUL (P1.T2)Green P.FOUL (P1.T2),9 - 5,-4,Draymond Green,GSW,Shai Gilgeous-Alexander,OKC,,
16,FTMAKE,1,9:20,Gilgeous-Alexander Free Throw 1 of 2 (3 PTS)Gilgeous-Alexander Free Throw 1 of 2 (3 PTS)Gilgeous-Alexander Free Throw 1 of 2 (3 PTS),10 - 5,-5,Shai Gilgeous-Alexander,OKC,,,,
17,FTMAKE,1,9:20,Gilgeous-Alexander Free Throw 2 of 2 (4 PTS)Gilgeous-Alexander Free Throw 2 of 2 (4 PTS)Gilgeous-Alexander Free Throw 2 of 2 (4 PTS),11 - 5,-6,Shai Gilgeous-Alexander,OKC,,,,
18,2POINT.ASSIST,1,9:04,Looney 2' Cutting Layup Shot (2 PTS)Looney 2' Cutting Layup Shot (2 PTS)Looney 2' Cutting Layup Shot (2 PTS),11 - 7,-4,Kevon Looney,GSW,,,,
19,SUB,1,8:45,SUB: Jerome FOR DortSUB: Jerome FOR DortSUB: Jerome FOR Dort,11 - 7,-4,Luguentz Dort,OKC,Ty Jerome,OKC,,
20,SUB,1,8:45,SUB: Diallo FOR GiddeySUB: Diallo FOR GiddeySUB: Diallo FOR Giddey,11 - 7,-4,Josh Giddey,OKC,Hamidou Diallo,OKC,,
21,3POINTMISS.BLOCK,1,8:36,MISS Diallo 27' 3PT Jump ShotMISS Diallo 27' 3PT Jump ShotMISS Diallo 27' 3PT Jump Shot,11 - 7,-4,Hamidou Diallo,OKC,,,,
22,REBOUND,1,8:33,Green REBOUND (Off:0 Def:1)Green REBOUND (Off:0 Def:1)Green REBOUND (Off:0 Def:1),11 - 7,-4,Draymond Green,GSW,,,,
23,2POINT.ASSIST,1,8:19,Curry 1' Driving Layup (4 PTS)Curry 1' Driving Layup (4 PTS)Curry 1' Driving Layup (4 PTS),11 - 9,-2,Stephen Curry,GSW,,,,
24,2POINTMISS.BLOCK,1,8:05,MISS Gilgeous-Alexander 16' Pullup Jump ShotMISS Gilgeous-Alexander 16' Pullup Jump ShotMISS Gilgeous-Alexander 16' Pullup Jump Shot,11 - 9,-2,Shai Gilgeous-Alexander,OKC,,,,
25,REBOUND,1,8:02,Thompson REBOUND (Off:0 Def:1)Thompson REBOUND (Off:0 Def:1)Thompson REBOUND (Off:0 Def:1),11 - 9,-2,Klay Thompson,GSW,,,,
